X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,38.773,39.332,39.815,31.515
-5.92,-6,38.894,39.452,39.936,31.511
-5.84,-6,39.015,39.573,40.056,31.508
-5.76,-6,39.136,39.694,40.177,31.506
-5.68,-6,39.257,39.814,40.297,31.507
-5.6,-6,39.377,39.935,40.418,31.51
-5.52,-6,39.498,40.055,40.538,31.514
-5.44,-6,39.619,40.176,40.658,31.522
-5.36,-6,39.739,40.296,40.779,31.531
-5.28,-6,39.859,40.416,40.899,31.544
-5.2,-6,39.979,40.536,41.018,31.559
-5.12,-6,40.099,40.656,41.138,31.578
-5.04,-6,40.219,40.775,41.257,31.599
-4.96,-6,40.338,40.895,41.377,31.624
-4.88,-6,40.457,41.013,41.495,31.651
-4.8,-6,40.576,41.132,41.614,31.738
-4.72,-6,40.694,41.25,41.732,31.831
-4.64,-6,40.812,41.368,41.85,31.929
-4.56,-6,40.93,41.485,41.967,32.03
-4.48,-6,41.047,41.602,42.084,32.134
-4.4,-6,41.163,41.719,42.2,32.24
-4.32,-6,41.279,41.835,42.316,32.347
-4.24,-6,41.395,41.95,42.431,32.455
-4.16,-6,41.509,42.064,42.545,32.563
-4.08,-6,41.623,42.178,42.659,32.67
-4,-6,41.737,42.291,42.772,32.776
-3.92,-6,41.849,42.404,42.885,32.878
-3.84,-6,41.961,42.516,42.996,32.978
-3.76,-6,42.072,42.626,43.107,33.073
-3.68,-6,42.182,42.736,43.217,33.165
-3.6,-6,42.291,42.845,43.326,33.251
-3.52,-6,42.4,42.953,43.434,33.331
-3.44,-6,42.507,43.06,43.541,33.406
-3.36,-6,42.613,43.166,43.646,33.474
-3.28,-6,42.718,43.271,43.751,33.523
-3.2,-6,42.822,43.375,43.855,33.526
-3.12,-6,42.925,43.477,43.957,33.51
-3.04,-6,43.027,43.579,44.058,33.489
-2.96,-6,43.127,43.679,44.158,33.463
-2.88,-6,43.227,43.777,44.256,33.432
-2.8,-6,43.325,43.875,44.353,33.397
-2.72,-6,43.421,43.971,44.448,33.358
-2.64,-6,43.516,44.065,44.543,33.315
-2.56,-6,43.61,44.158,44.635,33.268
-2.48,-6,43.703,44.25,44.726,33.22
-2.4,-6,43.794,44.34,44.815,33.169
-2.32,-6,43.884,44.428,44.903,33.118
-2.24,-6,43.972,44.515,44.989,33.066
-2.16,-6,44.059,44.6,45.073,33.014
-2.08,-6,44.145,44.684,45.156,32.964
-2,-6,44.229,44.766,45.237,32.915
-1.92,-6,44.312,44.846,45.316,32.869
-1.84,-6,44.394,44.925,45.393,32.827
-1.76,-6,44.475,45.003,45.468,32.81
-1.68,-6,44.554,45.078,45.542,32.796
-1.6,-6,44.633,45.153,45.614,32.786
-1.52,-6,44.71,45.226,45.684,32.778
-1.44,-6,44.787,45.298,45.753,32.76
-1.36,-6,44.864,45.368,45.819,32.734
-1.28,-6,44.94,45.438,45.885,32.711
-1.2,-6,45.016,45.506,45.948,32.691
-1.12,-6,45.092,45.574,46.011,32.675
-1.04,-6,45.169,45.641,46.072,32.664
