X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,38.592,39.113,39.56,32.333
-5.92,-6,38.707,39.229,39.676,32.312
-5.84,-6,38.822,39.344,39.791,32.292
-5.76,-6,38.938,39.46,39.907,32.273
-5.68,-6,39.054,39.576,40.024,32.256
-5.6,-6,39.17,39.692,40.14,32.24
-5.52,-6,39.287,39.809,40.257,32.225
-5.44,-6,39.403,39.925,40.374,32.213
-5.36,-6,39.519,40.042,40.49,32.202
-5.28,-6,39.636,40.158,40.607,32.194
-5.2,-6,39.752,40.275,40.724,32.188
-5.12,-6,39.868,40.391,40.84,32.185
-5.04,-6,39.985,40.508,40.957,32.185
-4.96,-6,40.101,40.624,41.073,32.187
-4.88,-6,40.217,40.74,41.189,32.193
-4.8,-6,40.333,40.856,41.305,32.203
-4.72,-6,40.448,40.971,41.421,32.216
-4.64,-6,40.564,41.087,41.536,32.232
-4.56,-6,40.679,41.201,41.651,32.256
-4.48,-6,40.793,41.316,41.766,32.337
-4.4,-6,40.908,41.43,41.88,32.423
-4.32,-6,41.021,41.544,41.994,32.514
-4.24,-6,41.135,41.657,42.107,32.608
-4.16,-6,41.248,41.77,42.22,32.706
-4.08,-6,41.36,41.882,42.332,32.806
-4,-6,41.472,41.994,42.444,32.907
-3.92,-6,41.583,42.105,42.555,33.01
-3.84,-6,41.693,42.215,42.665,33.113
-3.76,-6,41.802,42.324,42.774,33.215
-3.68,-6,41.911,42.433,42.883,33.316
-3.6,-6,42.019,42.541,42.991,33.415
-3.52,-6,42.126,42.647,43.097,33.511
-3.44,-6,42.233,42.753,43.203,33.604
-3.36,-6,42.338,42.858,43.308,33.694
-3.28,-6,42.442,42.962,43.411,33.778
-3.2,-6,42.545,43.064,43.514,33.858
-3.12,-6,42.648,43.166,43.615,33.933
-3.04,-6,42.749,43.266,43.716,34.003
-2.96,-6,42.849,43.366,43.815,34.048
-2.88,-6,42.947,43.464,43.912,34.053
-2.8,-6,43.045,43.561,44.009,34.039
-2.72,-6,43.141,43.656,44.104,34.02
-2.64,-6,43.236,43.75,44.197,33.996
