X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,30.013,30.257,30.389,30.418
-5.92,-6,30.139,30.381,30.513,30.421
-5.84,-6,30.266,30.506,30.637,30.424
-5.76,-6,30.392,30.631,30.762,30.428
-5.68,-6,30.519,30.757,30.886,30.433
-5.6,-6,30.646,30.882,31.011,30.438
-5.52,-6,30.773,31.008,31.136,30.443
-5.44,-6,30.9,31.134,31.261,30.448
-5.36,-6,31.027,31.26,31.387,30.454
-5.28,-6,31.155,31.386,31.512,30.46
-5.2,-6,31.283,31.512,31.637,30.466
-5.12,-6,31.411,31.638,31.763,30.472
-5.04,-6,31.539,31.765,31.889,30.479
-4.96,-6,31.666,31.891,32.014,30.485
-4.88,-6,31.794,32.018,32.14,30.493
-4.8,-6,31.923,32.144,32.265,30.5
-4.72,-6,32.051,32.27,32.391,30.507
-4.64,-6,32.179,32.397,32.517,30.515
-4.56,-6,32.306,32.523,32.642,30.523
-4.48,-6,32.434,32.649,32.767,30.53
-4.4,-6,32.562,32.775,32.892,30.538
-4.32,-6,32.69,32.901,33.017,30.546
-4.24,-6,32.817,33.027,33.142,30.565
-4.16,-6,32.944,33.152,33.267,30.608
-4.08,-6,33.071,33.277,33.391,30.652
-4,-6,33.198,33.402,33.515,30.698
-3.92,-6,33.325,33.527,33.639,30.744
-3.84,-6,33.451,33.651,33.762,30.791
-3.76,-6,33.577,33.775,33.885,30.839
-3.68,-6,33.702,33.899,34.007,30.887
-3.6,-6,33.827,34.022,34.129,30.935
-3.52,-6,33.952,34.144,34.251,30.984
-3.44,-6,34.076,34.266,34.372,31.033
-3.36,-6,34.199,34.388,34.493,31.082
-3.28,-6,34.322,34.509,34.612,31.131
-3.2,-6,34.445,34.629,34.732,31.179
-3.12,-6,34.566,34.749,34.85,31.227
-3.04,-6,34.687,34.868,34.968,31.274
-2.96,-6,34.808,34.986,35.085,31.321
-2.88,-6,34.927,35.103,35.202,31.366
-2.8,-6,35.046,35.22,35.317,31.411
-2.72,-6,35.164,35.336,35.432,31.454
-2.64,-6,35.281,35.451,35.545,31.465
-2.56,-6,35.397,35.565,35.658,31.445
-2.48,-6,35.512,35.678,35.77,31.417
-2.4,-6,35.626,35.79,35.881,31.388
-2.32,-6,35.739,35.9,35.991,31.357
-2.24,-6,35.851,36.01,36.099,31.324
-2.16,-6,35.962,36.119,36.207,31.29
-2.08,-6,36.071,36.226,36.313,31.254
-2,-6,36.18,36.333,36.418,31.216
-1.92,-6,36.287,36.438,36.522,31.177
-1.84,-6,36.393,36.541,36.624,31.137
-1.76,-6,36.497,36.644,36.726,31.095
