X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,30.378,30.622,30.756,29.129
-5.92,-6,30.508,30.75,30.884,29.157
-5.84,-6,30.637,30.879,31.011,29.185
-5.76,-6,30.768,31.007,31.139,29.214
-5.68,-6,30.898,31.136,31.268,29.242
-5.6,-6,31.029,31.266,31.396,29.27
-5.52,-6,31.16,31.395,31.525,29.299
-5.44,-6,31.291,31.525,31.654,29.327
-5.36,-6,31.423,31.655,31.783,29.356
-5.28,-6,31.554,31.785,31.912,29.384
-5.2,-6,31.686,31.915,32.042,29.413
-5.12,-6,31.818,32.045,32.171,29.441
-5.04,-6,31.951,32.176,32.301,29.47
-4.96,-6,32.083,32.307,32.431,29.498
-4.88,-6,32.216,32.438,32.561,29.527
-4.8,-6,32.348,32.568,32.691,29.588
-4.72,-6,32.481,32.699,32.821,29.652
-4.64,-6,32.614,32.831,32.951,29.716
-4.56,-6,32.747,32.962,33.082,29.782
-4.48,-6,32.88,33.093,33.212,29.848
-4.4,-6,33.013,33.224,33.342,29.916
-4.32,-6,33.146,33.355,33.472,29.984
-4.24,-6,33.279,33.486,33.602,30.052
-4.16,-6,33.411,33.617,33.732,30.121
-4.08,-6,33.544,33.747,33.862,30.19
-4,-6,33.677,33.878,33.991,30.259
-3.92,-6,33.809,34.008,34.121,30.328
-3.84,-6,33.942,34.139,34.25,30.397
-3.76,-6,34.074,34.269,34.379,30.466
-3.68,-6,34.206,34.399,34.508,30.534
-3.6,-6,34.338,34.528,34.636,30.602
-3.52,-6,34.469,34.657,34.764,30.669
-3.44,-6,34.601,34.786,34.892,30.735
-3.36,-6,34.731,34.915,35.02,30.8
-3.28,-6,34.862,35.043,35.147,30.85
-3.2,-6,34.992,35.171,35.273,30.856
-3.12,-6,35.122,35.298,35.4,30.85
-3.04,-6,35.251,35.425,35.525,30.841
-2.96,-6,35.38,35.552,35.65,30.831
-2.88,-6,35.508,35.677,35.775,30.819
-2.8,-6,35.636,35.803,35.899,30.806
-2.72,-6,35.763,35.927,36.022,30.79
-2.64,-6,35.89,36.051,36.145,30.774
-2.56,-6,36.016,36.175,36.267,30.755
-2.48,-6,36.141,36.297,36.389,30.735
-2.4,-6,36.266,36.419,36.51,30.713
-2.32,-6,36.39,36.541,36.63,30.69
-2.24,-6,36.513,36.661,36.749,30.665
-2.16,-6,36.635,36.781,36.867,30.639
-2.08,-6,36.757,36.9,36.985,30.611
-2,-6,36.878,37.018,37.101,30.582
-1.92,-6,36.997,37.135,37.217,30.551
-1.84,-6,37.116,37.251,37.332,30.519
-1.76,-6,37.234,37.366,37.446,30.5
-1.68,-6,37.352,37.481,37.559,30.48
-1.6,-6,37.468,37.594,37.671,30.458
-1.52,-6,37.583,37.706,37.782,30.434
-1.44,-6,37.697,37.818,37.892,30.409
-1.36,-6,37.81,37.928,38,30.371
-1.28,-6,37.922,38.037,38.108,30.326
-1.2,-6,38.033,38.145,38.215,30.279
-1.12,-6,38.143,38.252,38.321,30.231
-1.04,-6,38.252,38.358,38.425,30.18
-0.96,-6,38.359,38.463,38.529,30.127
-0.88,-6,38.466,38.566,38.631,30.072
-0.8,-6,38.571,38.669,38.732,30.015
-0.72,-6,38.676,38.77,38.832,29.956
-0.64,-6,38.779,38.87,38.931,29.894
-0.56,-6,38.881,38.969,39.028,29.831
-0.48,-6,38.981,39.067,39.125,29.764
-0.4,-6,39.081,39.164,39.221,29.696
-0.32,-6,39.179,39.259,39.316,29.625
-0.24,-6,39.276,39.354,39.41,29.552
-0.16,-6,39.372,39.447,39.502,29.476
-0.08,-6,39.467,39.539,39.594,29.398
0,-6,39.561,39.631,39.684,29.316
0.08,-6,39.596,39.666,39.716,29.249
0.16,-6,39.67,39.738,39.786,29.183
0.24,-6,39.75,39.815,39.862,29.172
0.32,-6,39.833,39.895,39.941,29.035
0.4,-6,39.921,39.976,40.02,28.912
0.48,-6,40.024,40.057,40.101,28.806
0.56,-6,40.129,40.145,40.183,28.691
0.64,-6,40.234,40.235,40.27,28.601
0.72,-6,40.342,40.324,40.358,28.515
0.8,-6,40.452,40.414,40.445,28.428
0.88,-6,40.566,40.505,40.533,28.339
0.96,-6,40.681,40.597,40.623,28.249
1.04,-6,40.74,40.693,40.712,28.157
1.12,-6,40.797,40.789,40.806,28.063
1.2,-6,40.888,40.883,40.9,27.968
1.28,-6,40.986,40.927,40.993,27.871
1.36,-6,41.082,40.983,41.055,27.773
1.44,-6,41.169,41.073,41.098,27.674
1.52,-6,41.255,41.164,41.163,27.573
1.6,-6,41.342,41.255,41.244,27.471
1.68,-6,41.429,41.347,41.328,27.367
1.76,-6,41.517,41.439,41.416,27.262
1.84,-6,41.605,41.532,41.504,27.156
1.92,-6,41.695,41.625,41.593,27.049
2,-6,41.785,41.719,41.683,26.94
2.08,-6,41.876,41.812,41.773,26.831
2.16,-6,41.968,41.897,41.865,26.72
2.24,-6,42.061,41.982,41.958,26.609
2.32,-6,42.157,42.068,42.051,26.496
2.4,-6,42.269,42.156,42.147,26.382
2.48,-6,42.387,42.244,42.241,26.268
2.56,-6,42.508,42.334,42.328,26.152
2.64,-6,42.632,42.425,42.417,26.036
2.72,-6,42.759,42.518,42.507,25.919
2.8,-6,42.888,42.612,42.598,25.801
2.88,-6,43.021,42.708,42.691,25.683
2.96,-6,43.156,42.805,42.785,25.564
3.04,-6,43.294,42.905,42.881,25.444
3.12,-6,43.435,43.006,42.979,25.323
3.2,-6,43.578,43.109,43.078,25.202
3.28,-6,43.724,43.214,43.18,25.081
3.36,-6,43.873,43.33,43.283,24.959
3.44,-6,44.024,43.461,43.387,24.837
3.52,-6,44.177,43.595,43.494,24.714
3.6,-6,44.333,43.733,43.603,24.591
3.68,-6,44.491,43.874,43.713,24.467
3.76,-6,44.651,44.019,43.826,24.344
3.84,-6,44.812,44.167,43.94,24.219
3.92,-6,44.975,44.318,44.069,24.095
4,-6,45.14,44.472,44.211,23.971
4.08,-6,45.306,44.63,44.356,23.846
4.16,-6,45.473,44.791,44.504,23.721
4.24,-6,45.641,44.954,44.656,23.596
4.32,-6,45.81,45.121,44.811,23.471
4.4,-6,45.98,45.29,44.97,23.346
4.48,-6,46.15,45.462,45.132,23.221
4.56,-6,46.31,45.636,45.297,23.096
4.64,-6,46.469,45.812,45.465,22.971
4.72,-6,46.628,45.991,45.637,22.846
4.8,-6,46.788,46.172,45.811,22.721
4.88,-6,46.949,46.354,45.989,22.597
4.96,-6,47.11,46.538,46.169,22.472
5.04,-6,47.273,46.723,46.351,22.347
5.12,-6,47.436,46.91,46.537,22.223
5.2,-6,47.609,47.098,46.724,22.099
5.28,-6,47.784,47.287,46.914,21.975
5.36,-6,47.961,47.476,47.105,21.851
5.44,-6,48.139,47.666,47.299,21.727
5.52,-6,48.318,47.857,47.494,21.604
5.6,-6,48.499,48.047,47.691,21.481
5.68,-6,48.68,48.238,47.889,21.358
5.76,-6,48.863,48.429,48.088,21.236
5.84,-6,49.047,48.614,48.288,21.113
5.92,-6,49.231,48.792,48.489,20.992
6,-6,49.417,48.972,48.69,20.87
-6,-5.92,30.473,30.717,30.852,29.353
-5.92,-5.92,30.604,30.847,30.98,29.381
-5.84,-5.92,30.735,30.977,31.109,29.409
-5.76,-5.92,30.867,31.107,31.239,29.437
-5.68,-5.92,30.998,31.237,31.368,29.466
-5.6,-5.92,31.131,31.368,31.498,29.494
-5.52,-5.92,31.263,31.498,31.628,29.523
-5.44,-5.92,31.396,31.629,31.759,29.551
-5.36,-5.92,31.528,31.761,31.889,29.58
-5.28,-5.92,31.662,31.892,32.02,29.609
-5.2,-5.92,31.795,32.024,32.151,29.638
-5.12,-5.92,31.928,32.156,32.282,29.666
-5.04,-5.92,32.062,32.288,32.413,29.695
-4.96,-5.92,32.196,32.42,32.545,29.724
-4.88,-5.92,32.33,32.553,32.676,29.752
-4.8,-5.92,32.464,32.685,32.808,29.812
-4.72,-5.92,32.599,32.818,32.94,29.876
-4.64,-5.92,32.733,32.95,33.071,29.942
-4.56,-5.92,32.868,33.083,33.203,30.008
-4.48,-5.92,33.002,33.216,33.335,30.075
