X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,30.026,30.284,30.418,29.13
-5.92,-6,30.151,30.408,30.541,29.158
-5.84,-6,30.277,30.532,30.665,29.186
-5.76,-6,30.402,30.656,30.788,29.214
-5.68,-6,30.528,30.781,30.912,29.242
-5.6,-6,30.654,30.905,31.036,29.271
-5.52,-6,30.781,31.03,31.16,29.299
-5.44,-6,30.907,31.155,31.284,29.328
-5.36,-6,31.034,31.28,31.409,29.356
-5.28,-6,31.16,31.406,31.533,29.385
-5.2,-6,31.287,31.531,31.658,29.413
-5.12,-6,31.414,31.656,31.783,29.442
-5.04,-6,31.541,31.782,31.907,29.47
-4.96,-6,31.668,31.907,32.032,29.499
-4.88,-6,31.795,32.032,32.157,29.527
-4.8,-6,31.922,32.158,32.281,29.588
-4.72,-6,32.049,32.283,32.406,29.652
-4.64,-6,32.176,32.409,32.53,29.717
-4.56,-6,32.303,32.534,32.655,29.782
-4.48,-6,32.43,32.659,32.779,29.849
-4.4,-6,32.557,32.784,32.903,29.916
-4.32,-6,32.683,32.909,33.027,29.984
-4.24,-6,32.81,33.033,33.15,30.052
-4.16,-6,32.936,33.157,33.274,30.121
-4.08,-6,33.062,33.281,33.397,30.19
-4,-6,33.188,33.405,33.52,30.259
-3.92,-6,33.313,33.529,33.642,30.329
-3.84,-6,33.438,33.652,33.764,30.398
-3.76,-6,33.562,33.774,33.886,30.466
-3.68,-6,33.687,33.897,34.007,30.535
-3.6,-6,33.81,34.018,34.128,30.602
-3.52,-6,33.934,34.14,34.248,30.669
-3.44,-6,34.057,34.26,34.368,30.736
-3.36,-6,34.179,34.38,34.487,30.801
-3.28,-6,34.3,34.5,34.605,30.851
-3.2,-6,34.421,34.619,34.723,30.857
-3.12,-6,34.542,34.737,34.84,30.85
-3.04,-6,34.661,34.854,34.956,30.842
-2.96,-6,34.78,34.971,35.072,30.831
-2.88,-6,34.898,35.087,35.187,30.82
-2.8,-6,35.015,35.202,35.3,30.806
-2.72,-6,35.132,35.316,35.413,30.791
-2.64,-6,35.247,35.429,35.525,30.774
-2.56,-6,35.361,35.541,35.636,30.755
-2.48,-6,35.475,35.653,35.746,30.735
-2.4,-6,35.587,35.763,35.855,30.713
-2.32,-6,35.699,35.872,35.963,30.69
-2.24,-6,35.809,35.98,36.07,30.665
-2.16,-6,35.918,36.086,36.175,30.639
-2.08,-6,36.025,36.192,36.28,30.611
-2,-6,36.132,36.296,36.383,30.582
-1.92,-6,36.237,36.399,36.484,30.552
-1.84,-6,36.341,36.501,36.585,30.52
-1.76,-6,36.443,36.601,36.684,30.5
-1.68,-6,36.544,36.7,36.781,30.48
-1.6,-6,36.643,36.797,36.877,30.458
-1.52,-6,36.741,36.893,36.972,30.435
-1.44,-6,36.837,36.987,37.065,30.409
-1.36,-6,36.932,37.08,37.157,30.371
-1.28,-6,37.025,37.171,37.246,30.326
-1.2,-6,37.116,37.26,37.335,30.28
-1.12,-6,37.206,37.348,37.421,30.231
-1.04,-6,37.294,37.434,37.506,30.18
-0.96,-6,37.38,37.518,37.589,30.127
-0.88,-6,37.464,37.601,37.671,30.072
-0.8,-6,37.546,37.681,37.751,30.015
-0.72,-6,37.627,37.76,37.828,29.956
-0.64,-6,37.705,37.837,37.904,29.895
-0.56,-6,37.782,37.912,37.979,29.831
-0.48,-6,37.856,37.985,38.051,29.765
-0.4,-6,37.929,38.056,38.121,29.696
-0.32,-6,37.999,38.125,38.19,29.625
-0.24,-6,38.067,38.193,38.256,29.552
-0.16,-6,38.134,38.258,38.321,29.476
-0.08,-6,38.198,38.321,38.383,29.398
0,-6,38.26,38.382,38.444,29.317
0.08,-6,38.242,38.367,38.425,29.25
0.16,-6,38.274,38.399,38.455,29.183
0.24,-6,38.313,38.439,38.493,29.172
0.32,-6,38.355,38.48,38.533,29.035
0.4,-6,38.401,38.522,38.574,28.912
0.48,-6,38.456,38.563,38.614,28.807
0.56,-6,38.511,38.614,38.656,28.691
0.64,-6,38.566,38.664,38.705,28.601
0.72,-6,38.624,38.714,38.753,28.515
0.8,-6,38.683,38.763,38.8,28.428
0.88,-6,38.747,38.814,38.847,28.339
0.96,-6,38.81,38.864,38.894,28.249
1.04,-6,38.787,38.92,38.941,28.157
1.12,-6,38.755,38.975,38.992,28.063
1.2,-6,38.772,39.025,39.043,27.968
1.28,-6,38.8,38.983,39.092,27.872
1.36,-6,38.827,38.957,39.094,27.774
1.44,-6,38.851,38.979,39.06,27.674
1.52,-6,38.874,39.001,39.056,27.573
1.6,-6,38.895,39.022,39.076,27.471
1.68,-6,38.913,39.039,39.093,27.367
1.76,-6,38.93,39.055,39.109,27.262
1.84,-6,38.946,39.069,39.123,27.156
1.92,-6,38.959,39.081,39.135,27.049
2,-6,38.971,39.093,39.147,26.941
2.08,-6,38.981,39.102,39.157,26.831
2.16,-6,38.99,39.11,39.165,26.72
2.24,-6,38.997,39.117,39.172,26.609
2.32,-6,39.003,39.122,39.178,26.496
2.4,-6,39.008,39.126,39.182,26.383
2.48,-6,39.012,39.128,39.185,26.268
2.56,-6,39.015,39.13,39.186,26.153
2.64,-6,39.018,39.131,39.187,26.036
2.72,-6,39.019,39.13,39.186,25.919
2.8,-6,39.02,39.128,39.184,25.801
2.88,-6,39.02,39.126,39.181,25.683
2.96,-6,39.019,39.122,39.177,25.564
3.04,-6,39.018,39.118,39.173,25.444
3.12,-6,39.016,39.113,39.167,25.324
3.2,-6,39.014,39.108,39.161,25.203
3.28,-6,39.011,39.102,39.154,25.081
3.36,-6,39.007,39.095,39.146,24.959
3.44,-6,39.004,39.088,39.138,24.837
3.52,-6,39.013,39.08,39.129,24.714
3.6,-6,39.022,39.072,39.12,24.591
3.68,-6,39.032,39.064,39.11,24.467
3.76,-6,39.042,39.055,39.1,24.344
3.84,-6,39.051,39.046,39.089,24.22
3.92,-6,39.061,39.037,39.078,24.095
4,-6,39.071,39.027,39.067,23.971
4.08,-6,39.081,39.017,39.056,23.846
4.16,-6,39.091,39.007,39.045,23.722
4.24,-6,39.102,39.007,39.033,23.597
4.32,-6,39.109,39.007,39.021,23.472
4.4,-6,39.104,39.007,39.009,23.347
4.48,-6,39.099,39.008,38.997,23.222
4.56,-6,39.095,39.008,38.985,23.097
4.64,-6,39.09,39.009,38.979,22.972
4.72,-6,39.086,39.01,38.975,22.847
4.8,-6,39.083,39.012,38.972,22.722
4.88,-6,39.079,39.013,38.968,22.597
4.96,-6,39.077,39.015,38.965,22.472
5.04,-6,39.074,39.006,38.962,22.348
5.12,-6,39.073,38.996,38.959,22.223
5.2,-6,39.073,38.986,38.956,22.099
5.28,-6,39.091,38.976,38.954,21.975
5.36,-6,39.112,38.967,38.946,21.851
5.44,-6,39.133,38.959,38.934,21.728
5.52,-6,39.156,38.951,38.922,21.604
5.6,-6,39.179,38.943,38.91,21.481
5.68,-6,39.204,38.936,38.899,21.358
5.76,-6,39.229,38.93,38.888,21.236
5.84,-6,39.254,38.924,38.877,21.114
5.92,-6,39.28,38.919,38.867,20.992
6,-6,39.307,38.914,38.858,20.87
-6,-5.92,30.132,30.39,30.524,29.353
-5.92,-5.92,30.258,30.515,30.648,29.381
-5.84,-5.92,30.385,30.64,30.773,29.409
-5.76,-5.92,30.512,30.766,30.898,29.438
-5.68,-5.92,30.64,30.892,31.023,29.466
-5.6,-5.92,30.767,31.018,31.149,29.495
-5.52,-5.92,30.895,31.144,31.274,29.523
-5.44,-5.92,31.023,31.271,31.4,29.552
