X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,30.46,30.67,30.75,29.755
-5.92,-6,30.575,30.784,30.864,29.773
-5.84,-6,30.691,30.899,30.979,29.791
-5.76,-6,30.807,31.014,31.093,29.809
-5.68,-6,30.924,31.129,31.208,29.827
-5.6,-6,31.04,31.245,31.324,29.846
-5.52,-6,31.158,31.361,31.439,29.865
-5.44,-6,31.275,31.477,31.555,29.884
-5.36,-6,31.393,31.593,31.671,29.904
-5.28,-6,31.511,31.71,31.787,29.923
-5.2,-6,31.629,31.827,31.903,29.942
-5.12,-6,31.747,31.944,32.02,29.962
-5.04,-6,31.866,32.061,32.136,29.981
-4.96,-6,31.984,32.178,32.253,30.001
-4.88,-6,32.103,32.295,32.37,30.021
-4.8,-6,32.222,32.412,32.487,30.04
-4.72,-6,32.341,32.53,32.604,30.06
-4.64,-6,32.459,32.647,32.721,30.079
-4.56,-6,32.578,32.764,32.838,30.102
-4.48,-6,32.697,32.882,32.955,30.155
-4.4,-6,32.815,32.999,33.072,30.21
-4.32,-6,32.934,33.116,33.189,30.265
-4.24,-6,33.053,33.233,33.305,30.322
-4.16,-6,33.172,33.35,33.422,30.379
-4.08,-6,33.29,33.467,33.539,30.437
-4,-6,33.409,33.584,33.655,30.495
-3.92,-6,33.527,33.7,33.771,30.554
-3.84,-6,33.645,33.816,33.887,30.614
-3.76,-6,33.763,33.932,34.002,30.673
-3.68,-6,33.88,34.047,34.117,30.733
-3.6,-6,33.997,34.162,34.232,30.792
-3.52,-6,34.113,34.277,34.346,30.851
-3.44,-6,34.229,34.391,34.46,30.91
-3.36,-6,34.344,34.505,34.574,30.968
-3.28,-6,34.459,34.618,34.686,31.026
-3.2,-6,34.574,34.731,34.799,31.082
-3.12,-6,34.688,34.843,34.91,31.138
-3.04,-6,34.801,34.954,35.021,31.192
-2.96,-6,34.914,35.065,35.131,31.225
-2.88,-6,35.026,35.174,35.241,31.218
-2.8,-6,35.137,35.283,35.349,31.2
-2.72,-6,35.247,35.392,35.457,31.18
-2.64,-6,35.357,35.499,35.564,31.159
-2.56,-6,35.465,35.605,35.669,31.136
-2.48,-6,35.572,35.711,35.774,31.111
-2.4,-6,35.678,35.816,35.878,31.084
-2.32,-6,35.784,35.919,35.981,31.056
-2.24,-6,35.888,36.021,36.082,31.026
