X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,42.106,42.324,42.529,34.775
-5.92,-6,42.234,42.451,42.655,34.797
-5.84,-6,42.363,42.579,42.781,34.82
-5.76,-6,42.492,42.707,42.908,34.844
-5.68,-6,42.622,42.836,43.035,34.868
-5.6,-6,42.752,42.965,43.163,34.894
-5.52,-6,42.883,43.095,43.291,34.92
-5.44,-6,43.015,43.226,43.42,34.947
-5.36,-6,43.147,43.357,43.55,34.972
-5.28,-6,43.279,43.488,43.68,34.998
-5.2,-6,43.413,43.621,43.81,35.024
-5.12,-6,43.546,43.753,43.942,35.05
-5.04,-6,43.681,43.887,44.073,35.077
-4.96,-6,43.816,44.021,44.206,35.105
-4.88,-6,43.951,44.155,44.338,35.132
-4.8,-6,44.087,44.291,44.472,35.16
-4.72,-6,44.224,44.426,44.606,35.188
-4.64,-6,44.361,44.562,44.74,35.216
-4.56,-6,44.499,44.699,44.875,35.244
-4.48,-6,44.638,44.837,45.011,35.272
-4.4,-6,44.777,44.975,45.147,35.3
-4.32,-6,44.917,45.113,45.284,35.328
-4.24,-6,45.057,45.253,45.421,35.355
-4.16,-6,45.198,45.392,45.559,35.382
-4.08,-6,45.339,45.533,45.698,35.409
-4,-6,45.481,45.674,45.837,35.435
-3.92,-6,45.624,45.816,45.976,35.461
-3.84,-6,45.768,45.958,46.117,35.486
-3.76,-6,45.911,46.101,46.258,35.523
-3.68,-6,46.056,46.245,46.399,35.616
-3.6,-6,46.201,46.389,46.541,35.708
-3.52,-6,46.347,46.534,46.684,35.719
-3.44,-6,46.494,46.679,46.828,35.728
-3.36,-6,46.641,46.825,46.972,35.737
-3.28,-6,46.789,46.972,47.117,35.744
-3.2,-6,46.938,47.12,47.262,35.751
-3.12,-6,47.087,47.268,47.408,35.756
-3.04,-6,47.237,47.417,47.555,35.761
-2.96,-6,47.388,47.567,47.703,35.764
-2.88,-6,47.539,47.718,47.851,35.766
-2.8,-6,47.692,47.869,48,35.768
-2.72,-6,47.845,48.022,48.15,35.768
-2.64,-6,47.999,48.175,48.301,35.768
-2.56,-6,48.153,48.329,48.453,35.764
-2.48,-6,48.309,48.483,48.606,35.757
-2.4,-6,48.465,48.639,48.759,35.749
-2.32,-6,48.623,48.796,48.914,35.739
-2.24,-6,48.781,48.954,49.069,35.729
-2.16,-6,48.94,49.112,49.226,35.717
-2.08,-6,49.101,49.272,49.383,35.704
-2,-6,49.262,49.433,49.542,35.689
-1.92,-6,49.424,49.595,49.702,35.674
-1.84,-6,49.588,49.758,49.863,35.657
-1.76,-6,49.753,49.922,50.026,35.639
-1.68,-6,49.918,50.088,50.189,35.62
-1.6,-6,50.085,50.255,50.354,35.6
-1.52,-6,50.254,50.423,50.521,35.578
-1.44,-6,50.423,50.593,50.689,35.547
-1.36,-6,50.594,50.764,50.858,35.509
-1.28,-6,50.767,50.937,51.029,35.468
-1.2,-6,50.941,51.111,51.202,35.431
-1.12,-6,51.116,51.287,51.377,35.401
-1.04,-6,51.294,51.465,51.553,35.369
-0.96,-6,51.473,51.645,51.731,35.336
-0.88,-6,51.653,51.826,51.911,35.3
-0.8,-6,51.836,52.01,52.094,35.263
-0.72,-6,52.02,52.195,52.278,35.223
-0.64,-6,52.207,52.383,52.465,35.18
-0.56,-6,52.395,52.573,52.654,35.136
-0.48,-6,52.586,52.765,52.846,35.089
-0.4,-6,52.783,52.96,53.041,35.039
-0.32,-6,52.984,53.157,53.238,34.986
-0.24,-6,53.187,53.359,53.438,34.931
-0.16,-6,53.393,53.567,53.64,34.873
-0.08,-6,53.601,53.778,53.846,34.811
0,-6,53.813,53.992,54.055,34.747
0.08,-6,53.991,54.177,54.236,34.693
0.16,-6,54.2,54.389,54.447,34.636
0.24,-6,54.415,54.608,54.666,34.692
0.32,-6,54.636,54.832,54.891,34.453
0.4,-6,54.861,55.061,55.121,34.288
0.48,-6,55.091,55.294,55.355,34.202
0.56,-6,55.325,55.53,55.593,34.09
0.64,-6,55.561,55.773,55.836,34.004
0.72,-6,55.799,56.019,56.084,33.928
0.8,-6,56.042,56.27,56.337,33.85
0.88,-6,56.289,56.524,56.595,33.771
0.96,-6,56.54,56.78,56.858,33.689
1.04,-6,56.797,57.04,57.125,33.606
1.12,-6,57.058,57.305,57.397,33.522
1.2,-6,57.32,57.575,57.675,33.435
1.28,-6,57.586,57.85,57.958,33.347
1.36,-6,57.859,58.126,58.244,33.258
1.44,-6,58.139,58.409,58.534,33.167
1.52,-6,58.424,58.699,58.827,33.075
1.6,-6,58.715,58.996,59.127,32.981
1.68,-6,59.012,59.298,59.435,32.886
1.76,-6,59.315,59.607,59.749,32.789
1.84,-6,59.623,59.921,60.07,32.691
1.92,-6,59.938,60.242,60.398,32.592
2,-6,60.259,60.57,60.733,32.492
2.08,-6,60.586,60.904,61.074,32.39
2.16,-6,60.92,61.245,61.423,32.287
2.24,-6,61.261,61.592,61.779,32.183
2.32,-6,61.608,61.947,62.143,32.078
2.4,-6,61.962,62.309,62.514,31.972
2.48,-6,62.323,62.678,62.894,31.864
2.56,-6,62.691,63.055,63.281,31.756
2.64,-6,63.066,63.438,63.676,31.647
2.72,-6,63.447,63.83,64.08,31.537
2.8,-6,63.836,64.229,64.492,31.426
2.88,-6,64.231,64.635,64.912,31.314
2.96,-6,64.634,65.049,65.322,31.201
3.04,-6,65.038,65.439,65.716,31.088
3.12,-6,65.414,65.825,66.117,30.974
3.2,-6,65.795,66.218,66.526,30.859
3.28,-6,66.181,66.617,66.942,30.743
