X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,39.912,40.056,40.245,33.743
-5.92,-6,40.027,40.17,40.358,33.788
-5.84,-6,40.142,40.284,40.471,33.834
-5.76,-6,40.258,40.398,40.584,33.879
-5.68,-6,40.373,40.513,40.697,33.925
-5.6,-6,40.489,40.627,40.81,33.971
-5.52,-6,40.605,40.742,40.924,34.017
-5.44,-6,40.721,40.857,41.037,34.064
-5.36,-6,40.837,40.972,41.151,34.11
-5.28,-6,40.953,41.087,41.265,34.157
-5.2,-6,41.07,41.202,41.379,34.203
-5.12,-6,41.186,41.317,41.492,34.249
-5.04,-6,41.303,41.433,41.606,34.296
-4.96,-6,41.42,41.548,41.72,34.342
-4.88,-6,41.536,41.663,41.834,34.387
-4.8,-6,41.653,41.779,41.948,34.433
-4.72,-6,41.77,41.894,42.061,34.478
-4.64,-6,41.887,42.009,42.175,34.522
-4.56,-6,42.003,42.124,42.288,34.566
-4.48,-6,42.12,42.24,42.402,34.609
-4.4,-6,42.237,42.355,42.515,34.65
-4.32,-6,42.353,42.469,42.628,34.748
-4.24,-6,42.469,42.584,42.741,34.891
-4.16,-6,42.586,42.699,42.854,34.92
-4.08,-6,42.702,42.813,42.966,34.948
-4,-6,42.818,42.927,43.078,34.975
-3.92,-6,42.933,43.041,43.19,35.001
-3.84,-6,43.049,43.154,43.302,35.026
-3.76,-6,43.164,43.268,43.413,35.05
-3.68,-6,43.279,43.381,43.524,35.072
-3.6,-6,43.393,43.493,43.634,35.094
-3.52,-6,43.507,43.606,43.744,35.115
-3.44,-6,43.621,43.717,43.853,35.134
-3.36,-6,43.735,43.829,43.962,35.152
-3.28,-6,43.848,43.94,44.071,35.17
-3.2,-6,43.96,44.05,44.179,35.185
-3.12,-6,44.072,44.16,44.286,35.196
-3.04,-6,44.184,44.269,44.393,35.205
-2.96,-6,44.295,44.378,44.499,35.213
-2.88,-6,44.406,44.486,44.605,35.219
-2.8,-6,44.515,44.594,44.709,35.224
-2.72,-6,44.625,44.701,44.813,35.228
-2.64,-6,44.733,44.807,44.917,35.231
-2.56,-6,44.841,44.912,45.019,35.232
-2.48,-6,44.949,45.017,45.121,35.232
-2.4,-6,45.055,45.121,45.222,35.231
-2.32,-6,45.161,45.224,45.322,35.228
-2.24,-6,45.266,45.327,45.421,35.225
-2.16,-6,45.37,45.428,45.519,35.22
-2.08,-6,45.473,45.529,45.617,35.214
-2,-6,45.576,45.628,45.713,35.207
