X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,39.753,39.88,40.05,33.794
-5.92,-6,39.868,39.994,40.164,33.839
-5.84,-6,39.984,40.109,40.277,33.884
-5.76,-6,40.1,40.224,40.391,33.93
-5.68,-6,40.216,40.339,40.504,33.976
-5.6,-6,40.332,40.454,40.618,34.022
-5.52,-6,40.449,40.569,40.732,34.069
-5.44,-6,40.565,40.685,40.847,34.115
-5.36,-6,40.682,40.801,40.961,34.162
-5.28,-6,40.799,40.916,41.075,34.209
-5.2,-6,40.916,41.032,41.19,34.255
-5.12,-6,41.034,41.148,41.304,34.302
-5.04,-6,41.151,41.264,41.419,34.348
-4.96,-6,41.268,41.38,41.533,34.395
-4.88,-6,41.386,41.496,41.648,34.441
-4.8,-6,41.503,41.612,41.762,34.486
-4.72,-6,41.621,41.728,41.877,34.531
-4.64,-6,41.739,41.845,41.991,34.576
-4.56,-6,41.856,41.961,42.106,34.62
-4.48,-6,41.974,42.077,42.22,34.663
-4.4,-6,42.091,42.192,42.334,34.705
-4.32,-6,42.209,42.308,42.448,34.802
-4.24,-6,42.326,42.424,42.562,34.945
-4.16,-6,42.443,42.539,42.676,34.975
-4.08,-6,42.56,42.655,42.789,35.003
-4,-6,42.677,42.77,42.902,35.03
-3.92,-6,42.794,42.885,43.015,35.056
-3.84,-6,42.91,42.999,43.128,35.081
-3.76,-6,43.026,43.114,43.24,35.105
-3.68,-6,43.142,43.228,43.352,35.128
-3.6,-6,43.258,43.342,43.463,35.15
-3.52,-6,43.373,43.455,43.575,35.17
-3.44,-6,43.489,43.568,43.685,35.19
-3.36,-6,43.603,43.681,43.796,35.208
-3.28,-6,43.717,43.793,43.905,35.225
-3.2,-6,43.831,43.905,44.015,35.241
-3.12,-6,43.945,44.016,44.123,35.251
-3.04,-6,44.058,44.127,44.231,35.261
-2.96,-6,44.17,44.237,44.339,35.269
-2.88,-6,44.282,44.346,44.446,35.275
-2.8,-6,44.393,44.456,44.552,35.28
-2.72,-6,44.504,44.564,44.658,35.284
-2.64,-6,44.614,44.672,44.763,35.286
-2.56,-6,44.724,44.779,44.867,35.287
-2.48,-6,44.833,44.885,44.97,35.287
-2.4,-6,44.941,44.991,45.073,35.286
-2.32,-6,45.048,45.095,45.175,35.283
-2.24,-6,45.155,45.199,45.275,35.279
-2.16,-6,45.26,45.302,45.375,35.275
-2.08,-6,45.365,45.405,45.474,35.269
-2,-6,45.469,45.506,45.573,35.262
-1.92,-6,45.572,45.607,45.67,35.253
