X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,40.447,40.57,40.716,34.359
-5.92,-6,40.57,40.692,40.837,34.397
-5.84,-6,40.693,40.814,40.957,34.436
-5.76,-6,40.817,40.936,41.078,34.476
-5.68,-6,40.941,41.059,41.199,34.515
-5.6,-6,41.065,41.182,41.321,34.554
-5.52,-6,41.19,41.306,41.443,34.593
-5.44,-6,41.315,41.43,41.565,34.633
-5.36,-6,41.44,41.554,41.688,34.674
-5.28,-6,41.566,41.678,41.81,34.714
-5.2,-6,41.692,41.803,41.933,34.755
-5.12,-6,41.819,41.928,42.057,34.796
-5.04,-6,41.945,42.053,42.18,34.838
-4.96,-6,42.072,42.179,42.304,34.879
-4.88,-6,42.2,42.305,42.428,34.92
-4.8,-6,42.327,42.431,42.552,34.962
-4.72,-6,42.455,42.557,42.677,35.003
-4.64,-6,42.583,42.684,42.801,35.044
-4.56,-6,42.712,42.811,42.926,35.085
-4.48,-6,42.84,42.938,43.051,35.125
-4.4,-6,42.969,43.065,43.176,35.165
-4.32,-6,43.098,43.193,43.302,35.205
-4.24,-6,43.228,43.32,43.427,35.244
-4.16,-6,43.357,43.448,43.553,35.282
-4.08,-6,43.487,43.576,43.678,35.323
-4,-6,43.617,43.704,43.804,35.419
-3.92,-6,43.747,43.833,43.93,35.541
-3.84,-6,43.877,43.961,44.056,35.566
-3.76,-6,44.007,44.089,44.182,35.589
-3.68,-6,44.138,44.218,44.308,35.611
-3.6,-6,44.268,44.347,44.434,35.632
-3.52,-6,44.399,44.475,44.56,35.652
-3.44,-6,44.53,44.604,44.686,35.671
-3.36,-6,44.66,44.733,44.813,35.689
-3.28,-6,44.791,44.862,44.939,35.706
-3.2,-6,44.922,44.991,45.065,35.722
-3.12,-6,45.053,45.12,45.191,35.736
-3.04,-6,45.184,45.249,45.317,35.75
-2.96,-6,45.315,45.377,45.443,35.762
-2.88,-6,45.446,45.506,45.569,35.767
-2.8,-6,45.577,45.635,45.694,35.76
-2.72,-6,45.708,45.764,45.82,35.751
-2.64,-6,45.839,45.893,45.946,35.74
-2.56,-6,45.97,46.021,46.071,35.728
-2.48,-6,46.101,46.15,46.197,35.713
-2.4,-6,46.232,46.278,46.322,35.697
-2.32,-6,46.362,46.407,46.447,35.679
-2.24,-6,46.493,46.535,46.572,35.66
-2.16,-6,46.623,46.663,46.697,35.639
-2.08,-6,46.754,46.792,46.821,35.616
-2,-6,46.884,46.92,46.946,35.592
-1.92,-6,47.014,47.047,47.07,35.566
-1.84,-6,47.144,47.175,47.194,35.539
-1.76,-6,47.274,47.303,47.318,35.51
-1.68,-6,47.404,47.43,47.442,35.479
-1.6,-6,47.533,47.557,47.566,35.447
-1.52,-6,47.662,47.684,47.689,35.414
-1.44,-6,47.792,47.811,47.812,35.379
-1.36,-6,47.92,47.938,47.935,35.343
-1.28,-6,48.049,48.064,48.058,35.305
-1.2,-6,48.178,48.19,48.181,35.266
-1.12,-6,48.306,48.316,48.303,35.226
-1.04,-6,48.434,48.442,48.426,35.183
-0.96,-6,48.561,48.568,48.548,35.139
-0.88,-6,48.689,48.693,48.669,35.094
-0.8,-6,48.816,48.818,48.791,35.046
-0.72,-6,48.943,48.943,48.912,34.997
-0.64,-6,49.07,49.068,49.034,34.946
-0.56,-6,49.196,49.193,49.155,34.892
-0.48,-6,49.322,49.317,49.275,34.837
-0.4,-6,49.448,49.441,49.396,34.779
-0.32,-6,49.574,49.565,49.517,34.718
-0.24,-6,49.699,49.689,49.637,34.656
-0.16,-6,49.824,49.812,49.757,34.59
-0.08,-6,49.949,49.935,49.877,34.522
0,-6,50.074,50.059,49.997,34.45
0.08,-6,50.116,50.104,50.033,34.4
0.16,-6,50.217,50.206,50.13,34.348
0.24,-6,50.329,50.317,50.237,34.416
0.32,-6,50.447,50.432,50.35,34.171
0.4,-6,50.569,50.55,50.464,34.003
0.48,-6,50.694,50.669,50.58,33.922
0.56,-6,50.825,50.79,50.699,33.811
0.64,-6,50.957,50.916,50.819,33.73
0.72,-6,51.097,51.043,50.944,33.659
0.8,-6,51.242,51.17,51.069,33.585
0.88,-6,51.388,51.304,51.195,33.51
0.96,-6,51.535,51.445,51.322,33.433
1.04,-6,51.685,51.588,51.45,33.355
1.12,-6,51.834,51.732,51.58,33.274
1.2,-6,51.966,51.878,51.716,33.192
1.28,-6,52.098,52.015,51.853,33.109
1.36,-6,52.241,52.144,51.991,33.023
1.44,-6,52.388,52.281,52.115,32.937
1.52,-6,52.534,52.427,52.239,32.848
1.6,-6,52.674,52.566,52.373,32.758
1.68,-6,52.81,52.704,52.511,32.667
1.76,-6,52.949,52.845,52.651,32.574
1.84,-6,53.088,52.987,52.793,32.48
1.92,-6,53.23,53.131,52.937,32.384
2,-6,53.373,53.277,53.084,32.287
2.08,-6,53.518,53.424,53.234,32.189
2.16,-6,53.665,53.573,53.386,32.089
2.24,-6,53.819,53.725,53.541,31.988
2.32,-6,53.975,53.879,53.698,31.886
2.4,-6,54.134,54.035,53.859,31.783
2.48,-6,54.296,54.194,54.023,31.679
2.56,-6,54.461,54.357,54.19,31.574
2.64,-6,54.629,54.522,54.36,31.467
2.72,-6,54.799,54.69,54.534,31.36
2.8,-6,54.973,54.861,54.711,31.252
2.88,-6,55.15,55.038,54.89,31.142
2.96,-6,55.33,55.219,55.071,31.032
3.04,-6,55.513,55.405,55.256,30.921
3.12,-6,55.699,55.594,55.444,30.81
3.2,-6,55.889,55.786,55.636,30.697
3.28,-6,56.081,55.982,55.831,30.584
3.36,-6,56.277,56.181,56.03,30.47
3.44,-6,56.475,56.384,56.232,30.356
3.52,-6,56.677,56.59,56.437,30.241
3.6,-6,56.882,56.8,56.646,30.125
3.68,-6,57.089,57.013,56.857,30.009
3.76,-6,57.3,57.229,57.076,29.893
3.84,-6,57.513,57.448,57.299,29.775
3.92,-6,57.729,57.671,57.526,29.658
4,-6,57.947,57.897,57.756,29.54
4.08,-6,58.168,58.126,57.99,29.422
4.16,-6,58.391,58.358,58.227,29.303
4.24,-6,58.616,58.593,58.467,29.184
4.32,-6,58.844,58.83,58.711,29.065
4.4,-6,59.074,59.071,58.958,28.946
4.48,-6,59.305,59.314,59.208,28.826
4.56,-6,59.535,59.559,59.461,28.707
4.64,-6,59.767,59.807,59.717,28.587
4.72,-6,60.001,60.058,59.976,28.467
4.8,-6,60.236,60.311,60.238,28.347
4.88,-6,60.473,60.566,60.503,28.227
4.96,-6,60.712,60.823,60.771,28.106
5.04,-6,60.953,61.082,61.041,27.986
5.12,-6,61.195,61.343,61.314,27.866
5.2,-6,61.439,61.606,61.59,27.746
5.28,-6,61.684,61.871,61.869,27.626
5.36,-6,61.932,62.136,62.15,27.506
5.44,-6,62.18,62.401,62.434,27.386
5.52,-6,62.429,62.667,62.72,27.266
5.6,-6,62.68,62.936,63.009,27.146
5.68,-6,62.933,63.206,63.3,27.026
5.76,-6,63.187,63.477,63.593,26.907
5.84,-6,63.442,63.75,63.888,26.788
5.92,-6,63.698,64.025,64.186,26.668
6,-6,63.956,64.301,64.486,26.55
-6,-5.92,40.527,40.65,40.797,34.578
-5.92,-5.92,40.65,40.772,40.918,34.616
-5.84,-5.92,40.775,40.896,41.04,34.655
-5.76,-5.92,40.899,41.019,41.162,34.695
-5.68,-5.92,41.025,41.143,41.284,34.735
