X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,39.872,40.041,40.213,34.493
-5.92,-6,39.986,40.155,40.325,34.535
-5.84,-6,40.101,40.268,40.438,34.577
-5.76,-6,40.216,40.382,40.551,34.619
-5.68,-6,40.331,40.496,40.663,34.662
-5.6,-6,40.447,40.61,40.776,34.704
-5.52,-6,40.562,40.725,40.889,34.747
-5.44,-6,40.678,40.839,41.003,34.79
-5.36,-6,40.794,40.954,41.116,34.834
-5.28,-6,40.91,41.068,41.229,34.877
-5.2,-6,41.026,41.183,41.342,34.922
-5.12,-6,41.142,41.298,41.456,34.966
-5.04,-6,41.258,41.413,41.569,35.01
-4.96,-6,41.375,41.527,41.683,35.055
-4.88,-6,41.491,41.642,41.796,35.099
-4.8,-6,41.607,41.757,41.909,35.144
-4.72,-6,41.724,41.872,42.023,35.188
-4.64,-6,41.84,41.987,42.136,35.232
-4.56,-6,41.957,42.101,42.249,35.275
-4.48,-6,42.073,42.216,42.362,35.318
-4.4,-6,42.189,42.331,42.474,35.361
-4.32,-6,42.305,42.445,42.587,35.403
-4.24,-6,42.421,42.559,42.699,35.445
-4.16,-6,42.537,42.673,42.812,35.486
-4.08,-6,42.653,42.787,42.923,35.53
-4,-6,42.768,42.9,43.035,35.629
-3.92,-6,42.883,43.014,43.146,35.758
-3.84,-6,42.998,43.127,43.257,35.784
-3.76,-6,43.113,43.24,43.368,35.809
-3.68,-6,43.228,43.352,43.478,35.832
-3.6,-6,43.342,43.464,43.588,35.855
-3.52,-6,43.456,43.576,43.697,35.876
-3.44,-6,43.569,43.687,43.806,35.896
-3.36,-6,43.682,43.797,43.915,35.915
-3.28,-6,43.795,43.908,44.022,35.933
-3.2,-6,43.907,44.018,44.13,35.95
-3.12,-6,44.018,44.127,44.236,35.965
-3.04,-6,44.13,44.236,44.342,35.98
-2.96,-6,44.24,44.344,44.448,35.993
-2.88,-6,44.35,44.451,44.553,35.998
-2.8,-6,44.46,44.558,44.657,35.992
-2.72,-6,44.569,44.664,44.76,35.983
-2.64,-6,44.677,44.77,44.863,35.972
-2.56,-6,44.785,44.874,44.965,35.96
-2.48,-6,44.891,44.978,45.066,35.946
-2.4,-6,44.997,45.082,45.166,35.93
-2.32,-6,45.103,45.184,45.265,35.912
-2.24,-6,45.207,45.286,45.363,35.892
-2.16,-6,45.311,45.386,45.461,35.871
-2.08,-6,45.414,45.486,45.557,35.848
-2,-6,45.516,45.585,45.653,35.823
-1.92,-6,45.617,45.683,45.747,35.797
-1.84,-6,45.717,45.78,45.841,35.769
-1.76,-6,45.816,45.876,45.933,35.74
-1.68,-6,45.914,45.971,46.025,35.709
-1.6,-6,46.011,46.065,46.115,35.676
-1.52,-6,46.107,46.157,46.204,35.642
-1.44,-6,46.202,46.249,46.292,35.607
-1.36,-6,46.296,46.339,46.379,35.57
-1.28,-6,46.388,46.429,46.464,35.531
-1.2,-6,46.479,46.517,46.549,35.491
-1.12,-6,46.569,46.603,46.632,35.449
-1.04,-6,46.658,46.689,46.714,35.406
-0.96,-6,46.746,46.773,46.794,35.361
-0.88,-6,46.832,46.856,46.873,35.314
-0.8,-6,46.917,46.938,46.951,35.266
-0.72,-6,47,47.018,47.028,35.215
-0.64,-6,47.082,47.097,47.103,35.163
-0.56,-6,47.162,47.174,47.176,35.108
-0.48,-6,47.241,47.25,47.249,35.052
-0.4,-6,47.319,47.324,47.32,34.993
-0.32,-6,47.394,47.397,47.389,34.931
-0.24,-6,47.469,47.469,47.457,34.867
-0.16,-6,47.541,47.538,47.523,34.8
-0.08,-6,47.612,47.607,47.588,34.731
0,-6,47.682,47.673,47.651,34.659
0.08,-6,47.614,47.594,47.559,34.608
0.16,-6,47.641,47.615,47.572,34.555
0.24,-6,47.681,47.65,47.602,34.626
0.32,-6,47.725,47.69,47.637,34.385
0.4,-6,47.772,47.733,47.675,34.217
0.48,-6,47.819,47.776,47.714,34.127
0.56,-6,47.868,47.82,47.753,34.022
0.64,-6,47.925,47.867,47.792,33.934
0.72,-6,47.979,47.918,47.834,33.862
0.8,-6,48.033,47.968,47.88,33.788
0.88,-6,48.085,48.017,47.924,33.712
0.96,-6,48.138,48.064,47.967,33.634
1.04,-6,48.191,48.111,48.009,33.555
1.12,-6,48.245,48.158,48.05,33.474
1.2,-6,48.297,48.207,48.09,33.391
1.28,-6,48.311,48.254,48.133,33.307
1.36,-6,48.316,48.29,48.174,33.221
1.44,-6,48.34,48.29,48.214,33.133
1.52,-6,48.37,48.295,48.24,33.044
1.6,-6,48.398,48.321,48.251,32.953
1.68,-6,48.424,48.345,48.272,32.861
1.76,-6,48.449,48.368,48.291,32.768
1.84,-6,48.472,48.389,48.31,32.673
1.92,-6,48.494,48.409,48.327,32.576
2,-6,48.515,48.428,48.343,32.479
2.08,-6,48.535,48.446,48.358,32.38
2.16,-6,48.555,48.465,48.374,32.279
2.24,-6,48.574,48.482,48.389,32.178
2.32,-6,48.591,48.499,48.402,32.075
2.4,-6,48.608,48.515,48.415,31.971
2.48,-6,48.625,48.53,48.428,31.867
2.56,-6,48.641,48.545,48.44,31.761
2.64,-6,48.656,48.559,48.452,31.654
2.72,-6,48.671,48.573,48.463,31.546
2.8,-6,48.685,48.586,48.474,31.437
2.88,-6,48.701,48.599,48.484,31.327
2.96,-6,48.735,48.612,48.494,31.216
3.04,-6,48.769,48.624,48.504,31.105
3.12,-6,48.803,48.643,48.514,30.993
3.2,-6,48.836,48.674,48.523,30.88
3.28,-6,48.87,48.705,48.533,30.766
3.36,-6,48.903,48.737,48.547,30.651
3.44,-6,48.935,48.768,48.575,30.537
3.52,-6,48.968,48.799,48.604,30.421
3.6,-6,48.999,48.83,48.632,30.305
3.68,-6,49.03,48.86,48.66,30.188
3.76,-6,49.06,48.891,48.689,30.071
3.84,-6,49.09,48.921,48.718,29.953
3.92,-6,49.103,48.95,48.746,29.836
4,-6,49.11,48.979,48.774,29.717
4.08,-6,49.116,49.007,48.802,29.598
4.16,-6,49.122,49.03,48.83,29.479
4.24,-6,49.128,49.037,48.857,29.36
4.32,-6,49.133,49.043,48.884,29.241
4.4,-6,49.138,49.049,48.91,29.121
4.48,-6,49.142,49.055,48.936,29.001
4.56,-6,49.146,49.06,48.955,28.881
4.64,-6,49.149,49.065,48.961,28.761
4.72,-6,49.153,49.069,48.966,28.64
4.8,-6,49.156,49.073,48.971,28.52
4.88,-6,49.158,49.076,48.976,28.399
4.96,-6,49.16,49.08,48.981,28.279
5.04,-6,49.162,49.083,48.985,28.158
5.12,-6,49.164,49.086,48.989,28.037
5.2,-6,49.165,49.088,48.992,27.917
5.28,-6,49.167,49.091,48.995,27.796
5.36,-6,49.168,49.093,48.998,27.676
5.44,-6,49.169,49.094,49.001,27.556
