X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,40.105,40.262,40.422,33.941
-5.92,-6,40.225,40.38,40.538,33.99
-5.84,-6,40.344,40.498,40.655,34.038
-5.76,-6,40.464,40.617,40.772,34.087
-5.68,-6,40.584,40.735,40.889,34.136
-5.6,-6,40.704,40.854,41.006,34.186
-5.52,-6,40.825,40.973,41.124,34.235
-5.44,-6,40.945,41.092,41.242,34.285
-5.36,-6,41.066,41.212,41.36,34.335
-5.28,-6,41.188,41.332,41.478,34.384
-5.2,-6,41.309,41.452,41.596,34.434
-5.12,-6,41.431,41.572,41.714,34.484
-5.04,-6,41.553,41.692,41.833,34.533
-4.96,-6,41.675,41.812,41.951,34.582
-4.88,-6,41.797,41.933,42.07,34.631
-4.8,-6,41.919,42.053,42.189,34.679
-4.72,-6,42.042,42.174,42.308,34.727
-4.64,-6,42.165,42.295,42.427,34.774
-4.56,-6,42.287,42.416,42.546,34.82
-4.48,-6,42.41,42.537,42.665,34.866
-4.4,-6,42.533,42.657,42.783,34.91
-4.32,-6,42.656,42.778,42.902,35.011
-4.24,-6,42.779,42.899,43.021,35.162
-4.16,-6,42.902,43.02,43.14,35.193
-4.08,-6,43.025,43.141,43.258,35.222
-4,-6,43.148,43.262,43.377,35.251
-3.92,-6,43.271,43.383,43.495,35.278
-3.84,-6,43.394,43.503,43.614,35.304
-3.76,-6,43.517,43.624,43.732,35.329
-3.68,-6,43.639,43.744,43.85,35.353
-3.6,-6,43.762,43.864,43.967,35.376
-3.52,-6,43.884,43.985,44.085,35.398
-3.44,-6,44.007,44.104,44.202,35.418
-3.36,-6,44.129,44.224,44.319,35.437
-3.28,-6,44.251,44.343,44.435,35.455
-3.2,-6,44.373,44.463,44.552,35.471
-3.12,-6,44.494,44.581,44.668,35.482
-3.04,-6,44.616,44.7,44.783,35.492
-2.96,-6,44.737,44.818,44.898,35.5
-2.88,-6,44.858,44.936,45.013,35.507
-2.8,-6,44.978,45.054,45.127,35.512
-2.72,-6,45.098,45.171,45.241,35.516
-2.64,-6,45.218,45.287,45.355,35.518
-2.56,-6,45.337,45.404,45.468,35.52
-2.48,-6,45.456,45.52,45.58,35.519
-2.4,-6,45.575,45.635,45.692,35.518
-2.32,-6,45.693,45.75,45.803,35.515
-2.24,-6,45.81,45.864,45.914,35.511
-2.16,-6,45.927,45.978,46.024,35.506
-2.08,-6,46.044,46.091,46.134,35.5
-2,-6,46.16,46.204,46.243,35.492
-1.92,-6,46.275,46.316,46.351,35.484
-1.84,-6,46.39,46.427,46.459,35.474
-1.76,-6,46.504,46.538,46.566,35.477
-1.68,-6,46.618,46.648,46.672,35.479
-1.6,-6,46.731,46.758,46.777,35.48
-1.52,-6,46.843,46.866,46.882,35.479
-1.44,-6,46.955,46.974,46.986,35.467
-1.36,-6,47.065,47.082,47.089,35.447
-1.28,-6,47.175,47.188,47.191,35.425
-1.2,-6,47.284,47.294,47.293,35.401
-1.12,-6,47.393,47.398,47.393,35.376
-1.04,-6,47.5,47.502,47.493,35.348
-0.96,-6,47.607,47.605,47.592,35.318
-0.88,-6,47.712,47.707,47.69,35.286
-0.8,-6,47.817,47.809,47.787,35.252
-0.72,-6,47.921,47.909,47.883,35.216
-0.64,-6,48.023,48.008,47.978,35.177
-0.56,-6,48.125,48.106,48.072,35.136
-0.48,-6,48.225,48.204,48.166,35.092
-0.4,-6,48.325,48.3,48.258,35.046
-0.32,-6,48.423,48.395,48.349,34.997
-0.24,-6,48.521,48.489,48.439,34.945
-0.16,-6,48.617,48.582,48.528,34.889
-0.08,-6,48.712,48.674,48.616,34.831
0,-6,48.806,48.765,48.703,34.769
0.08,-6,48.795,48.743,48.669,34.718
0.16,-6,48.858,48.8,48.719,34.664
0.24,-6,48.93,48.869,48.782,34.731
0.32,-6,49.007,48.942,48.85,34.494
