X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,40.06,40.249,40.443,33.883
-5.92,-6,40.174,40.362,40.555,33.931
-5.84,-6,40.288,40.475,40.667,33.98
-5.76,-6,40.403,40.588,40.779,34.028
-5.68,-6,40.517,40.702,40.891,34.077
-5.6,-6,40.632,40.815,41.003,34.126
-5.52,-6,40.747,40.929,41.116,34.176
-5.44,-6,40.862,41.043,41.229,34.225
-5.36,-6,40.978,41.157,41.341,34.275
-5.28,-6,41.093,41.271,41.454,34.324
-5.2,-6,41.208,41.385,41.567,34.374
-5.12,-6,41.324,41.499,41.679,34.423
-5.04,-6,41.439,41.613,41.792,34.472
-4.96,-6,41.555,41.728,41.905,34.521
-4.88,-6,41.671,41.842,42.018,34.569
-4.8,-6,41.786,41.956,42.13,34.617
-4.72,-6,41.902,42.07,42.243,34.665
-4.64,-6,42.017,42.184,42.355,34.712
-4.56,-6,42.133,42.298,42.467,34.758
-4.48,-6,42.248,42.412,42.579,34.804
-4.4,-6,42.364,42.525,42.691,34.848
-4.32,-6,42.479,42.639,42.803,34.948
-4.24,-6,42.594,42.752,42.915,35.099
-4.16,-6,42.709,42.865,43.026,35.13
-4.08,-6,42.824,42.978,43.137,35.159
-4,-6,42.938,43.091,43.247,35.187
-3.92,-6,43.052,43.203,43.358,35.215
-3.84,-6,43.166,43.315,43.468,35.241
-3.76,-6,43.28,43.426,43.577,35.266
-3.68,-6,43.393,43.538,43.686,35.289
-3.6,-6,43.507,43.649,43.795,35.312
-3.52,-6,43.619,43.759,43.903,35.333
-3.44,-6,43.731,43.869,44.011,35.354
-3.36,-6,43.843,43.979,44.118,35.373
-3.28,-6,43.955,44.088,44.225,35.391
-3.2,-6,44.066,44.196,44.331,35.406
-3.12,-6,44.176,44.304,44.436,35.418
-3.04,-6,44.286,44.412,44.541,35.427
-2.96,-6,44.395,44.518,44.645,35.436
-2.88,-6,44.504,44.624,44.749,35.442
-2.8,-6,44.612,44.73,44.851,35.448
-2.72,-6,44.719,44.835,44.953,35.452
-2.64,-6,44.826,44.939,45.054,35.454
-2.56,-6,44.932,45.042,45.154,35.456
-2.48,-6,45.038,45.144,45.254,35.455
-2.4,-6,45.142,45.246,45.352,35.454
-2.32,-6,45.246,45.347,45.45,35.452
-2.24,-6,45.349,45.447,45.547,35.448
-2.16,-6,45.451,45.546,45.642,35.443
-2.08,-6,45.552,45.644,45.737,35.437
-2,-6,45.652,45.741,45.831,35.429
-1.92,-6,45.752,45.837,45.924,35.421
-1.84,-6,45.85,45.932,46.015,35.412
-1.76,-6,45.948,46.026,46.106,35.415
-1.68,-6,46.044,46.119,46.195,35.418
-1.6,-6,46.139,46.211,46.284,35.419
-1.52,-6,46.234,46.302,46.371,35.419
-1.44,-6,46.327,46.392,46.457,35.407
-1.36,-6,46.419,46.481,46.542,35.388
-1.28,-6,46.51,46.568,46.625,35.366
-1.2,-6,46.599,46.654,46.708,35.343
-1.12,-6,46.688,46.739,46.789,35.317
-1.04,-6,46.775,46.823,46.868,35.29
-0.96,-6,46.86,46.905,46.947,35.261
-0.88,-6,46.945,46.986,47.024,35.23
-0.8,-6,47.028,47.066,47.1,35.196
-0.72,-6,47.11,47.144,47.175,35.16
-0.64,-6,47.19,47.221,47.248,35.122
-0.56,-6,47.269,47.297,47.319,35.081
-0.48,-6,47.347,47.371,47.39,35.038
-0.4,-6,47.423,47.444,47.459,34.992
-0.32,-6,47.497,47.515,47.526,34.944
-0.24,-6,47.57,47.585,47.592,34.892
-0.16,-6,47.641,47.653,47.657,34.837
-0.08,-6,47.711,47.72,47.72,34.779
0,-6,47.779,47.785,47.781,34.718
0.08,-6,47.707,47.702,47.685,34.669
0.16,-6,47.732,47.719,47.695,34.616
0.24,-6,47.77,47.752,47.722,34.685
0.32,-6,47.812,47.791,47.754,34.446
0.4,-6,47.858,47.831,47.79,34.28
0.48,-6,47.903,47.873,47.827,34.189
0.56,-6,47.948,47.914,47.863,34.085
0.64,-6,48,47.955,47.9,33.997
0.72,-6,48.054,48.003,47.936,33.924
0.8,-6,48.106,48.051,47.977,33.849
0.88,-6,48.156,48.098,48.02,33.773
0.96,-6,48.207,48.143,48.061,33.695
1.04,-6,48.257,48.188,48.1,33.615
1.12,-6,48.31,48.232,48.139,33.534
1.2,-6,48.36,48.278,48.177,33.45
1.28,-6,48.395,48.324,48.215,33.366
1.36,-6,48.399,48.367,48.254,33.279
1.44,-6,48.41,48.382,48.293,33.191
1.52,-6,48.44,48.383,48.33,33.102
1.6,-6,48.467,48.397,48.351,33.011
1.68,-6,48.493,48.421,48.371,32.918
1.76,-6,48.517,48.443,48.39,32.824
1.84,-6,48.54,48.463,48.407,32.729
1.92,-6,48.562,48.483,48.424,32.632
2,-6,48.584,48.503,48.429,32.534
2.08,-6,48.605,48.522,48.443,32.435
2.16,-6,48.624,48.54,48.458,32.334
2.24,-6,48.643,48.557,48.472,32.233
2.32,-6,48.661,48.574,48.485,32.13
2.4,-6,48.678,48.59,48.497,32.026
2.48,-6,48.695,48.605,48.51,31.921
2.56,-6,48.712,48.62,48.521,31.814
2.64,-6,48.727,48.635,48.533,31.707
2.72,-6,48.742,48.649,48.544,31.599
2.8,-6,48.757,48.663,48.554,31.49
2.88,-6,48.786,48.676,48.565,31.38
2.96,-6,48.82,48.689,48.575,31.269
3.04,-6,48.855,48.702,48.585,31.158
3.12,-6,48.889,48.73,48.595,31.045
3.2,-6,48.924,48.762,48.604,30.932
3.28,-6,48.958,48.794,48.614,30.819
3.36,-6,48.992,48.826,48.636,30.704
3.44,-6,49.025,48.858,48.664,30.589
3.52,-6,49.058,48.89,48.693,30.474
3.6,-6,49.091,48.922,48.722,30.357
3.68,-6,49.123,48.953,48.751,30.241
3.76,-6,49.154,48.984,48.781,30.124
3.84,-6,49.177,49.015,48.81,30.006
3.92,-6,49.186,49.045,48.839,29.888
4,-6,49.195,49.075,48.869,29.77
4.08,-6,49.203,49.105,48.898,29.651
4.16,-6,49.211,49.12,48.927,29.532
4.24,-6,49.218,49.128,48.955,29.413
4.32,-6,49.224,49.136,48.983,29.294
4.4,-6,49.231,49.143,49.011,29.174
4.48,-6,49.237,49.15,49.038,29.054
4.56,-6,49.243,49.157,49.051,28.934
4.64,-6,49.248,49.164,49.059,28.814
4.72,-6,49.253,49.17,49.066,28.694
4.8,-6,49.258,49.175,49.073,28.574
4.88,-6,49.263,49.181,49.08,28.453
4.96,-6,49.267,49.186,49.086,28.333
5.04,-6,49.271,49.192,49.092,28.212
5.12,-6,49.275,49.196,49.098,28.092
5.2,-6,49.279,49.201,49.103,27.972
5.28,-6,49.282,49.205,49.109,27.851
5.36,-6,49.286,49.21,49.114,27.731
5.44,-6,49.289,49.214,49.119,27.611
5.52,-6,49.292,49.218,49.124,27.491
5.6,-6,49.295,49.221,49.128,27.371
5.68,-6,49.298,49.225,49.133,27.252
5.76,-6,49.301,49.229,49.137,27.132
5.84,-6,49.303,49.232,49.141,27.013
5.92,-6,49.305,49.236,49.145,26.893
6,-6,49.314,49.239,49.149,26.775
-6,-5.92,40.159,40.348,40.542,34.093
-5.92,-5.92,40.275,40.463,40.655,34.141
-5.84,-5.92,40.39,40.577,40.769,34.19
-5.76,-5.92,40.506,40.692,40.882,34.239
-5.68,-5.92,40.622,40.806,40.996,34.288
-5.6,-5.92,40.738,40.921,41.109,34.337
-5.52,-5.92,40.854,41.037,41.223,34.387
-5.44,-5.92,40.971,41.152,41.337,34.437
-5.36,-5.92,41.088,41.267,41.451,34.487
-5.28,-5.92,41.204,41.383,41.566,34.537
-5.2,-5.92,41.321,41.498,41.68,34.587
-5.12,-5.92,41.438,41.614,41.794,34.637
-5.04,-5.92,41.555,41.729,41.908,34.686
-4.96,-5.92,41.672,41.845,42.022,34.735
-4.88,-5.92,41.789,41.96,42.137,34.784
-4.8,-5.92,41.906,42.076,42.251,34.833
-4.72,-5.92,42.024,42.192,42.365,34.881
-4.64,-5.92,42.141,42.307,42.479,34.929
-4.56,-5.92,42.258,42.423,42.592,34.976
-4.48,-5.92,42.375,42.538,42.706,35.022
-4.4,-5.92,42.492,42.653,42.82,35.066
-4.32,-5.92,42.608,42.768,42.933,35.164
-4.24,-5.92,42.725,42.883,43.046,35.32
-4.16,-5.92,42.841,42.998,43.159,35.351
-4.08,-5.92,42.958,43.112,43.271,35.381
-4,-5.92,43.074,43.226,43.384,35.41
-3.92,-5.92,43.19,43.34,43.496,35.437
-3.84,-5.92,43.305,43.454,43.607,35.463
-3.76,-5.92,43.421,43.567,43.718,35.488
-3.68,-5.92,43.535,43.68,43.829,35.512
-3.6,-5.92,43.65,43.793,43.939,35.535
-3.52,-5.92,43.764,43.905,44.049,35.557
-3.44,-5.92,43.878,44.016,44.159,35.577
-3.36,-5.92,43.992,44.127,44.268,35.596
-3.28,-5.92,44.105,44.238,44.376,35.614
-3.2,-5.92,44.217,44.348,44.483,35.63
-3.12,-5.92,44.329,44.458,44.59,35.642
-3.04,-5.92,44.441,44.567,44.697,35.651
-2.96,-5.92,44.552,44.675,44.803,35.66
-2.88,-5.92,44.662,44.783,44.908,35.666
-2.8,-5.92,44.772,44.89,45.012,35.671
-2.72,-5.92,44.881,44.996,45.115,35.675
-2.64,-5.92,44.989,45.102,45.218,35.678
-2.56,-5.92,45.097,45.207,45.32,35.679
-2.48,-5.92,45.204,45.311,45.421,35.678
-2.4,-5.92,45.31,45.414,45.521,35.677
-2.32,-5.92,45.415,45.516,45.62,35.674
-2.24,-5.92,45.519,45.618,45.718,35.67
-2.16,-5.92,45.623,45.718,45.815,35.664
-2.08,-5.92,45.726,45.818,45.911,35.658
-2,-5.92,45.828,45.916,46.007,35.651
-1.92,-5.92,45.928,46.014,46.101,35.642
-1.84,-5.92,46.028,46.11,46.194,35.632
-1.76,-5.92,46.127,46.206,46.286,35.635
-1.68,-5.92,46.225,46.3,46.376,35.638
-1.6,-5.92,46.321,46.394,46.466,35.639
-1.52,-5.92,46.417,46.486,46.555,35.638
-1.44,-5.92,46.511,46.577,46.642,35.627
-1.36,-5.92,46.605,46.667,46.728,35.607
-1.28,-5.92,46.697,46.755,46.813,35.585
-1.2,-5.92,46.788,46.843,46.896,35.561
-1.12,-5.92,46.877,46.929,46.978,35.536
-1.04,-5.92,46.965,47.014,47.059,35.508
-0.96,-5.92,47.052,47.097,47.139,35.478
-0.88,-5.92,47.138,47.179,47.217,35.447
-0.8,-5.92,47.222,47.26,47.294,35.413
-0.72,-5.92,47.305,47.339,47.369,35.377
-0.64,-5.92,47.387,47.417,47.443,35.338
-0.56,-5.92,47.466,47.494,47.516,35.297
-0.48,-5.92,47.545,47.569,47.587,35.254
-0.4,-5.92,47.622,47.642,47.657,35.207
-0.32,-5.92,47.697,47.715,47.725,35.158
-0.24,-5.92,47.771,47.785,47.792,35.106
-0.16,-5.92,47.843,47.854,47.857,35.051
-0.08,-5.92,47.914,47.922,47.921,34.992
0,-5.92,47.982,47.987,47.983,34.93
0.08,-5.92,47.911,47.905,47.887,34.88
0.16,-5.92,47.937,47.923,47.898,34.827
0.24,-5.92,47.976,47.957,47.925,34.896
0.32,-5.92,48.019,47.996,47.958,34.656
0.4,-5.92,48.065,48.037,47.994,34.488
0.48,-5.92,48.111,48.079,48.032,34.396
0.56,-5.92,48.156,48.121,48.069,34.291
0.64,-5.92,48.209,48.162,48.106,34.202
0.72,-5.92,48.263,48.21,48.142,34.128
0.8,-5.92,48.315,48.259,48.184,34.053
0.88,-5.92,48.366,48.306,48.227,33.975
0.96,-5.92,48.418,48.352,48.268,33.896
1.04,-5.92,48.468,48.397,48.308,33.815
1.12,-5.92,48.521,48.442,48.347,33.732
1.2,-5.92,48.572,48.488,48.385,33.648
1.28,-5.92,48.608,48.534,48.423,33.562
1.36,-5.92,48.611,48.578,48.463,33.474
1.44,-5.92,48.623,48.593,48.502,33.385
1.52,-5.92,48.652,48.593,48.539,33.294
1.6,-5.92,48.68,48.608,48.561,33.202
1.68,-5.92,48.706,48.632,48.581,33.108
1.76,-5.92,48.731,48.654,48.599,33.013
1.84,-5.92,48.754,48.674,48.617,32.916
1.92,-5.92,48.776,48.694,48.633,32.818
2,-5.92,48.797,48.714,48.638,32.719
2.08,-5.92,48.818,48.733,48.652,32.618
2.16,-5.92,48.838,48.752,48.667,32.516
2.24,-5.92,48.857,48.769,48.681,32.412
2.32,-5.92,48.875,48.786,48.695,32.308
2.4,-5.92,48.893,48.802,48.707,32.202
2.48,-5.92,48.91,48.818,48.72,32.096
2.56,-5.92,48.926,48.833,48.732,31.988
2.64,-5.92,48.942,48.848,48.743,31.879
2.72,-5.92,48.958,48.862,48.754,31.769
2.8,-5.92,48.972,48.876,48.765,31.659
2.88,-5.92,49.003,48.889,48.775,31.547
2.96,-5.92,49.038,48.903,48.785,31.435
3.04,-5.92,49.073,48.915,48.796,31.322
3.12,-5.92,49.108,48.946,48.806,31.208
3.2,-5.92,49.143,48.978,48.816,31.093
3.28,-5.92,49.177,49.01,48.825,30.977
3.36,-5.92,49.212,49.043,48.848,30.861
3.44,-5.92,49.245,49.075,48.877,30.745
3.52,-5.92,49.279,49.107,48.907,30.627
3.6,-5.92,49.312,49.14,48.936,30.51
3.68,-5.92,49.344,49.172,48.966,30.391
3.76,-5.92,49.376,49.203,48.996,30.273
3.84,-5.92,49.399,49.235,49.026,30.153
3.92,-5.92,49.408,49.265,49.056,30.034
4,-5.92,49.416,49.296,49.085,29.914
4.08,-5.92,49.424,49.325,49.115,29.794
4.16,-5.92,49.432,49.34,49.144,29.673
4.24,-5.92,49.439,49.348,49.173,29.552
4.32,-5.92,49.446,49.356,49.202,29.431
4.4,-5.92,49.452,49.363,49.23,29.31
4.48,-5.92,49.458,49.37,49.257,29.189
4.56,-5.92,49.464,49.377,49.27,29.067
4.64,-5.92,49.469,49.384,49.277,28.946
4.72,-5.92,49.475,49.39,49.285,28.824
4.8,-5.92,49.479,49.395,49.292,28.702
4.88,-5.92,49.484,49.401,49.298,28.58
4.96,-5.92,49.488,49.406,49.305,28.458
5.04,-5.92,49.492,49.411,49.311,28.336
5.12,-5.92,49.496,49.416,49.316,28.215
5.2,-5.92,49.5,49.421,49.322,28.093
5.28,-5.92,49.503,49.425,49.327,27.971
5.36,-5.92,49.507,49.429,49.332,27.85
5.44,-5.92,49.51,49.433,49.337,27.728
5.52,-5.92,49.513,49.437,49.342,27.607
5.6,-5.92,49.516,49.441,49.347,27.486
5.68,-5.92,49.519,49.445,49.351,27.364
5.76,-5.92,49.521,49.448,49.355,27.244
5.84,-5.92,49.524,49.452,49.359,27.123
5.92,-5.92,49.526,49.455,49.363,27.002
6,-5.92,49.535,49.459,49.367,26.882
-6,-5.84,40.259,40.448,40.641,34.305
-5.92,-5.84,40.375,40.563,40.756,34.354
-5.84,-5.84,40.492,40.679,40.871,34.402
-5.76,-5.84,40.609,40.795,40.985,34.452
-5.68,-5.84,40.727,40.911,41.1,34.501
-5.6,-5.84,40.844,41.027,41.216,34.551
-5.52,-5.84,40.962,41.144,41.331,34.602
-5.44,-5.84,41.08,41.261,41.446,34.652
-5.36,-5.84,41.198,41.377,41.562,34.702
-5.28,-5.84,41.316,41.494,41.677,34.753
-5.2,-5.84,41.434,41.611,41.793,34.803
-5.12,-5.84,41.553,41.728,41.909,34.853
-5.04,-5.84,41.671,41.845,42.024,34.903
-4.96,-5.84,41.79,41.962,42.14,34.953
-4.88,-5.84,41.908,42.08,42.256,35.003
-4.8,-5.84,42.027,42.197,42.371,35.052
-4.72,-5.84,42.146,42.314,42.487,35.1
-4.64,-5.84,42.264,42.431,42.603,35.149
-4.56,-5.84,42.383,42.548,42.718,35.196
-4.48,-5.84,42.501,42.665,42.833,35.243
-4.4,-5.84,42.62,42.782,42.948,35.288
-4.32,-5.84,42.738,42.898,43.063,35.383
-4.24,-5.84,42.856,43.015,43.178,35.538
-4.16,-5.84,42.974,43.131,43.292,35.576
-4.08,-5.84,43.092,43.247,43.407,35.606
-4,-5.84,43.21,43.363,43.521,35.635
-3.92,-5.84,43.328,43.479,43.634,35.663
-3.84,-5.84,43.445,43.594,43.747,35.689
-3.76,-5.84,43.562,43.709,43.86,35.715
-3.68,-5.84,43.678,43.823,43.973,35.739
-3.6,-5.84,43.795,43.937,44.085,35.762
-3.52,-5.84,43.911,44.051,44.196,35.783
-3.44,-5.84,44.026,44.165,44.307,35.804
-3.36,-5.84,44.141,44.277,44.418,35.823
-3.28,-5.84,44.256,44.39,44.528,35.841
-3.2,-5.84,44.37,44.502,44.637,35.858
-3.12,-5.84,44.484,44.613,44.746,35.869
-3.04,-5.84,44.597,44.723,44.854,35.878
-2.96,-5.84,44.71,44.833,44.961,35.887
-2.88,-5.84,44.822,44.943,45.068,35.893
-2.8,-5.84,44.933,45.051,45.174,35.898
-2.72,-5.84,45.044,45.159,45.279,35.902
-2.64,-5.84,45.154,45.267,45.383,35.904
-2.56,-5.84,45.263,45.373,45.487,35.905
-2.48,-5.84,45.371,45.479,45.589,35.904
-2.4,-5.84,45.479,45.583,45.691,35.902
-2.32,-5.84,45.586,45.687,45.792,35.899
-2.24,-5.84,45.692,45.79,45.891,35.895
-2.16,-5.84,45.797,45.892,45.99,35.889
-2.08,-5.84,45.901,45.993,46.088,35.882
-2,-5.84,46.004,46.093,46.184,35.875
-1.92,-5.84,46.107,46.192,46.28,35.866
-1.84,-5.84,46.208,46.29,46.374,35.856
-1.76,-5.84,46.308,46.387,46.468,35.858
-1.68,-5.84,46.408,46.483,46.56,35.86
-1.6,-5.84,46.506,46.578,46.651,35.861
-1.52,-5.84,46.603,46.671,46.74,35.861
-1.44,-5.84,46.698,46.764,46.829,35.849
-1.36,-5.84,46.793,46.855,46.916,35.829
-1.28,-5.84,46.886,46.945,47.002,35.806
-1.2,-5.84,46.978,47.033,47.087,35.782
-1.12,-5.84,47.069,47.121,47.17,35.757
-1.04,-5.84,47.159,47.207,47.252,35.729
-0.96,-5.84,47.247,47.291,47.333,35.699
-0.88,-5.84,47.334,47.374,47.412,35.667
-0.8,-5.84,47.419,47.456,47.49,35.633
-0.72,-5.84,47.503,47.537,47.566,35.596
-0.64,-5.84,47.585,47.616,47.641,35.557
-0.56,-5.84,47.666,47.693,47.715,35.516
-0.48,-5.84,47.746,47.769,47.787,35.472
-0.4,-5.84,47.824,47.844,47.858,35.425
-0.32,-5.84,47.9,47.917,47.927,35.375
-0.24,-5.84,47.975,47.988,47.994,35.323
-0.16,-5.84,48.048,48.058,48.06,35.267
-0.08,-5.84,48.119,48.126,48.125,35.208
0,-5.84,48.189,48.193,48.187,35.145
0.08,-5.84,48.118,48.111,48.093,35.095
0.16,-5.84,48.145,48.13,48.104,35.041
0.24,-5.84,48.184,48.164,48.131,35.11
0.32,-5.84,48.228,48.204,48.165,34.868
0.4,-5.84,48.274,48.245,48.201,34.7
0.48,-5.84,48.321,48.288,48.24,34.606
0.56,-5.84,48.367,48.33,48.277,34.5
0.64,-5.84,48.42,48.372,48.315,34.41
0.72,-5.84,48.475,48.421,48.351,34.335
0.8,-5.84,48.527,48.47,48.393,34.258
0.88,-5.84,48.579,48.517,48.436,34.18
0.96,-5.84,48.631,48.563,48.478,34.1
1.04,-5.84,48.682,48.609,48.518,34.018
1.12,-5.84,48.735,48.654,48.557,33.934
1.2,-5.84,48.787,48.701,48.596,33.848
1.28,-5.84,48.823,48.747,48.634,33.761
1.36,-5.84,48.826,48.792,48.674,33.672
1.44,-5.84,48.838,48.806,48.713,33.582
1.52,-5.84,48.868,48.807,48.751,33.489
1.6,-5.84,48.896,48.822,48.773,33.396
1.68,-5.84,48.922,48.846,48.793,33.3
1.76,-5.84,48.947,48.868,48.812,33.204
1.84,-5.84,48.97,48.889,48.829,33.105
1.92,-5.84,48.992,48.908,48.845,33.006
2,-5.84,49.014,48.929,48.85,32.905
2.08,-5.84,49.035,48.948,48.865,32.802
2.16,-5.84,49.055,48.967,48.88,32.699
2.24,-5.84,49.074,48.984,48.894,32.594
2.32,-5.84,49.092,49.001,48.907,32.488
2.4,-5.84,49.11,49.017,48.92,32.381
2.48,-5.84,49.128,49.033,48.933,32.273
2.56,-5.84,49.144,49.048,48.944,32.163
2.64,-5.84,49.16,49.063,48.956,32.053
2.72,-5.84,49.176,49.078,48.967,31.941
2.8,-5.84,49.191,49.092,48.978,31.829
2.88,-5.84,49.222,49.106,48.989,31.716
2.96,-5.84,49.258,49.119,48.999,31.602
3.04,-5.84,49.294,49.132,49.009,31.487
3.12,-5.84,49.329,49.164,49.02,31.371
3.2,-5.84,49.364,49.196,49.03,31.255
3.28,-5.84,49.4,49.229,49.04,31.138
3.36,-5.84,49.434,49.262,49.064,31.02
3.44,-5.84,49.469,49.295,49.093,30.901
3.52,-5.84,49.503,49.328,49.123,30.783
3.6,-5.84,49.536,49.361,49.153,30.663
3.68,-5.84,49.569,49.393,49.183,30.543
3.76,-5.84,49.601,49.426,49.214,30.423
3.84,-5.84,49.623,49.457,49.244,30.302
3.92,-5.84,49.632,49.488,49.275,30.181
4,-5.84,49.641,49.519,49.305,30.059
4.08,-5.84,49.649,49.549,49.335,29.937
4.16,-5.84,49.656,49.562,49.365,29.815
4.24,-5.84,49.663,49.571,49.394,29.693
4.32,-5.84,49.67,49.579,49.423,29.57
4.4,-5.84,49.676,49.586,49.451,29.447
4.48,-5.84,49.682,49.594,49.479,29.324
4.56,-5.84,49.688,49.6,49.491,29.201
4.64,-5.84,49.694,49.607,49.499,29.078
4.72,-5.84,49.699,49.613,49.506,28.955
4.8,-5.84,49.704,49.618,49.513,28.831
4.88,-5.84,49.708,49.624,49.52,28.708
4.96,-5.84,49.712,49.629,49.526,28.584
5.04,-5.84,49.716,49.634,49.532,28.461
5.12,-5.84,49.72,49.639,49.538,28.338
5.2,-5.84,49.724,49.644,49.543,28.215
5.28,-5.84,49.727,49.648,49.549,28.091
5.36,-5.84,49.731,49.652,49.554,27.968
5.44,-5.84,49.734,49.656,49.559,27.845
5.52,-5.84,49.737,49.66,49.563,27.723
5.6,-5.84,49.74,49.664,49.568,27.6
5.68,-5.84,49.742,49.667,49.572,27.478
5.76,-5.84,49.745,49.671,49.577,27.356
5.84,-5.84,49.747,49.674,49.581,27.234
5.92,-5.84,49.75,49.678,49.585,27.112
6,-5.84,49.758,49.681,49.588,26.99
-6,-5.76,40.358,40.547,40.741,34.52
-5.92,-5.76,40.476,40.664,40.857,34.569
-5.84,-5.76,40.594,40.781,40.973,34.618
-5.76,-5.76,40.713,40.898,41.089,34.668
-5.68,-5.76,40.831,41.016,41.205,34.718
-5.6,-5.76,40.95,41.134,41.322,34.768
