X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,40.093,40.252,40.419,34.936
-5.92,-6,40.211,40.369,40.535,34.961
-5.84,-6,40.33,40.487,40.651,34.988
-5.76,-6,40.45,40.605,40.768,35.015
-5.68,-6,40.569,40.723,40.884,35.043
-5.6,-6,40.689,40.841,41.001,35.072
-5.52,-6,40.809,40.96,41.118,35.102
-5.44,-6,40.929,41.078,41.236,35.132
-5.36,-6,41.049,41.197,41.353,35.161
-5.28,-6,41.17,41.316,41.471,35.19
-5.2,-6,41.291,41.436,41.589,35.22
-5.12,-6,41.412,41.555,41.707,35.25
-5.04,-6,41.533,41.675,41.825,35.281
-4.96,-6,41.655,41.795,41.943,35.311
-4.88,-6,41.776,41.915,42.061,35.342
-4.8,-6,41.898,42.034,42.179,35.374
-4.72,-6,42.02,42.155,42.297,35.405
-4.64,-6,42.142,42.275,42.416,35.436
-4.56,-6,42.264,42.395,42.534,35.468
-4.48,-6,42.386,42.515,42.652,35.499
-4.4,-6,42.508,42.635,42.771,35.53
-4.32,-6,42.63,42.755,42.889,35.561
-4.24,-6,42.753,42.876,43.007,35.592
-4.16,-6,42.875,42.996,43.125,35.622
-4.08,-6,42.997,43.116,43.243,35.651
-4,-6,43.119,43.236,43.361,35.68
-3.92,-6,43.241,43.356,43.479,35.709
-3.84,-6,43.363,43.476,43.596,35.736
-3.76,-6,43.485,43.595,43.714,35.777
-3.68,-6,43.607,43.715,43.831,35.874
-3.6,-6,43.729,43.834,43.948,35.973
-3.52,-6,43.851,43.954,44.064,35.985
-3.44,-6,43.972,44.072,44.181,35.996
-3.36,-6,44.093,44.191,44.297,36.005
-3.28,-6,44.214,44.31,44.413,36.014
-3.2,-6,44.335,44.428,44.528,36.022
-3.12,-6,44.456,44.546,44.643,36.028
-3.04,-6,44.576,44.663,44.758,36.034
-2.96,-6,44.696,44.781,44.873,36.038
-2.88,-6,44.816,44.897,44.987,36.041
-2.8,-6,44.935,45.014,45.1,36.043
-2.72,-6,45.054,45.13,45.213,36.045
-2.64,-6,45.173,45.246,45.326,36.045
-2.56,-6,45.291,45.361,45.438,36.041
-2.48,-6,45.409,45.476,45.549,36.035
-2.4,-6,45.527,45.59,45.66,36.027
-2.32,-6,45.644,45.704,45.771,36.017
-2.24,-6,45.76,45.817,45.88,36.007
-2.16,-6,45.876,45.93,45.99,35.995
-2.08,-6,45.991,46.042,46.098,35.981
-2,-6,46.106,46.153,46.206,35.967
-1.92,-6,46.221,46.264,46.314,35.951
-1.84,-6,46.334,46.375,46.42,35.934
-1.76,-6,46.447,46.484,46.526,35.915
-1.68,-6,46.56,46.593,46.632,35.896
-1.6,-6,46.672,46.702,46.736,35.875
-1.52,-6,46.783,46.809,46.84,35.853
-1.44,-6,46.893,46.916,46.943,35.821
-1.36,-6,47.003,47.022,47.045,35.781
-1.28,-6,47.112,47.127,47.147,35.74
-1.2,-6,47.22,47.232,47.247,35.701
-1.12,-6,47.327,47.336,47.347,35.67
-1.04,-6,47.433,47.439,47.446,35.638
-0.96,-6,47.539,47.541,47.544,35.603
-0.88,-6,47.643,47.642,47.641,35.566
-0.8,-6,47.747,47.742,47.737,35.527
-0.72,-6,47.85,47.841,47.833,35.486
-0.64,-6,47.951,47.939,47.927,35.442
-0.56,-6,48.052,48.037,48.02,35.397
-0.48,-6,48.152,48.133,48.113,35.348
-0.4,-6,48.25,48.228,48.204,35.297
-0.32,-6,48.348,48.323,48.295,35.243
-0.24,-6,48.444,48.416,48.384,35.187
-0.16,-6,48.54,48.508,48.473,35.127
-0.08,-6,48.634,48.599,48.56,35.064
0,-6,48.727,48.689,48.647,34.998
0.08,-6,48.713,48.665,48.61,34.942
0.16,-6,48.774,48.72,48.658,34.884
0.24,-6,48.846,48.787,48.72,34.941
0.32,-6,48.921,48.859,48.787,34.707
0.4,-6,48.999,48.933,48.855,34.542
0.48,-6,49.077,49.008,48.926,34.448
