X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,39.129,39.313,39.491,39.831,40.185,40.555,40.887,46.681
-5.92,-6,39.266,39.45,39.627,39.968,40.321,40.691,41.023,46.642
-5.84,-6,39.403,39.587,39.764,40.104,40.457,40.827,41.159,46.604
-5.76,-6,39.54,39.724,39.901,40.241,40.594,40.963,41.295,46.566
-5.68,-6,39.678,39.861,40.038,40.377,40.73,41.099,41.431,46.528
-5.6,-6,39.815,39.998,40.175,40.514,40.866,41.235,41.566,46.491
-5.52,-6,39.952,40.135,40.312,40.65,41.002,41.371,41.702,46.454
-5.44,-6,40.089,40.272,40.448,40.787,41.138,41.506,41.838,46.418
-5.36,-6,40.226,40.409,40.585,40.923,41.274,41.642,41.973,46.383
-5.28,-6,40.363,40.545,40.721,41.059,41.41,41.778,42.109,46.349
-5.2,-6,40.5,40.682,40.858,41.195,41.546,41.913,42.244,46.316
-5.12,-6,40.637,40.818,40.994,41.331,41.681,42.048,42.379,46.284
-5.04,-6,40.773,40.955,41.13,41.466,41.816,42.183,42.513,46.253
-4.96,-6,40.91,41.091,41.266,41.602,41.951,42.318,42.648,46.223
-4.88,-6,41.046,41.226,41.401,41.737,42.086,42.452,42.782,46.194
-4.8,-6,41.181,41.362,41.536,41.871,42.22,42.586,42.916,46.166
-4.72,-6,41.317,41.497,41.671,42.006,42.354,42.719,43.049,46.14
-4.64,-6,41.452,41.631,41.805,42.14,42.487,42.852,43.182,46.114
-4.56,-6,41.587,41.766,41.939,42.273,42.621,42.985,43.314,46.091
-4.48,-6,41.721,41.9,42.073,42.406,42.753,43.117,43.446,46.072
-4.4,-6,41.855,42.033,42.206,42.539,42.885,43.249,43.578,46.053
-4.32,-6,41.988,42.166,42.338,42.67,43.016,43.38,43.709,46.032
