X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,39.45,39.649,39.841,40.214,40.598,40.997,41.355,45.946
-5.92,-6,39.589,39.788,39.98,40.352,40.736,41.135,41.492,45.918
-5.84,-6,39.727,39.926,40.119,40.491,40.874,41.273,41.63,45.889
-5.76,-6,39.866,40.065,40.257,40.629,41.013,41.411,41.767,45.861
-5.68,-6,40.005,40.204,40.396,40.768,41.151,41.549,41.905,45.834
-5.6,-6,40.145,40.343,40.535,40.907,41.29,41.688,42.043,45.807
-5.52,-6,40.284,40.482,40.674,41.046,41.429,41.826,42.181,45.781
-5.44,-6,40.423,40.621,40.813,41.185,41.567,41.964,42.318,45.755
-5.36,-6,40.562,40.76,40.952,41.323,41.706,42.102,42.456,45.731
-5.28,-6,40.701,40.899,41.091,41.462,41.844,42.24,42.594,45.707
-5.2,-6,40.84,41.038,41.23,41.601,41.983,42.379,42.731,45.684
-5.12,-6,40.979,41.177,41.368,41.74,42.121,42.516,42.868,45.662
-5.04,-6,41.118,41.316,41.507,41.878,42.26,42.654,43.006,45.641
-4.96,-6,41.257,41.454,41.646,42.016,42.398,42.792,43.143,45.62
-4.88,-6,41.395,41.593,41.784,42.155,42.536,42.929,43.28,45.601
-4.8,-6,41.533,41.731,41.922,42.293,42.673,43.067,43.416,45.587
-4.72,-6,41.672,41.869,42.06,42.431,42.811,43.204,43.553,45.572
-4.64,-6,41.81,42.007,42.198,42.568,42.948,43.341,43.689,45.555
-4.56,-6,41.947,42.144,42.335,42.705,43.085,43.477,43.824,45.537
-4.48,-6,42.085,42.281,42.472,42.842,43.222,43.613,43.96,45.517
-4.4,-6,42.222,42.418,42.609,42.979,43.358,43.749,44.095,45.495
-4.32,-6,42.358,42.555,42.745,43.115,43.494,43.884,44.229,45.472
-4.24,-6,42.495,42.691,42.881,43.251,43.63,44.019,44.363,45.448
-4.16,-6,42.631,42.827,43.017,43.387,43.765,44.154,44.497,45.422
-4.08,-6,42.766,42.962,43.152,43.522,43.9,44.288,44.63,45.396
