X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,39.426,39.624,39.814,40.181,40.563,40.964,41.408,45.947
-5.92,-6,39.563,39.76,39.95,40.318,40.699,41.1,41.543,45.918
-5.84,-6,39.7,39.897,40.087,40.454,40.835,41.236,41.679,45.889
-5.76,-6,39.838,40.034,40.224,40.591,40.971,41.372,41.815,45.861
-5.68,-6,39.975,40.171,40.36,40.727,41.107,41.507,41.95,45.834
-5.6,-6,40.112,40.308,40.497,40.863,41.243,41.643,42.086,45.807
-5.52,-6,40.249,40.445,40.634,41,41.379,41.779,42.222,45.781
-5.44,-6,40.386,40.581,40.77,41.136,41.515,41.915,42.357,45.756
-5.36,-6,40.523,40.718,40.907,41.272,41.651,42.05,42.492,45.731
-5.28,-6,40.659,40.854,41.043,41.408,41.787,42.186,42.628,45.707
-5.2,-6,40.796,40.991,41.179,41.544,41.922,42.321,42.763,45.684
-5.12,-6,40.932,41.127,41.315,41.68,42.057,42.456,42.898,45.662
-5.04,-6,41.069,41.263,41.451,41.815,42.192,42.591,43.032,45.641
-4.96,-6,41.205,41.399,41.586,41.95,42.327,42.725,43.166,45.621
-4.88,-6,41.34,41.534,41.721,42.085,42.462,42.859,43.3,45.601
-4.8,-6,41.476,41.669,41.856,42.219,42.596,42.993,43.434,45.587
-4.72,-6,41.611,41.804,41.991,42.353,42.729,43.126,43.567,45.572
-4.64,-6,41.745,41.938,42.125,42.487,42.863,43.259,43.7,45.555
-4.56,-6,41.88,42.072,42.258,42.62,42.996,43.392,43.832,45.537
-4.48,-6,42.014,42.206,42.392,42.753,43.128,43.524,43.964,45.517
-4.4,-6,42.147,42.339,42.524,42.885,43.26,43.655,44.095,45.495
-4.32,-6,42.28,42.471,42.656,43.017,43.391,43.786,44.226,45.472
-4.24,-6,42.412,42.603,42.788,43.148,43.521,43.916,44.356,45.448
-4.16,-6,42.544,42.734,42.919,43.278,43.651,44.046,44.486,45.423
-4.08,-6,42.675,42.865,43.049,43.408,43.78,44.174,44.614,45.396
-4,-6,42.805,42.995,43.179,43.537,43.909,44.302,44.742,45.368
-3.92,-6,42.935,43.124,43.308,43.665,44.036,44.43,44.869,45.34
-3.84,-6,43.064,43.253,43.436,43.792,44.163,44.556,44.995,45.31
-3.76,-6,43.192,43.38,43.563,43.919,44.289,44.681,45.12,45.28
-3.68,-6,43.32,43.507,43.689,44.044,44.414,44.806,45.245,45.248
-3.6,-6,43.446,43.633,43.814,44.169,44.538,44.929,45.368,45.217
-3.52,-6,43.572,43.758,43.939,44.293,44.661,45.051,45.49,45.184
-3.44,-6,43.697,43.882,44.062,44.415,44.782,45.173,45.611,45.151
-3.36,-6,43.82,44.005,44.185,44.537,44.903,45.293,45.731,45.118
-3.28,-6,43.943,44.127,44.306,44.657,45.022,45.411,45.849,45.087
-3.2,-6,44.065,44.248,44.426,44.776,45.141,45.529,45.967,45.059
-3.12,-6,44.185,44.367,44.545,44.894,45.257,45.645,46.083,45.013
-3.04,-6,44.305,44.486,44.663,45.01,45.373,45.76,46.197,44.964
-2.96,-6,44.423,44.603,44.779,45.125,45.487,45.873,46.31,44.912
-2.88,-6,44.54,44.719,44.894,45.239,45.6,45.985,46.422,44.857
-2.8,-6,44.656,44.834,45.008,45.352,45.711,46.095,46.531,44.8
-2.72,-6,44.771,44.948,45.121,45.463,45.82,46.203,46.64,44.74
-2.64,-6,44.884,45.06,45.232,45.572,45.928,46.31,46.746,44.679
-2.56,-6,44.997,45.171,45.342,45.68,46.035,46.415,46.851,44.616
-2.48,-6,45.108,45.28,45.45,45.786,46.139,46.519,46.954,44.551
-2.4,-6,45.217,45.388,45.557,45.891,46.242,46.62,47.055,44.485
-2.32,-6,45.326,45.495,45.662,45.994,46.343,46.72,47.155,44.418
-2.24,-6,45.433,45.601,45.766,46.095,46.443,46.818,47.252,44.351
-2.16,-6,45.538,45.704,45.868,46.195,46.54,46.914,47.347,44.284
-2.08,-6,45.643,45.807,45.969,46.293,46.636,47.008,47.44,44.217
-2,-6,45.746,45.908,46.069,46.389,46.729,47.099,47.531,44.15
-1.92,-6,45.848,46.008,46.166,46.484,46.821,47.189,47.62,44.085
-1.84,-6,45.948,46.106,46.263,46.576,46.911,47.277,47.707,44.02
-1.76,-6,46.048,46.203,46.357,46.667,46.999,47.362,47.792,43.979
-1.68,-6,46.146,46.298,46.451,46.757,47.085,47.445,47.874,43.94
-1.6,-6,46.243,46.393,46.542,46.844,47.169,47.527,47.954,43.9
-1.52,-6,46.339,46.485,46.633,46.93,47.251,47.605,48.031,43.859
-1.44,-6,46.433,46.577,46.722,47.014,47.33,47.682,48.106,43.799
-1.36,-6,46.527,46.668,46.809,47.096,47.408,47.756,48.179,43.722
-1.28,-6,46.62,46.757,46.895,47.177,47.484,47.828,48.249,43.643
-1.2,-6,46.712,46.845,46.98,47.256,47.558,47.898,48.317,43.56
-1.12,-6,46.802,46.932,47.064,47.333,47.63,47.966,48.383,43.473
-1.04,-6,46.893,47.018,47.146,47.409,47.7,48.031,48.446,43.384
-0.96,-6,46.982,47.103,47.228,47.483,47.768,48.094,48.506,43.29
-0.88,-6,47.07,47.187,47.308,47.556,47.835,48.155,48.564,43.193
-0.8,-6,47.158,47.271,47.387,47.628,47.899,48.213,48.62,43.092
-0.72,-6,47.245,47.353,47.466,47.698,47.962,48.27,48.673,42.987
-0.64,-6,47.331,47.435,47.543,47.767,48.023,48.324,48.724,42.878
-0.56,-6,47.417,47.516,47.619,47.835,48.083,48.377,48.772,42.765
-0.48,-6,47.502,47.596,47.695,47.901,48.141,48.427,48.818,42.647
-0.4,-6,47.586,47.675,47.77,47.966,48.197,48.475,48.862,42.525
-0.32,-6,47.67,47.754,47.844,48.031,48.252,48.522,48.903,42.398
-0.24,-6,47.752,47.831,47.917,48.094,48.306,48.566,48.942,42.266
-0.16,-6,47.834,47.908,47.989,48.157,48.358,48.609,48.98,42.128
-0.08,-6,47.914,47.984,48.06,48.218,48.409,48.65,49.015,41.985
0,-6,47.993,48.058,48.13,48.278,48.459,48.69,49.048,41.835
0.08,-6,47.865,47.919,47.981,48.129,48.288,48.495,48.848,41.713
0.16,-6,47.892,47.941,47.997,48.138,48.282,48.475,48.824,41.583
0.24,-6,47.929,47.973,48.023,48.156,48.286,48.467,48.809,41.485
0.32,-6,47.967,48.005,48.05,48.175,48.293,48.459,48.791,41.32
0.4,-6,48,48.035,48.077,48.192,48.297,48.447,48.773,41.147
0.48,-6,48.029,48.061,48.098,48.205,48.296,48.433,48.748,40.981
0.56,-6,48.051,48.08,48.115,48.212,48.291,48.412,48.72,40.81
0.64,-6,48.067,48.093,48.124,48.214,48.28,48.386,48.684,40.641
0.72,-6,48.075,48.099,48.129,48.211,48.263,48.355,48.642,40.473
0.8,-6,48.088,48.101,48.126,48.201,48.243,48.317,48.595,40.305
0.88,-6,48.095,48.106,48.122,48.187,48.216,48.275,48.542,40.135
0.96,-6,48.096,48.105,48.119,48.167,48.185,48.229,48.483,39.964
1.04,-6,48.092,48.099,48.112,48.147,48.151,48.177,48.422,39.792
