X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,39.49,39.69,39.883,40.258,40.64,41.036,41.464,47.242
-5.92,-6,39.629,39.83,40.023,40.397,40.779,41.174,41.602,47.193
-5.84,-6,39.769,39.969,40.162,40.536,40.918,41.313,41.739,47.144
-5.76,-6,39.909,40.109,40.301,40.676,41.057,41.451,41.877,47.095
-5.68,-6,40.048,40.248,40.441,40.815,41.196,41.59,42.015,47.047
-5.6,-6,40.188,40.388,40.581,40.955,41.336,41.728,42.153,46.998
-5.52,-6,40.328,40.528,40.72,41.094,41.475,41.867,42.291,46.95
-5.44,-6,40.468,40.668,40.86,41.234,41.614,42.006,42.429,46.903
-5.36,-6,40.608,40.808,41,41.374,41.753,42.144,42.566,46.856
-5.28,-6,40.748,40.948,41.14,41.513,41.893,42.283,42.704,46.81
-5.2,-6,40.888,41.088,41.28,41.653,42.032,42.422,42.842,46.764
-5.12,-6,41.028,41.227,41.419,41.793,42.171,42.56,42.98,46.719
-5.04,-6,41.168,41.367,41.559,41.932,42.31,42.699,43.117,46.675
-4.96,-6,41.308,41.507,41.699,42.072,42.449,42.837,43.254,46.632
-4.88,-6,41.448,41.646,41.838,42.211,42.588,42.975,43.391,46.589
-4.8,-6,41.587,41.786,41.978,42.35,42.727,43.113,43.528,46.548
-4.72,-6,41.727,41.925,42.117,42.489,42.866,43.251,43.665,46.508
-4.64,-6,41.866,42.064,42.256,42.628,43.004,43.388,43.801,46.469
-4.56,-6,42.005,42.203,42.395,42.767,43.142,43.525,43.938,46.432
-4.48,-6,42.144,42.342,42.533,42.905,43.28,43.662,44.073,46.395
-4.4,-6,42.283,42.481,42.672,43.043,43.418,43.799,44.209,46.36
-4.32,-6,42.421,42.619,42.81,43.181,43.555,43.935,44.344,46.326
-4.24,-6,42.559,42.757,42.947,43.319,43.692,44.071,44.478,46.295
-4.16,-6,42.697,42.894,43.085,43.456,43.829,44.207,44.612,46.267
-4.08,-6,42.834,43.032,43.222,43.593,43.965,44.342,44.746,46.239
-4,-6,42.971,43.168,43.359,43.73,44.101,44.476,44.879,46.209
-3.92,-6,43.108,43.305,43.495,43.866,44.236,44.61,45.012,46.177
-3.84,-6,43.244,43.441,43.631,44.002,44.371,44.744,45.143,46.145
-3.76,-6,43.38,43.577,43.767,44.137,44.505,44.877,45.275,46.111
-3.68,-6,43.516,43.712,43.902,44.272,44.639,45.01,45.405,46.077
-3.6,-6,43.651,43.847,44.036,44.406,44.773,45.142,45.535,46.042
-3.52,-6,43.786,43.981,44.171,44.54,44.906,45.273,45.665,46.006
-3.44,-6,43.92,44.115,44.304,44.673,45.038,45.404,45.793,45.97
-3.36,-6,44.054,44.249,44.437,44.806,45.17,45.534,45.921,45.933
-3.28,-6,44.187,44.382,44.57,44.939,45.301,45.663,46.048,45.897
-3.2,-6,44.32,44.514,44.702,45.07,45.432,45.791,46.174,45.86
-3.12,-6,44.452,44.646,44.834,45.202,45.562,45.919,46.299,45.824
-3.04,-6,44.583,44.777,44.965,45.332,45.691,46.046,46.423,45.787
-2.96,-6,44.715,44.908,45.095,45.462,45.82,46.173,46.546,45.751
-2.88,-6,44.845,45.038,45.225,45.592,45.948,46.298,46.669,45.715
-2.8,-6,44.976,45.168,45.355,45.721,46.075,46.423,46.79,45.68
-2.72,-6,45.105,45.297,45.484,45.849,46.202,46.547,46.911,45.645
-2.64,-6,45.235,45.426,45.612,45.976,46.327,46.67,47.03,45.617
-2.56,-6,45.364,45.554,45.74,46.103,46.453,46.792,47.148,45.581
-2.48,-6,45.492,45.682,45.867,46.23,46.577,46.913,47.266,45.535
-2.4,-6,45.62,45.809,45.994,46.356,46.701,47.034,47.382,45.487
-2.32,-6,45.747,45.936,46.12,46.481,46.824,47.154,47.497,45.436
-2.24,-6,45.874,46.062,46.246,46.606,46.946,47.272,47.611,45.384
-2.16,-6,46.001,46.188,46.371,46.729,47.068,47.39,47.724,45.329
-2.08,-6,46.127,46.313,46.495,46.853,47.189,47.507,47.835,45.272
-2,-6,46.253,46.438,46.619,46.975,47.309,47.623,47.946,45.213
-1.92,-6,46.378,46.562,46.743,47.097,47.428,47.738,48.055,45.153
-1.84,-6,46.503,46.686,46.866,47.219,47.547,47.852,48.163,45.09
-1.76,-6,46.627,46.809,46.988,47.339,47.664,47.965,48.27,45.025
-1.68,-6,46.751,46.932,47.11,47.459,47.781,48.078,48.376,44.959
-1.6,-6,46.875,47.054,47.231,47.578,47.897,48.189,48.48,44.89
-1.52,-6,46.998,47.176,47.351,47.696,48.011,48.299,48.584,44.82
-1.44,-6,47.121,47.296,47.47,47.813,48.125,48.407,48.685,44.731
-1.36,-6,47.243,47.417,47.589,47.93,48.238,48.515,48.786,44.628
-1.28,-6,47.364,47.536,47.707,48.045,48.349,48.621,48.885,44.521
-1.2,-6,47.485,47.655,47.824,48.158,48.459,48.727,48.982,44.416
-1.12,-6,47.605,47.772,47.939,48.271,48.568,48.83,49.078,44.321
-1.04,-6,47.724,47.889,48.054,48.382,48.674,48.932,49.173,44.222
-0.96,-6,47.842,48.004,48.167,48.491,48.78,49.033,49.265,44.117
-0.88,-6,47.959,48.118,48.278,48.599,48.883,49.131,49.356,44.007
-0.8,-6,48.075,48.23,48.388,48.704,48.984,49.228,49.445,43.893
-0.72,-6,48.189,48.341,48.496,48.808,49.083,49.324,49.535,43.773
-0.64,-6,48.3,48.448,48.601,48.908,49.182,49.425,49.631,43.649
-0.56,-6,48.409,48.553,48.704,49.006,49.277,49.523,49.725,43.519
-0.48,-6,48.516,48.656,48.805,49.101,49.369,49.62,49.818,43.384
-0.4,-6,48.57,48.757,48.903,49.194,49.458,49.714,49.909,43.245
-0.32,-6,48.64,48.836,48.998,49.283,49.543,49.806,49.998,43.1
-0.24,-6,48.73,48.878,49.091,49.37,49.626,49.894,50.085,42.95
-0.16,-6,48.833,48.95,49.141,49.453,49.705,49.972,50.17,42.796
-0.08,-6,48.933,49.043,49.186,49.532,49.78,50.046,50.253,42.635
