X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,47.98,48.175,48.371,48.684,49.005,41.901
-5.92,-6,48.084,48.278,48.473,48.784,49.104,41.888
-5.84,-6,48.188,48.381,48.575,48.885,49.204,41.874
-5.76,-6,48.292,48.484,48.677,48.986,49.304,41.859
-5.68,-6,48.397,48.587,48.779,49.087,49.404,41.843
-5.6,-6,48.501,48.691,48.882,49.188,49.504,41.828
-5.52,-6,48.606,48.794,48.985,49.29,49.604,41.811
-5.44,-6,48.711,48.898,49.088,49.391,49.704,41.794
-5.36,-6,48.817,49.003,49.191,49.493,49.804,41.777
-5.28,-6,48.922,49.107,49.294,49.595,49.905,41.759
-5.2,-6,49.028,49.211,49.398,49.697,50.005,41.74
-5.12,-6,49.134,49.316,49.501,49.798,50.105,41.722
-5.04,-6,49.24,49.421,49.605,49.9,50.206,41.703
-4.96,-6,49.346,49.525,49.708,50.002,50.306,41.684
-4.88,-6,49.452,49.63,49.812,50.104,50.406,41.665
-4.8,-6,49.558,49.735,49.916,50.206,50.507,41.646
-4.72,-6,49.665,49.84,50.02,50.308,50.607,41.626
-4.64,-6,49.772,49.946,50.124,50.41,50.707,41.607
-4.56,-6,49.879,50.051,50.228,50.512,50.808,41.588
-4.48,-6,49.986,50.157,50.332,50.614,50.908,41.57
-4.4,-6,50.093,50.262,50.436,50.716,51.008,41.552
-4.32,-6,50.2,50.367,50.54,50.818,51.107,41.534
-4.24,-6,50.307,50.473,50.643,50.919,51.207,41.516
-4.16,-6,50.414,50.578,50.747,51.021,51.306,41.498
-4.08,-6,50.521,50.683,50.85,51.122,51.405,41.48
-4,-6,50.628,50.788,50.954,51.223,51.504,41.463
-3.92,-6,50.734,50.893,51.057,51.323,51.602,41.446
-3.84,-6,50.841,50.998,51.16,51.424,51.7,41.43
-3.76,-6,50.947,51.102,51.262,51.524,51.798,41.414
-3.68,-6,51.054,51.206,51.365,51.623,51.895,41.399
-3.6,-6,51.16,51.31,51.467,51.723,51.992,41.384
-3.52,-6,51.265,51.414,51.569,51.822,52.088,41.371
-3.44,-6,51.371,51.517,51.67,51.92,52.184,41.358
-3.36,-6,51.476,51.621,51.771,52.018,52.279,41.347
-3.28,-6,51.581,51.723,51.872,52.116,52.374,41.337
-3.2,-6,51.686,51.825,51.972,52.213,52.468,41.328
-3.12,-6,51.79,51.927,52.071,52.309,52.562,41.32
-3.04,-6,51.894,52.029,52.17,52.405,52.655,41.319
-2.96,-6,51.997,52.13,52.269,52.501,52.747,41.321
-2.88,-6,52.1,52.23,52.367,52.596,52.839,41.323
-2.8,-6,52.203,52.33,52.465,52.69,52.93,41.321
-2.72,-6,52.305,52.43,52.562,52.783,53.02,41.321
-2.64,-6,52.406,52.529,52.659,52.876,53.109,41.324
-2.56,-6,52.507,52.627,52.754,52.968,53.198,41.328
-2.48,-6,52.608,52.725,52.849,53.06,53.285,41.334
-2.4,-6,52.707,52.822,52.944,53.15,53.372,41.342
-2.32,-6,52.807,52.919,53.038,53.24,53.458,41.352
-2.24,-6,52.905,53.014,53.131,53.329,53.543,41.365
-2.16,-6,53.003,53.109,53.223,53.418,53.627,41.38
-2.08,-6,53.1,53.204,53.315,53.505,53.71,41.397
-2,-6,53.197,53.297,53.405,53.591,53.792,41.417
-1.92,-6,53.292,53.39,53.495,53.677,53.874,41.439
-1.84,-6,53.387,53.482,53.584,53.762,53.954,41.464
-1.76,-6,53.482,53.573,53.673,53.846,54.034,41.491
-1.68,-6,53.576,53.664,53.76,53.929,54.112,41.52
-1.6,-6,53.668,53.754,53.847,54.011,54.19,41.552
-1.52,-6,53.761,53.843,53.933,54.093,54.266,41.585
-1.44,-6,53.852,53.932,54.019,54.174,54.342,41.62
-1.36,-6,53.943,54.019,54.103,54.253,54.417,41.657
-1.28,-6,54.033,54.106,54.187,54.333,54.492,41.696
-1.2,-6,54.123,54.193,54.27,54.411,54.565,41.735
-1.12,-6,54.211,54.278,54.352,54.488,54.637,41.775
-1.04,-6,54.299,54.362,54.433,54.564,54.709,41.815
-0.96,-6,54.385,54.446,54.513,54.639,54.779,41.856
-0.88,-6,54.471,54.528,54.592,54.713,54.848,41.896
-0.8,-6,54.555,54.609,54.67,54.786,54.916,41.935
-0.72,-6,54.637,54.688,54.746,54.857,54.982,41.972
-0.64,-6,54.718,54.766,54.821,54.927,55.048,42.009
-0.56,-6,54.798,54.843,54.894,54.996,55.112,42.042
-0.48,-6,54.876,54.918,54.966,55.064,55.174,42.073
-0.4,-6,54.952,54.991,55.037,55.129,55.235,42.101
-0.32,-6,55.026,55.063,55.105,55.194,55.295,42.126
-0.24,-6,55.098,55.132,55.172,55.256,55.353,42.146
-0.16,-6,55.169,55.2,55.237,55.317,55.409,42.161
-0.08,-6,55.237,55.266,55.301,55.377,55.464,42.171
0,-6,55.303,55.33,55.362,55.434,55.517,42.176
0.08,-6,55.334,55.357,55.385,55.451,55.531,42.179
0.16,-6,55.383,55.404,55.429,55.49,55.567,42.185
0.24,-6,55.434,55.452,55.474,55.53,55.604,42.51
0.32,-6,55.483,55.498,55.518,55.571,55.641,42.362
0.4,-6,55.53,55.543,55.561,55.61,55.676,42.228
0.48,-6,55.574,55.586,55.601,55.647,55.71,42.108
0.56,-6,55.616,55.626,55.639,55.681,55.741,42.001
0.64,-6,55.654,55.663,55.674,55.714,55.77,41.902
