X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,47.97,48.163,48.363,48.682,49.005,41.339
-5.92,-6,48.076,48.267,48.466,48.785,49.106,41.332
-5.84,-6,48.182,48.372,48.57,48.887,49.207,41.324
-5.76,-6,48.288,48.478,48.674,48.99,49.308,41.316
-5.68,-6,48.395,48.583,48.778,49.093,49.41,41.307
-5.6,-6,48.502,48.689,48.883,49.196,49.511,41.298
-5.52,-6,48.609,48.795,48.988,49.299,49.613,41.288
-5.44,-6,48.717,48.901,49.093,49.402,49.715,41.278
-5.36,-6,48.825,49.007,49.198,49.505,49.817,41.267
-5.28,-6,48.933,49.113,49.303,49.609,49.919,41.256
-5.2,-6,49.041,49.22,49.408,49.712,50.021,41.245
-5.12,-6,49.149,49.327,49.513,49.816,50.123,41.233
-5.04,-6,49.258,49.434,49.619,49.92,50.225,41.221
-4.96,-6,49.366,49.541,49.725,50.024,50.327,41.21
-4.88,-6,49.475,49.649,49.831,50.128,50.429,41.197
-4.8,-6,49.585,49.756,49.937,50.232,50.531,41.186
-4.72,-6,49.694,49.864,50.043,50.336,50.633,41.175
-4.64,-6,49.803,49.971,50.149,50.44,50.735,41.163
-4.56,-6,49.913,50.079,50.255,50.544,50.837,41.151
-4.48,-6,50.023,50.187,50.361,50.648,50.939,41.14
-4.4,-6,50.133,50.295,50.468,50.752,51.041,41.128
-4.32,-6,50.243,50.404,50.574,50.856,51.143,41.116
-4.24,-6,50.353,50.512,50.681,50.959,51.245,41.104
-4.16,-6,50.463,50.62,50.787,51.063,51.346,41.093
-4.08,-6,50.573,50.728,50.893,51.167,51.448,41.081
-4,-6,50.683,50.837,50.999,51.27,51.549,41.071
-3.92,-6,50.793,50.945,51.106,51.374,51.65,41.06
-3.84,-6,50.904,51.053,51.212,51.477,51.75,41.05
-3.76,-6,51.014,51.161,51.318,51.58,51.851,41.041
-3.68,-6,51.124,51.269,51.423,51.682,51.951,41.033
-3.6,-6,51.234,51.376,51.529,51.784,52.05,41.025
-3.52,-6,51.343,51.484,51.634,51.886,52.149,41.018
-3.44,-6,51.453,51.591,51.739,51.988,52.248,41.013
-3.36,-6,51.562,51.698,51.843,52.089,52.347,41.012
-3.28,-6,51.671,51.805,51.948,52.19,52.444,41.015
-3.2,-6,51.78,51.911,52.052,52.29,52.541,41.019
-3.12,-6,51.889,52.017,52.155,52.39,52.638,41.018
-3.04,-6,51.997,52.123,52.258,52.49,52.734,41.019
-2.96,-6,52.105,52.228,52.361,52.588,52.83,41.021
-2.88,-6,52.213,52.333,52.463,52.687,52.925,41.025
-2.8,-6,52.32,52.438,52.565,52.785,53.019,41.03
-2.72,-6,52.427,52.542,52.666,52.882,53.113,41.038
-2.64,-6,52.533,52.645,52.767,52.978,53.205,41.047
-2.56,-6,52.639,52.748,52.867,53.074,53.297,41.058
-2.48,-6,52.744,52.851,52.967,53.169,53.389,41.071
-2.4,-6,52.849,52.953,53.065,53.264,53.479,41.086
-2.32,-6,52.954,53.054,53.164,53.358,53.569,41.104
-2.24,-6,53.058,53.155,53.261,53.451,53.658,41.123
-2.16,-6,53.161,53.255,53.358,53.543,53.746,41.146
-2.08,-6,53.264,53.355,53.455,53.635,53.834,41.17
-2,-6,53.366,53.453,53.55,53.726,53.92,41.197
-1.92,-6,53.467,53.551,53.645,53.816,54.005,41.226
-1.84,-6,53.568,53.649,53.739,53.905,54.09,41.258
-1.76,-6,53.667,53.745,53.832,53.993,54.174,41.298
-1.68,-6,53.766,53.841,53.925,54.081,54.256,41.341
-1.6,-6,53.864,53.936,54.016,54.167,54.338,41.385
-1.52,-6,53.962,54.03,54.107,54.253,54.419,41.431
-1.44,-6,54.058,54.123,54.197,54.337,54.498,41.478
-1.36,-6,54.154,54.215,54.285,54.421,54.577,41.522
-1.28,-6,54.248,54.306,54.373,54.503,54.655,41.565
-1.2,-6,54.342,54.396,54.46,54.585,54.731,41.609
-1.12,-6,54.434,54.485,54.546,54.665,54.807,41.654
-1.04,-6,54.525,54.574,54.63,54.745,54.881,41.699
-0.96,-6,54.615,54.66,54.714,54.823,54.954,41.743
-0.88,-6,54.704,54.746,54.796,54.901,55.026,41.787
-0.8,-6,54.792,54.831,54.878,54.977,55.097,41.83
-0.72,-6,54.879,54.914,54.958,55.052,55.167,41.872
-0.64,-6,54.964,54.996,55.036,55.125,55.236,41.912
-0.56,-6,55.047,55.077,55.114,55.198,55.303,41.949
-0.48,-6,55.13,55.156,55.19,55.269,55.369,41.983
-0.4,-6,55.21,55.234,55.265,55.339,55.434,42.014
-0.32,-6,55.289,55.31,55.338,55.408,55.498,42.041
-0.24,-6,55.367,55.385,55.41,55.475,55.56,42.064
-0.16,-6,55.443,55.458,55.48,55.541,55.621,42.082
-0.08,-6,55.517,55.53,55.549,55.605,55.681,42.095
0,-6,55.589,55.599,55.616,55.668,55.739,42.102
0.08,-6,55.628,55.635,55.647,55.692,55.761,42.107
0.16,-6,55.685,55.689,55.697,55.737,55.803,42.114
0.24,-6,55.743,55.744,55.75,55.785,55.846,42.447
0.32,-6,55.801,55.799,55.801,55.833,55.89,42.298
0.4,-6,55.856,55.852,55.852,55.879,55.933,42.164
0.48,-6,55.91,55.903,55.901,55.924,55.974,42.045
0.56,-6,55.961,55.952,55.947,55.967,56.013,41.937
0.64,-6,56.01,55.999,55.991,56.007,56.05,41.839
0.72,-6,56.059,56.042,56.033,56.045,56.085,41.616
0.8,-6,56.108,56.087,56.071,56.081,56.117,41.569
0.88,-6,56.155,56.131,56.11,56.113,56.147,41.53
0.96,-6,56.2,56.172,56.148,56.143,56.174,41.489
1.04,-6,56.243,56.212,56.185,56.173,56.198,41.447
1.12,-6,56.286,56.249,56.218,56.202,56.22,41.404
1.2,-6,56.327,56.286,56.25,56.229,56.239,41.358
1.28,-6,56.37,56.321,56.28,56.254,56.26,41.311
1.36,-6,56.411,56.356,56.31,56.277,56.278,41.263
1.44,-6,56.449,56.391,56.336,56.297,56.293,41.213
1.52,-6,56.44,56.424,56.365,56.316,56.307,41.161
1.6,-6,56.414,56.454,56.391,56.333,56.318,41.107
1.68,-6,56.414,56.429,56.416,56.348,56.327,41.053
1.76,-6,56.427,56.398,56.438,56.365,56.334,40.996
1.84,-6,56.438,56.397,56.408,56.38,56.34,40.938
1.92,-6,56.446,56.402,56.37,56.393,56.344,40.879
2,-6,56.451,56.406,56.36,56.403,56.346,40.818
2.08,-6,56.454,56.406,56.358,56.4,56.351,40.756
2.16,-6,56.455,56.405,56.354,56.349,56.353,40.692
2.24,-6,56.454,56.401,56.347,56.305,56.353,40.627
2.32,-6,56.451,56.395,56.338,56.293,56.351,40.56
2.4,-6,56.445,56.387,56.327,56.278,56.346,40.492
2.48,-6,56.438,56.377,56.313,56.262,56.297,40.423
2.56,-6,56.429,56.365,56.298,56.243,56.238,40.353
2.64,-6,56.418,56.351,56.28,56.222,56.202,40.281
2.72,-6,56.405,56.335,56.261,56.198,56.177,40.208
2.8,-6,56.39,56.317,56.24,56.173,56.15,40.134
2.88,-6,56.374,56.298,56.217,56.146,56.12,40.059
2.96,-6,56.357,56.277,56.192,56.117,56.089,39.983
3.04,-6,56.338,56.255,56.166,56.086,56.056,39.905
3.12,-6,56.317,56.231,56.138,56.054,56.021,39.827
