X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,52.5,52.622,52.691,52.761,52.715,42.414
-5.92,-6,52.615,52.735,52.801,52.867,52.818,42.395
-5.84,-6,52.73,52.848,52.911,52.974,52.921,42.375
-5.76,-6,52.846,52.961,53.022,53.081,53.024,42.354
-5.68,-6,52.963,53.075,53.133,53.188,53.128,42.332
-5.6,-6,53.08,53.19,53.245,53.296,53.233,42.31
-5.52,-6,53.198,53.305,53.357,53.405,53.338,42.287
-5.44,-6,53.317,53.421,53.47,53.514,53.443,42.263
-5.36,-6,53.436,53.538,53.583,53.623,53.549,42.239
-5.28,-6,53.555,53.655,53.697,53.733,53.656,42.214
-5.2,-6,53.676,53.772,53.812,53.844,53.762,42.189
-5.12,-6,53.797,53.891,53.927,53.955,53.87,42.163
-5.04,-6,53.919,54.009,54.042,54.067,53.977,42.137
-4.96,-6,54.041,54.129,54.159,54.179,54.085,42.111
-4.88,-6,54.164,54.249,54.275,54.292,54.194,42.085
-4.8,-6,54.287,54.37,54.393,54.405,54.303,42.058
-4.72,-6,54.412,54.491,54.51,54.518,54.413,42.031
-4.64,-6,54.537,54.613,54.629,54.632,54.523,42.005
-4.56,-6,54.662,54.735,54.748,54.747,54.633,41.978
-4.48,-6,54.788,54.858,54.867,54.862,54.744,41.952
-4.4,-6,54.915,54.982,54.988,54.978,54.855,41.925
-4.32,-6,55.043,55.106,55.108,55.094,54.967,41.899
-4.24,-6,55.171,55.231,55.23,55.211,55.079,41.874
-4.16,-6,55.3,55.357,55.352,55.328,55.192,41.849
-4.08,-6,55.43,55.483,55.474,55.446,55.305,41.825
-4,-6,55.56,55.61,55.597,55.565,55.419,41.801
-3.92,-6,55.691,55.738,55.721,55.684,55.533,41.777
-3.84,-6,55.823,55.866,55.845,55.803,55.648,41.754
-3.76,-6,55.955,55.995,55.97,55.923,55.763,41.731
-3.68,-6,56.088,56.124,56.096,56.044,55.878,41.709
-3.6,-6,56.222,56.255,56.222,56.165,55.994,41.688
-3.52,-6,56.357,56.386,56.349,56.287,56.11,41.668
-3.44,-6,56.492,56.517,56.476,56.409,56.227,41.648
-3.36,-6,56.628,56.65,56.604,56.532,56.345,41.63
-3.28,-6,56.765,56.783,56.733,56.655,56.463,41.612
-3.2,-6,56.903,56.916,56.862,56.779,56.581,41.596
-3.12,-6,57.041,57.051,56.992,56.904,56.7,41.582
-3.04,-6,57.18,57.186,57.123,57.029,56.819,41.569
-2.96,-6,57.32,57.322,57.254,57.155,56.939,41.557
-2.88,-6,57.461,57.458,57.386,57.282,57.059,41.548
-2.8,-6,57.603,57.596,57.519,57.409,57.18,41.54
-2.72,-6,57.745,57.734,57.652,57.537,57.302,41.54
-2.64,-6,57.889,57.873,57.787,57.665,57.424,41.543
-2.56,-6,58.033,58.013,57.922,57.794,57.546,41.544
-2.48,-6,58.178,58.153,58.057,57.924,57.67,41.545
-2.4,-6,58.324,58.295,58.194,58.055,57.794,41.548
-2.32,-6,58.47,58.437,58.331,58.187,57.918,41.553
-2.24,-6,58.618,58.58,58.47,58.319,58.043,41.56
-2.16,-6,58.767,58.725,58.61,58.452,58.169,41.57
-2.08,-6,58.916,58.869,58.75,58.586,58.296,41.582
-2,-6,59.067,59.015,58.891,58.721,58.423,41.596
-1.92,-6,59.218,59.162,59.033,58.856,58.551,41.613
-1.84,-6,59.371,59.31,59.176,58.993,58.68,41.632
-1.76,-6,59.525,59.459,59.32,59.13,58.809,41.654
-1.68,-6,59.679,59.609,59.465,59.269,58.94,41.678
-1.6,-6,59.835,59.76,59.61,59.408,59.071,41.705
-1.52,-6,59.992,59.912,59.758,59.549,59.204,41.733
-1.44,-6,60.15,60.065,59.906,59.69,59.337,41.763
-1.36,-6,60.309,60.219,60.055,59.833,59.471,41.791
-1.28,-6,60.469,60.374,60.205,59.977,59.606,41.819
-1.2,-6,60.631,60.531,60.357,60.122,59.743,41.849
-1.12,-6,60.793,60.689,60.509,60.269,59.881,41.885
-1.04,-6,60.958,60.848,60.663,60.416,60.02,41.921
-0.96,-6,61.123,61.008,60.819,60.566,60.16,41.958
-0.88,-6,61.29,61.17,60.976,60.716,60.301,41.994
-0.8,-6,61.458,61.333,61.134,60.868,60.444,42.029
-0.72,-6,61.628,61.498,61.293,61.022,60.589,42.063
-0.64,-6,61.799,61.664,61.455,61.177,60.735,42.096
-0.56,-6,61.971,61.831,61.617,61.334,60.882,42.127
-0.48,-6,62.146,62.001,61.782,61.494,61.032,42.155
-0.4,-6,62.322,62.172,61.949,61.655,61.184,42.18
-0.32,-6,62.501,62.345,62.118,61.818,61.334,42.202
-0.24,-6,62.681,62.521,62.288,61.983,61.481,42.219
-0.16,-6,62.863,62.697,62.46,62.151,61.633,42.232
-0.08,-6,63.047,62.876,62.635,62.32,61.794,42.24
0,-6,63.232,63.057,62.812,62.492,61.957,42.243
0.08,-6,63.415,63.235,62.984,62.659,62.114,42.244
0.16,-6,63.603,63.418,63.163,62.833,62.279,42.248
0.24,-6,63.795,63.604,63.345,63.011,62.447,42.568
0.32,-6,63.989,63.793,63.53,63.192,62.62,42.419
0.4,-6,64.185,63.985,63.718,63.377,62.795,42.285
0.48,-6,64.384,64.18,63.909,63.564,62.974,42.166
0.56,-6,64.586,64.377,64.103,63.755,63.156,42.058
