X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,48.179,48.382,48.579,48.89,49.206,41.289
-5.92,-6,48.286,48.488,48.683,48.992,49.307,41.282
-5.84,-6,48.392,48.593,48.788,49.095,49.409,41.274
-5.76,-6,48.499,48.699,48.892,49.198,49.51,41.266
-5.68,-6,48.606,48.805,48.997,49.301,49.611,41.257
-5.6,-6,48.714,48.911,49.102,49.404,49.713,41.248
-5.52,-6,48.821,49.017,49.207,49.508,49.814,41.238
-5.44,-6,48.929,49.124,49.312,49.611,49.916,41.228
-5.36,-6,49.037,49.23,49.418,49.714,50.018,41.217
-5.28,-6,49.145,49.337,49.523,49.818,50.119,41.206
-5.2,-6,49.253,49.444,49.629,49.921,50.221,41.194
-5.12,-6,49.362,49.551,49.734,50.025,50.323,41.183
-5.04,-6,49.47,49.658,49.84,50.129,50.425,41.171
-4.96,-6,49.579,49.765,49.946,50.232,50.526,41.159
-4.88,-6,49.688,49.873,50.052,50.336,50.628,41.147
-4.8,-6,49.797,49.98,50.158,50.44,50.73,41.136
-4.72,-6,49.906,50.087,50.263,50.543,50.831,41.124
-4.64,-6,50.015,50.195,50.369,50.647,50.932,41.113
-4.56,-6,50.124,50.302,50.475,50.75,51.034,41.101
-4.48,-6,50.233,50.41,50.581,50.854,51.135,41.089
-4.4,-6,50.342,50.517,50.687,50.957,51.236,41.077
-4.32,-6,50.451,50.625,50.792,51.06,51.336,41.065
-4.24,-6,50.56,50.732,50.898,51.163,51.437,41.054
-4.16,-6,50.67,50.839,51.003,51.266,51.537,41.042
-4.08,-6,50.779,50.946,51.109,51.368,51.637,41.031
-4,-6,50.888,51.053,51.214,51.47,51.737,41.02
-3.92,-6,50.996,51.16,51.319,51.572,51.836,41.01
-3.84,-6,51.105,51.267,51.423,51.674,51.935,41
-3.76,-6,51.214,51.374,51.528,51.776,52.034,40.991
-3.68,-6,51.322,51.48,51.632,51.877,52.132,40.983
-3.6,-6,51.431,51.586,51.736,51.978,52.23,40.976
-3.52,-6,51.539,51.692,51.84,52.078,52.327,40.969
-3.44,-6,51.647,51.798,51.943,52.178,52.424,40.964
-3.36,-6,51.754,51.903,52.047,52.278,52.521,40.963
-3.28,-6,51.862,52.009,52.149,52.377,52.617,40.967
-3.2,-6,51.969,52.113,52.252,52.476,52.712,40.971
-3.12,-6,52.076,52.218,52.354,52.574,52.807,40.97
-3.04,-6,52.183,52.322,52.455,52.672,52.901,40.972
-2.96,-6,52.289,52.426,52.557,52.769,52.995,40.974
-2.88,-6,52.395,52.529,52.657,52.866,53.088,40.978
-2.8,-6,52.5,52.632,52.758,52.962,53.18,40.984
-2.72,-6,52.605,52.734,52.857,53.058,53.271,40.992
-2.64,-6,52.71,52.837,52.957,53.153,53.362,41.001
-2.56,-6,52.814,52.938,53.055,53.247,53.452,41.013
-2.48,-6,52.918,53.039,53.154,53.341,53.542,41.027
-2.4,-6,53.022,53.14,53.251,53.434,53.63,41.043
-2.32,-6,53.124,53.24,53.348,53.526,53.718,41.061
-2.24,-6,53.227,53.339,53.444,53.618,53.805,41.081
-2.16,-6,53.329,53.438,53.54,53.708,53.891,41.104
-2.08,-6,53.43,53.536,53.635,53.799,53.976,41.129
-2,-6,53.53,53.633,53.73,53.888,54.061,41.157
-1.92,-6,53.63,53.73,53.823,53.976,54.144,41.187
-1.84,-6,53.73,53.827,53.916,54.064,54.227,41.22
-1.76,-6,53.828,53.922,54.008,54.151,54.308,41.261
-1.68,-6,53.926,54.017,54.1,54.237,54.389,41.304
-1.6,-6,54.023,54.111,54.19,54.322,54.469,41.349
-1.52,-6,54.12,54.204,54.28,54.407,54.547,41.396
-1.44,-6,54.215,54.296,54.369,54.49,54.625,41.444
-1.36,-6,54.31,54.388,54.457,54.573,54.702,41.488
-1.28,-6,54.404,54.479,54.545,54.654,54.778,41.532
-1.2,-6,54.497,54.569,54.631,54.735,54.852,41.577
-1.12,-6,54.589,54.658,54.717,54.815,54.926,41.623
-1.04,-6,54.68,54.746,54.801,54.894,54.999,41.668
-0.96,-6,54.771,54.833,54.885,54.971,55.07,41.714
-0.88,-6,54.86,54.919,54.967,55.048,55.141,41.759
-0.8,-6,54.948,55.004,55.049,55.124,55.211,41.803
-0.72,-6,55.035,55.088,55.13,55.199,55.279,41.845
-0.64,-6,55.121,55.17,55.209,55.273,55.347,41.885
-0.56,-6,55.206,55.252,55.288,55.345,55.413,41.923
-0.48,-6,55.289,55.333,55.365,55.417,55.478,41.958
-0.4,-6,55.372,55.412,55.441,55.487,55.542,41.99
-0.32,-6,55.453,55.49,55.516,55.557,55.605,42.018
-0.24,-6,55.532,55.567,55.59,55.625,55.667,42.041
-0.16,-6,55.611,55.643,55.662,55.692,55.728,42.06
-0.08,-6,55.688,55.717,55.734,55.758,55.788,42.073
0,-6,55.763,55.79,55.803,55.823,55.847,42.08
0.08,-6,55.807,55.83,55.839,55.85,55.869,42.086
0.16,-6,55.868,55.888,55.893,55.898,55.912,42.095
0.24,-6,55.931,55.947,55.95,55.949,55.957,42.429
0.32,-6,55.993,56.007,56.006,56,56.003,42.28
0.4,-6,56.054,56.065,56.062,56.05,56.047,42.146
0.48,-6,56.114,56.122,56.115,56.1,56.091,42.026
0.56,-6,56.172,56.177,56.168,56.147,56.133,41.919
0.64,-6,56.227,56.23,56.218,56.193,56.173,41.821
0.72,-6,56.282,56.282,56.267,56.236,56.211,41.597
0.8,-6,56.339,56.331,56.313,56.278,56.248,41.551
0.88,-6,56.395,56.383,56.358,56.318,56.283,41.512
0.96,-6,56.449,56.433,56.404,56.356,56.315,41.472
1.04,-6,56.502,56.482,56.449,56.391,56.346,41.43
1.12,-6,56.555,56.53,56.492,56.428,56.375,41.386
1.2,-6,56.606,56.577,56.534,56.464,56.401,41.341
1.28,-6,56.661,56.623,56.575,56.499,56.427,41.295
1.36,-6,56.714,56.671,56.616,56.532,56.454,41.246
1.44,-6,56.766,56.719,56.658,56.563,56.479,41.196
1.52,-6,56.798,56.765,56.698,56.594,56.502,41.145
1.6,-6,56.814,56.808,56.735,56.621,56.523,41.092
1.68,-6,56.844,56.836,56.759,56.642,56.539,41.037
1.76,-6,56.873,56.861,56.782,56.661,56.554,40.981
1.84,-6,56.9,56.885,56.803,56.679,56.568,40.923
1.92,-6,56.926,56.907,56.823,56.695,56.579,40.864
2,-6,56.95,56.9,56.847,56.723,56.612,40.804
2.08,-6,56.976,56.885,56.871,56.753,56.643,40.741
2.16,-6,57,56.894,56.866,56.781,56.674,40.678
2.24,-6,57.024,56.915,56.846,56.808,56.703,40.613
2.32,-6,57.047,56.934,56.846,56.833,56.732,40.547
2.4,-6,57.069,56.953,56.861,56.858,56.759,40.479
2.48,-6,57.09,56.97,56.875,56.833,56.785,40.41
2.56,-6,57.11,56.987,56.888,56.807,56.81,40.34
2.64,-6,57.13,57.004,56.901,56.807,56.834,40.268
2.72,-6,57.15,57.019,56.912,56.812,56.857,40.196
2.8,-6,57.169,57.035,56.924,56.817,56.859,40.122
2.88,-6,57.187,57.05,56.934,56.821,56.822,40.047
2.96,-6,57.206,57.064,56.945,56.825,56.795,39.971
3.04,-6,57.224,57.079,56.955,56.828,56.792,39.893
3.12,-6,57.242,57.093,56.964,56.83,56.788,39.815
3.2,-6,57.26,57.107,56.974,56.832,56.784,39.736
3.28,-6,57.278,57.121,56.983,56.834,56.778,39.656
3.36,-6,57.296,57.135,56.992,56.835,56.773,39.574
3.44,-6,57.313,57.149,57.001,56.836,56.766,39.492
3.52,-6,57.331,57.163,57.011,56.837,56.76,39.409
3.6,-6,57.35,57.177,57.02,56.838,56.753,39.326
3.68,-6,57.367,57.192,57.03,56.839,56.746,39.241
3.76,-6,57.401,57.206,57.039,56.84,56.738,39.156
3.84,-6,57.437,57.221,57.049,56.841,56.731,39.07
3.92,-6,57.473,57.236,57.06,56.842,56.724,38.983
4,-6,57.509,57.252,57.07,56.843,56.716,38.895
4.08,-6,57.546,57.278,57.081,56.845,56.708,38.807
