X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,38.491,38.596,38.689,38.826,37.738
-5.92,-6,38.608,38.712,38.804,38.941,37.704
-5.84,-6,38.725,38.828,38.92,39.055,37.67
-5.76,-6,38.842,38.944,39.035,39.17,37.636
-5.68,-6,38.96,39.061,39.151,39.285,37.602
-5.6,-6,39.077,39.178,39.266,39.4,37.569
-5.52,-6,39.195,39.294,39.382,39.515,37.535
-5.44,-6,39.313,39.411,39.498,39.63,37.501
-5.36,-6,39.431,39.528,39.614,39.744,37.467
-5.28,-6,39.55,39.646,39.731,39.859,37.434
-5.2,-6,39.668,39.763,39.847,39.974,37.4
-5.12,-6,39.787,39.881,39.964,40.089,37.367
-5.04,-6,39.905,39.998,40.081,40.204,37.333
-4.96,-6,40.024,40.115,40.197,40.319,37.3
-4.88,-6,40.142,40.232,40.313,40.432,37.267
-4.8,-6,40.26,40.349,40.428,40.545,37.235
-4.72,-6,40.378,40.466,40.543,40.657,37.202
-4.64,-6,40.497,40.583,40.658,40.768,37.169
-4.56,-6,40.614,40.696,40.77,40.877,37.138
-4.48,-6,40.728,40.809,40.882,40.987,37.12
-4.4,-6,40.841,40.922,40.993,41.095,37.101
-4.32,-6,40.955,41.034,41.104,41.204,37.082
-4.24,-6,41.069,41.147,41.215,41.313,37.063
-4.16,-6,41.183,41.26,41.326,41.422,37.043
-4.08,-6,41.297,41.372,41.438,41.53,37.022
-4,-6,41.41,41.484,41.548,41.638,37.001
-3.92,-6,41.523,41.595,41.657,41.745,36.98
-3.84,-6,41.635,41.706,41.766,41.852,36.958
-3.76,-6,41.747,41.817,41.876,41.959,36.936
-3.68,-6,41.86,41.928,41.985,42.066,36.914
-3.6,-6,41.972,42.039,42.094,42.173,36.891
-3.52,-6,42.083,42.149,42.204,42.282,36.868
-3.44,-6,42.194,42.259,42.313,42.39,36.845
-3.36,-6,42.304,42.369,42.422,42.498,36.821
-3.28,-6,42.415,42.478,42.531,42.607,36.797
-3.2,-6,42.525,42.589,42.643,42.719,36.773
-3.12,-6,42.637,42.702,42.755,42.828,36.749
-3.04,-6,42.75,42.813,42.865,42.938,36.724
-2.96,-6,42.862,42.924,42.975,43.046,36.7
-2.88,-6,42.974,43.034,43.084,43.155,36.671
-2.8,-6,43.085,43.144,43.193,43.263,36.63
-2.72,-6,43.194,43.249,43.295,43.361,36.588
-2.64,-6,43.302,43.354,43.395,43.457,36.545
-2.56,-6,43.409,43.457,43.494,43.553,36.502
-2.48,-6,43.515,43.559,43.592,43.648,36.458
-2.4,-6,43.621,43.662,43.69,43.742,36.414
-2.32,-6,43.726,43.763,43.788,43.831,36.368
-2.24,-6,43.83,43.862,43.874,43.912,36.322
-2.16,-6,43.932,43.95,43.959,43.993,36.275
-2.08,-6,44.024,44.038,44.043,44.073,36.228
-2,-6,44.115,44.126,44.127,44.153,36.18
-1.92,-6,44.206,44.214,44.21,44.233,36.131
-1.84,-6,44.296,44.301,44.294,44.313,36.081
-1.76,-6,44.387,44.389,44.379,44.395,36.031
-1.68,-6,44.477,44.476,44.464,44.476,35.98
-1.6,-6,44.567,44.564,44.549,44.557,35.929
-1.52,-6,44.657,44.65,44.632,44.637,35.876
-1.44,-6,44.746,44.738,44.717,44.719,35.823
-1.36,-6,44.836,44.826,44.804,44.804,35.769
-1.28,-6,44.925,44.914,44.892,44.892,35.715
-1.2,-6,45.015,45.002,44.98,44.978,35.659
-1.12,-6,45.104,45.09,45.067,45.063,35.603
-1.04,-6,45.192,45.177,45.153,45.148,35.546
-0.96,-6,45.28,45.265,45.241,45.235,35.487
-0.88,-6,45.368,45.353,45.329,45.323,35.428
-0.8,-6,45.455,45.44,45.416,45.41,35.367
-0.72,-6,45.541,45.526,45.503,45.496,35.306
-0.64,-6,45.626,45.611,45.589,45.582,35.243
-0.56,-6,45.71,45.695,45.673,45.666,35.179
-0.48,-6,45.792,45.776,45.754,45.746,35.113
-0.4,-6,45.868,45.856,45.834,45.825,35.046
-0.32,-6,45.937,45.926,45.909,45.902,34.977
-0.24,-6,46.004,45.993,45.977,45.97,34.906
-0.16,-6,46.069,46.059,46.044,46.037,34.833
-0.08,-6,46.133,46.123,46.109,46.102,34.759
0,-6,46.193,46.18,46.163,46.153,34.682
0.08,-6,46.176,46.157,46.141,46.124,34.624
0.16,-6,46.207,46.184,46.166,46.145,34.567
0.24,-6,46.245,46.218,46.199,46.174,34.69
0.32,-6,46.284,46.255,46.234,46.205,34.519
0.4,-6,46.325,46.293,46.27,46.238,34.375
0.48,-6,46.366,46.331,46.306,46.27,34.261
0.56,-6,46.405,46.369,46.341,46.302,34.174
0.64,-6,46.447,46.406,46.376,46.334,34.103
0.72,-6,46.488,46.446,46.413,46.367,34.031
0.8,-6,46.531,46.485,46.451,46.403,33.958
0.88,-6,46.577,46.525,46.488,46.439,33.884
0.96,-6,46.621,46.568,46.524,46.472,33.808
1.04,-6,46.664,46.608,46.563,46.504,33.731
1.12,-6,46.705,46.648,46.601,46.539,33.653
1.2,-6,46.746,46.685,46.636,46.573,33.574
1.28,-6,46.784,46.722,46.671,46.605,33.493
1.36,-6,46.825,46.758,46.703,46.635,33.411
1.44,-6,46.863,46.793,46.735,46.664,33.328
1.52,-6,46.9,46.829,46.765,46.692,33.243
1.6,-6,46.929,46.862,46.797,46.719,33.158
1.68,-6,46.954,46.892,46.827,46.744,33.071
1.76,-6,46.976,46.914,46.855,46.771,32.983
1.84,-6,46.996,46.933,46.879,46.796,32.894
1.92,-6,47.014,46.95,46.895,46.818,32.804
2,-6,47.029,46.965,46.909,46.838,32.713
2.08,-6,47.037,46.973,46.917,46.845,32.621
2.16,-6,47.043,46.978,46.92,46.847,32.527
2.24,-6,47.046,46.981,46.922,46.847,32.433
2.32,-6,47.047,46.981,46.921,46.845,32.337
2.4,-6,47.046,46.979,46.919,46.841,32.241
2.48,-6,47.042,46.975,46.914,46.835,32.144
2.56,-6,47.031,46.969,46.907,46.827,32.045
2.64,-6,47.011,46.952,46.897,46.817,31.946
2.72,-6,46.991,46.931,46.876,46.8,31.846
2.8,-6,46.982,46.914,46.853,46.778,31.746
2.88,-6,46.971,46.902,46.838,46.757,31.644
2.96,-6,46.959,46.888,46.823,46.74,31.542
3.04,-6,46.939,46.867,46.801,46.717,31.439
3.12,-6,46.913,46.843,46.777,46.694,31.335
3.2,-6,46.885,46.815,46.751,46.668,31.23
3.28,-6,46.854,46.786,46.722,46.641,31.125
3.36,-6,46.822,46.756,46.694,46.613,31.019
3.44,-6,46.788,46.723,46.662,46.581,30.913
3.52,-6,46.751,46.688,46.628,46.549,30.806
3.6,-6,46.714,46.653,46.594,46.516,30.699
3.68,-6,46.674,46.614,46.557,46.48,30.591
3.76,-6,46.632,46.574,46.518,46.442,30.483
3.84,-6,46.589,46.533,46.479,46.404,30.374
3.92,-6,46.544,46.49,46.437,46.364,30.265
4,-6,46.496,46.444,46.394,46.322,30.156
4.08,-6,46.449,46.399,46.35,46.279,30.046
4.16,-6,46.398,46.35,46.303,46.234,29.936
4.24,-6,46.346,46.301,46.256,46.189,29.826
4.32,-6,46.294,46.251,46.208,46.142,29.715
4.4,-6,46.239,46.198,46.157,46.093,29.604
4.48,-6,46.182,46.144,46.105,46.043,29.493
4.56,-6,46.126,46.089,46.053,45.993,29.382
4.64,-6,46.066,46.032,45.998,45.94,29.271
4.72,-6,46.006,45.974,45.942,45.887,29.159
4.8,-6,45.946,45.916,45.886,45.832,29.047
4.88,-6,45.882,45.855,45.828,45.776,28.936
4.96,-6,45.818,45.794,45.769,45.719,28.824
5.04,-6,45.754,45.732,45.709,45.662,28.712
5.12,-6,45.688,45.668,45.648,45.602,28.601
5.2,-6,45.62,45.603,45.585,45.542,28.489
5.28,-6,45.552,45.538,45.523,45.482,28.377
5.36,-6,45.483,45.471,45.458,45.419,28.265
5.44,-6,45.412,45.403,45.392,45.356,28.154
5.52,-6,45.34,45.336,45.327,45.293,28.042
5.6,-6,45.268,45.266,45.26,45.228,27.931
5.68,-6,45.195,45.195,45.192,45.163,27.819
5.76,-6,45.121,45.125,45.124,45.097,27.708
5.84,-6,45.046,45.053,45.055,45.03,27.597
5.92,-6,44.971,44.98,44.984,44.962,27.486
6,-6,44.895,44.907,44.914,44.894,27.375
-6,-5.92,38.585,38.691,38.785,38.922,37.958
-5.92,-5.92,38.704,38.808,38.901,39.038,37.923
-5.84,-5.92,38.822,38.926,39.017,39.154,37.889
-5.76,-5.92,38.941,39.044,39.134,39.27,37.855
-5.68,-5.92,39.06,39.161,39.251,39.386,37.821
-5.6,-5.92,39.179,39.28,39.368,39.502,37.786
-5.52,-5.92,39.298,39.398,39.486,39.619,37.752
-5.44,-5.92,39.417,39.516,39.603,39.735,37.718
-5.36,-5.92,39.537,39.634,39.721,39.852,37.684
-5.28,-5.92,39.656,39.753,39.838,39.968,37.65
-5.2,-5.92,39.776,39.872,39.956,40.085,37.616
