X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,39.223,39.316,39.384,39.486,36.832
-5.92,-6,39.345,39.437,39.505,39.606,36.806
-5.84,-6,39.468,39.559,39.625,39.725,36.78
-5.76,-6,39.591,39.681,39.746,39.845,36.755
-5.68,-6,39.714,39.803,39.867,39.966,36.729
-5.6,-6,39.837,39.925,39.989,40.086,36.703
-5.52,-6,39.961,40.048,40.11,40.207,36.678
-5.44,-6,40.085,40.171,40.232,40.328,36.652
-5.36,-6,40.209,40.294,40.354,40.449,36.627
-5.28,-6,40.333,40.417,40.477,40.57,36.601
-5.2,-6,40.458,40.54,40.599,40.691,36.576
-5.12,-6,40.583,40.664,40.722,40.813,36.55
-5.04,-6,40.708,40.788,40.845,40.935,36.525
-4.96,-6,40.833,40.912,40.968,41.057,36.5
-4.88,-6,40.959,41.036,41.091,41.179,36.475
-4.8,-6,41.084,41.161,41.214,41.301,36.466
-4.72,-6,41.21,41.285,41.337,41.423,36.457
-4.64,-6,41.336,41.41,41.461,41.545,36.447
-4.56,-6,41.462,41.534,41.584,41.667,36.437
-4.48,-6,41.588,41.659,41.708,41.79,36.426
-4.4,-6,41.714,41.784,41.831,41.912,36.414
-4.32,-6,41.84,41.909,41.955,42.034,36.402
-4.24,-6,41.966,42.034,42.078,42.157,36.389
-4.16,-6,42.093,42.159,42.202,42.279,36.376
-4.08,-6,42.219,42.283,42.325,42.401,36.363
-4,-6,42.345,42.408,42.449,42.523,36.348
-3.92,-6,42.471,42.533,42.572,42.645,36.334
-3.84,-6,42.598,42.658,42.695,42.767,36.319
-3.76,-6,42.724,42.782,42.818,42.888,36.303
-3.68,-6,42.85,42.907,42.941,43.01,36.288
-3.6,-6,42.976,43.031,43.064,43.131,36.271
-3.52,-6,43.101,43.155,43.187,43.252,36.255
-3.44,-6,43.227,43.279,43.309,43.373,36.238
-3.36,-6,43.352,43.403,43.431,43.493,36.221
-3.28,-6,43.478,43.526,43.553,43.614,36.204
-3.2,-6,43.603,43.649,43.675,43.734,36.186
-3.12,-6,43.727,43.773,43.796,43.853,36.16
-3.04,-6,43.852,43.895,43.917,43.973,36.134
-2.96,-6,43.976,44.018,44.038,44.091,36.107
-2.88,-6,44.1,44.14,44.158,44.21,36.08
-2.8,-6,44.224,44.262,44.278,44.328,36.053
-2.72,-6,44.347,44.383,44.398,44.446,36.025
-2.64,-6,44.47,44.504,44.517,44.563,35.996
-2.56,-6,44.593,44.625,44.636,44.68,35.967
-2.48,-6,44.715,44.745,44.754,44.796,35.938
-2.4,-6,44.837,44.865,44.872,44.912,35.908
-2.32,-6,44.958,44.984,44.989,45.028,35.878
-2.24,-6,45.079,45.103,45.106,45.143,35.847
-2.16,-6,45.2,45.222,45.223,45.257,35.816
-2.08,-6,45.32,45.34,45.339,45.371,35.784
-2,-6,45.439,45.457,45.454,45.484,35.752
-1.92,-6,45.558,45.574,45.569,45.597,35.72
-1.84,-6,45.676,45.69,45.683,45.709,35.687
-1.76,-6,45.794,45.806,45.797,45.82,35.663
-1.68,-6,45.912,45.921,45.91,45.931,35.639
-1.6,-6,46.029,46.036,46.023,46.041,35.615
-1.52,-6,46.145,46.15,46.135,46.151,35.589
-1.44,-6,46.26,46.264,46.246,46.26,35.557
-1.36,-6,46.375,46.377,46.357,46.369,35.519
-1.28,-6,46.49,46.489,46.467,46.477,35.48
-1.2,-6,46.604,46.601,46.577,46.584,35.44
-1.12,-6,46.717,46.712,46.686,46.691,35.399
-1.04,-6,46.829,46.822,46.794,46.797,35.357
-0.96,-6,46.941,46.932,46.902,46.902,35.314
-0.88,-6,47.053,47.041,47.009,47.007,35.269
-0.8,-6,47.163,47.15,47.115,47.112,35.223
-0.72,-6,47.273,47.258,47.221,47.216,35.176
-0.64,-6,47.383,47.366,47.327,47.319,35.127
-0.56,-6,47.491,47.472,47.432,47.421,35.076
-0.48,-6,47.6,47.579,47.536,47.524,35.024
-0.4,-6,47.708,47.686,47.642,47.628,34.97
-0.32,-6,47.816,47.793,47.746,47.731,34.914
-0.24,-6,47.922,47.898,47.851,47.833,34.856
-0.16,-6,48.024,48.001,47.954,47.935,34.796
-0.08,-6,48.126,48.101,48.054,48.036,34.734
0,-6,48.242,48.203,48.151,48.132,34.669
0.08,-6,48.315,48.272,48.21,48.178,34.614
0.16,-6,48.419,48.375,48.313,48.274,34.561
0.24,-6,48.528,48.484,48.422,48.382,34.686
0.32,-6,48.64,48.596,48.534,48.493,34.516
0.4,-6,48.754,48.71,48.648,48.606,34.375
0.48,-6,48.869,48.825,48.764,48.721,34.262
0.56,-6,48.985,48.941,48.88,48.838,34.177
0.64,-6,49.1,49.057,48.997,48.955,34.108
0.72,-6,49.216,49.174,49.115,49.073,34.038
0.8,-6,49.333,49.292,49.233,49.192,33.966
0.88,-6,49.446,49.409,49.351,49.311,33.893
0.96,-6,49.544,49.53,49.469,49.431,33.818
1.04,-6,49.641,49.65,49.59,49.551,33.742
1.12,-6,49.739,49.761,49.712,49.673,33.665
1.2,-6,49.837,49.858,49.834,49.797,33.587
1.28,-6,49.936,49.955,49.956,49.921,33.507
1.36,-6,50.036,50.052,50.068,50.045,33.426
1.44,-6,50.136,50.149,50.164,50.169,33.343
1.52,-6,50.236,50.247,50.259,50.294,33.26
1.6,-6,50.333,50.346,50.356,50.415,33.175
1.68,-6,50.429,50.444,50.453,50.511,33.089
1.76,-6,50.524,50.539,50.549,50.607,33.001
1.84,-6,50.619,50.632,50.644,50.701,32.913
1.92,-6,50.713,50.725,50.735,50.793,32.823
2,-6,50.808,50.819,50.827,50.885,32.732
2.08,-6,50.903,50.912,50.919,50.977,32.64
2.16,-6,50.999,51.006,51.011,51.07,32.547
2.24,-6,51.095,51.1,51.103,51.162,32.453
2.32,-6,51.192,51.195,51.195,51.255,32.358
2.4,-6,51.291,51.29,51.288,51.348,32.261
2.48,-6,51.406,51.386,51.381,51.44,32.164
2.56,-6,51.525,51.483,51.474,51.534,32.066
2.64,-6,51.646,51.58,51.568,51.627,31.967
2.72,-6,51.768,51.679,51.663,51.722,31.867
2.8,-6,51.893,51.78,51.758,51.816,31.767
2.88,-6,52.019,51.9,51.854,51.911,31.665
2.96,-6,52.147,52.021,51.95,52.006,31.563
3.04,-6,52.277,52.145,52.048,52.102,31.46
3.12,-6,52.409,52.27,52.146,52.199,31.356
3.2,-6,52.543,52.398,52.247,52.296,31.251
3.28,-6,52.678,52.528,52.362,52.394,31.146
