X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,38.579,38.681,38.773,38.89,36.832
-5.92,-6,38.696,38.797,38.888,39.005,36.806
-5.84,-6,38.813,38.914,39.004,39.12,36.781
-5.76,-6,38.931,39.031,39.12,39.235,36.755
-5.68,-6,39.048,39.147,39.236,39.35,36.729
-5.6,-6,39.166,39.264,39.352,39.465,36.704
-5.52,-6,39.284,39.382,39.469,39.581,36.678
-5.44,-6,39.403,39.499,39.585,39.696,36.652
-5.36,-6,39.521,39.616,39.702,39.812,36.627
-5.28,-6,39.639,39.734,39.818,39.928,36.601
-5.2,-6,39.758,39.852,39.935,40.044,36.576
-5.12,-6,39.877,39.969,40.052,40.159,36.551
-5.04,-6,39.995,40.087,40.168,40.275,36.526
-4.96,-6,40.114,40.205,40.285,40.391,36.5
-4.88,-6,40.233,40.322,40.402,40.507,36.475
-4.8,-6,40.352,40.44,40.519,40.622,36.466
-4.72,-6,40.47,40.558,40.635,40.738,36.457
-4.64,-6,40.589,40.675,40.752,40.853,36.447
-4.56,-6,40.708,40.793,40.868,40.969,36.437
-4.48,-6,40.826,40.91,40.984,41.084,36.426
-4.4,-6,40.945,41.027,41.101,41.199,36.415
-4.32,-6,41.063,41.144,41.216,41.313,36.402
-4.24,-6,41.181,41.261,41.332,41.428,36.39
-4.16,-6,41.299,41.378,41.448,41.542,36.377
-4.08,-6,41.417,41.494,41.563,41.656,36.363
-4,-6,41.534,41.61,41.678,41.77,36.349
-3.92,-6,41.651,41.726,41.792,41.883,36.334
-3.84,-6,41.768,41.842,41.907,41.996,36.319
-3.76,-6,41.885,41.957,42.021,42.109,36.304
-3.68,-6,42.001,42.072,42.134,42.221,36.288
-3.6,-6,42.117,42.186,42.247,42.332,36.272
-3.52,-6,42.233,42.3,42.36,42.443,36.255
-3.44,-6,42.348,42.414,42.472,42.554,36.238
-3.36,-6,42.462,42.527,42.583,42.664,36.221
-3.28,-6,42.576,42.639,42.694,42.773,36.204
-3.2,-6,42.69,42.751,42.805,42.882,36.186
-3.12,-6,42.803,42.862,42.915,42.99,36.16
-3.04,-6,42.915,42.973,43.024,43.098,36.134
-2.96,-6,43.027,43.083,43.132,43.204,36.108
-2.88,-6,43.138,43.193,43.24,43.31,36.081
-2.8,-6,43.249,43.301,43.347,43.415,36.053
-2.72,-6,43.359,43.409,43.453,43.52,36.025
-2.64,-6,43.468,43.517,43.559,43.623,35.997
-2.56,-6,43.576,43.623,43.663,43.726,35.968
-2.48,-6,43.684,43.729,43.767,43.828,35.938
-2.4,-6,43.791,43.833,43.87,43.929,35.908
-2.32,-6,43.896,43.937,43.972,44.029,35.878
-2.24,-6,44.001,44.04,44.073,44.127,35.847
-2.16,-6,44.106,44.142,44.173,44.225,35.816
-2.08,-6,44.209,44.243,44.272,44.322,35.784
-2,-6,44.311,44.343,44.37,44.418,35.752
-1.92,-6,44.412,44.442,44.467,44.513,35.72
-1.84,-6,44.512,44.54,44.563,44.606,35.687
-1.76,-6,44.612,44.637,44.658,44.699,35.663
-1.68,-6,44.71,44.733,44.752,44.79,35.639
-1.6,-6,44.807,44.828,44.844,44.88,35.615
-1.52,-6,44.903,44.921,44.936,44.969,35.59
-1.44,-6,44.998,45.014,45.026,45.057,35.557
-1.36,-6,45.091,45.105,45.115,45.144,35.519
-1.28,-6,45.184,45.195,45.203,45.229,35.48
-1.2,-6,45.275,45.284,45.29,45.313,35.44
-1.12,-6,45.365,45.372,45.375,45.396,35.399
-1.04,-6,45.454,45.458,45.46,45.477,35.357
-0.96,-6,45.542,45.543,45.543,45.558,35.314
