X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,38.804,38.878,38.945,39.038,38.434
-5.92,-6,38.925,38.999,39.065,39.156,38.385
-5.84,-6,39.047,39.119,39.184,39.275,38.336
-5.76,-6,39.168,39.24,39.304,39.394,38.287
-5.68,-6,39.29,39.361,39.424,39.513,38.238
-5.6,-6,39.413,39.482,39.545,39.633,38.189
-5.52,-6,39.535,39.604,39.665,39.752,38.14
-5.44,-6,39.658,39.726,39.786,39.872,38.092
-5.36,-6,39.781,39.848,39.907,39.992,38.043
-5.28,-6,39.904,39.97,40.028,40.113,37.995
-5.2,-6,40.028,40.092,40.149,40.233,37.947
-5.12,-6,40.151,40.215,40.271,40.353,37.899
-5.04,-6,40.275,40.337,40.393,40.474,37.851
-4.96,-6,40.399,40.46,40.514,40.595,37.804
-4.88,-6,40.523,40.583,40.636,40.715,37.757
-4.8,-6,40.647,40.706,40.758,40.836,37.71
-4.72,-6,40.771,40.829,40.88,40.957,37.663
-4.64,-6,40.896,40.952,41.002,41.078,37.616
-4.56,-6,41.02,41.075,41.124,41.199,37.57
-4.48,-6,41.145,41.198,41.246,41.319,37.524
-4.4,-6,41.269,41.322,41.368,41.44,37.478
-4.32,-6,41.394,41.445,41.49,41.561,37.433
-4.24,-6,41.518,41.568,41.612,41.682,37.392
-4.16,-6,41.643,41.691,41.734,41.802,37.364
-4.08,-6,41.767,41.814,41.855,41.923,37.335
-4,-6,41.892,41.937,41.977,42.043,37.305
-3.92,-6,42.016,42.06,42.098,42.163,37.275
-3.84,-6,42.14,42.183,42.22,42.283,37.244
-3.76,-6,42.264,42.305,42.341,42.403,37.213
-3.68,-6,42.388,42.427,42.462,42.522,37.181
-3.6,-6,42.512,42.55,42.583,42.641,37.148
-3.52,-6,42.635,42.672,42.703,42.76,37.116
-3.44,-6,42.758,42.793,42.823,42.879,37.083
-3.36,-6,42.881,42.915,42.943,42.997,37.049
-3.28,-6,43.004,43.036,43.063,43.115,37.015
-3.2,-6,43.127,43.156,43.182,43.232,36.981
-3.12,-6,43.249,43.277,43.3,43.35,36.947
-3.04,-6,43.371,43.397,43.419,43.466,36.912
-2.96,-6,43.492,43.516,43.537,43.583,36.878
-2.88,-6,43.613,43.636,43.654,43.698,36.843
-2.8,-6,43.734,43.754,43.772,43.814,36.807
-2.72,-6,43.854,43.873,43.888,43.928,36.772
-2.64,-6,43.974,43.991,44.004,44.043,36.738
-2.56,-6,44.093,44.108,44.12,44.156,36.699
-2.48,-6,44.212,44.225,44.235,44.269,36.656
-2.4,-6,44.33,44.341,44.349,44.382,36.612
-2.32,-6,44.448,44.457,44.463,44.494,36.568
-2.24,-6,44.565,44.572,44.576,44.605,36.524
-2.16,-6,44.681,44.686,44.689,44.715,36.48
-2.08,-6,44.797,44.8,44.801,44.825,36.435
-2,-6,44.912,44.913,44.912,44.934,36.39
-1.92,-6,45.027,45.026,45.023,45.043,36.344
-1.84,-6,45.141,45.137,45.132,45.151,36.299
-1.76,-6,45.254,45.249,45.242,45.257,36.253
-1.68,-6,45.367,45.359,45.35,45.364,36.206
-1.6,-6,45.478,45.468,45.458,45.469,36.159
-1.52,-6,45.589,45.577,45.564,45.574,36.112
-1.44,-6,45.7,45.685,45.671,45.678,36.059
-1.36,-6,45.809,45.793,45.776,45.781,36
-1.28,-6,45.918,45.899,45.88,45.883,35.941
-1.2,-6,46.025,46.005,45.984,45.984,35.884
-1.12,-6,46.132,46.109,46.087,46.085,35.834
-1.04,-6,46.238,46.213,46.189,46.185,35.782
-0.96,-6,46.344,46.316,46.29,46.284,35.729
-0.88,-6,46.448,46.419,46.39,46.382,35.675
-0.8,-6,46.551,46.52,46.49,46.479,35.62
-0.72,-6,46.654,46.62,46.588,46.575,35.564
-0.64,-6,46.755,46.72,46.686,46.671,35.506
-0.56,-6,46.856,46.818,46.783,46.765,35.448
-0.48,-6,46.955,46.916,46.879,46.859,35.387
-0.4,-6,47.054,47.013,46.974,46.952,35.325
-0.32,-6,47.152,47.108,47.068,47.044,35.262
-0.24,-6,47.248,47.203,47.161,47.136,35.197
-0.16,-6,47.344,47.297,47.254,47.226,35.13
-0.08,-6,47.439,47.39,47.345,47.316,35.06
0,-6,47.532,47.482,47.436,47.404,34.989
0.08,-6,47.572,47.517,47.472,47.436,34.926
0.16,-6,47.647,47.589,47.543,47.505,34.865
0.24,-6,47.727,47.666,47.62,47.579,34.972
0.32,-6,47.808,47.746,47.699,47.656,34.804
0.4,-6,47.891,47.827,47.779,47.734,34.661
0.48,-6,47.975,47.909,47.861,47.814,34.546
0.56,-6,48.06,47.993,47.944,47.896,34.456
0.64,-6,48.146,48.077,48.028,47.978,34.381
0.72,-6,48.23,48.16,48.11,48.06,34.306
0.8,-6,48.317,48.243,48.193,48.141,34.229
0.88,-6,48.399,48.326,48.274,48.221,34.151
0.96,-6,48.479,48.405,48.353,48.3,34.072
1.04,-6,48.57,48.484,48.43,48.375,33.991
1.12,-6,48.672,48.584,48.517,48.45,33.91
1.2,-6,48.774,48.686,48.619,48.551,33.827
1.28,-6,48.877,48.788,48.722,48.654,33.743
1.36,-6,48.98,48.89,48.825,48.757,33.658
1.44,-6,49.083,48.995,48.928,48.862,33.571
1.52,-6,49.185,49.098,49.032,48.966,33.484
1.6,-6,49.281,49.201,49.137,49.072,33.395
1.68,-6,49.377,49.3,49.241,49.177,33.305
1.76,-6,49.472,49.396,49.345,49.283,33.215
1.84,-6,49.564,49.49,49.443,49.385,33.123
1.92,-6,49.64,49.584,49.539,49.484,33.03
2,-6,49.706,49.676,49.634,49.583,32.936
2.08,-6,49.771,49.766,49.729,49.681,32.841
2.16,-6,49.835,49.83,49.824,49.779,32.745
2.24,-6,49.9,49.893,49.918,49.876,32.648
2.32,-6,49.964,49.955,49.999,49.973,32.55
2.4,-6,50.028,50.017,50.062,50.07,32.451
2.48,-6,50.092,50.079,50.123,50.166,32.352
2.56,-6,50.155,50.14,50.185,50.244,32.251
2.64,-6,50.218,50.202,50.245,50.306,32.15
2.72,-6,50.282,50.262,50.306,50.367,32.048
2.8,-6,50.345,50.323,50.366,50.427,31.945
2.88,-6,50.408,50.384,50.426,50.488,31.841
2.96,-6,50.472,50.444,50.485,50.547,31.737
3.04,-6,50.536,50.505,50.545,50.607,31.632
3.12,-6,50.6,50.565,50.604,50.666,31.526
3.2,-6,50.664,50.625,50.663,50.726,31.42
3.28,-6,50.729,50.686,50.723,50.784,31.313
3.36,-6,50.806,50.747,50.782,50.843,31.205
3.44,-6,50.892,50.808,50.841,50.902,31.097
3.52,-6,50.98,50.869,50.9,50.96,30.989
3.6,-6,51.068,50.931,50.959,51.019,30.88
3.68,-6,51.158,50.996,51.019,51.077,30.77
3.76,-6,51.25,51.079,51.079,51.135,30.66
3.84,-6,51.342,51.163,51.139,51.194,30.55
3.92,-6,51.436,51.249,51.2,51.252,30.44
4,-6,51.531,51.335,51.261,51.311,30.329
4.08,-6,51.627,51.424,51.329,51.371,30.218
4.16,-6,51.725,51.513,51.411,51.43,30.106
4.24,-6,51.823,51.604,51.495,51.49,29.995
4.32,-6,51.922,51.696,51.58,51.55,29.883
4.4,-6,52.022,51.789,51.667,51.611,29.77
4.48,-6,52.123,51.883,51.755,51.674,29.658
4.56,-6,52.225,51.979,51.845,51.755,29.546
4.64,-6,52.327,52.075,51.935,51.839,29.433
4.72,-6,52.43,52.173,52.028,51.924,29.321
4.8,-6,52.533,52.271,52.121,52.01,29.208
4.88,-6,52.637,52.37,52.216,52.098,29.095
4.96,-6,52.74,52.469,52.312,52.187,28.982
5.04,-6,52.844,52.57,52.409,52.278,28.869
5.12,-6,52.948,52.67,52.507,52.371,28.757
5.2,-6,53.05,52.771,52.606,52.465,28.644
5.28,-6,53.146,52.872,52.705,52.56,28.531
5.36,-6,53.242,52.974,52.806,52.656,28.418
5.44,-6,53.339,53.075,52.907,52.754,28.306
5.52,-6,53.436,53.177,53.008,52.853,28.193
5.6,-6,53.533,53.278,53.11,52.953,28.081
5.68,-6,53.63,53.382,53.213,53.053,27.969
5.76,-6,53.728,53.488,53.315,53.155,27.857
5.84,-6,53.825,53.595,53.418,53.258,27.745
5.92,-6,53.923,53.703,53.52,53.361,27.633
6,-6,54.02,53.811,53.623,53.464,27.521
-6,-5.92,38.889,38.964,39.031,39.124,38.662
-5.92,-5.92,39.011,39.085,39.152,39.244,38.612
-5.84,-5.92,39.134,39.207,39.272,39.364,38.563
-5.76,-5.92,39.257,39.329,39.394,39.484,38.513
-5.68,-5.92,39.38,39.451,39.515,39.605,38.463
-5.6,-5.92,39.504,39.574,39.637,39.725,38.414
-5.52,-5.92,39.628,39.697,39.758,39.846,38.365
-5.44,-5.92,39.752,39.82,39.881,39.967,38.316
-5.36,-5.92,39.876,39.943,40.003,40.089,38.267
-5.28,-5.92,40,40.067,40.125,40.21,38.218
-5.2,-5.92,40.125,40.19,40.248,40.332,38.169
-5.12,-5.92,40.25,40.314,40.371,40.454,38.121
-5.04,-5.92,40.375,40.438,40.494,40.576,38.073
-4.96,-5.92,40.5,40.562,40.617,40.698,38.025
-4.88,-5.92,40.626,40.686,40.74,40.82,37.977
-4.8,-5.92,40.751,40.811,40.863,40.942,37.93
-4.72,-5.92,40.877,40.935,40.987,41.064,37.883
-4.64,-5.92,41.003,41.06,41.11,41.187,37.836
-4.56,-5.92,41.129,41.185,41.234,41.309,37.789
-4.48,-5.92,41.255,41.309,41.357,41.431,37.743
-4.4,-5.92,41.381,41.434,41.48,41.553,37.697
-4.32,-5.92,41.507,41.558,41.604,41.676,37.651
-4.24,-5.92,41.633,41.683,41.727,41.798,37.611
-4.16,-5.92,41.759,41.808,41.851,41.92,37.583
-4.08,-5.92,41.885,41.932,41.974,42.042,37.553
-4,-5.92,42.01,42.057,42.097,42.164,37.523
-3.92,-5.92,42.136,42.181,42.22,42.285,37.493
-3.84,-5.92,42.262,42.305,42.343,42.407,37.462
-3.76,-5.92,42.387,42.429,42.465,42.528,37.43
-3.68,-5.92,42.513,42.553,42.588,42.649,37.398
-3.6,-5.92,42.638,42.677,42.71,42.77,37.365
-3.52,-5.92,42.763,42.8,42.832,42.89,37.332
-3.44,-5.92,42.888,42.923,42.954,43.01,37.299
-3.36,-5.92,43.013,43.046,43.075,43.13,37.265
-3.28,-5.92,43.137,43.169,43.196,43.249,37.231
-3.2,-5.92,43.261,43.291,43.317,43.368,37.197
-3.12,-5.92,43.385,43.413,43.437,43.487,37.162
-3.04,-5.92,43.508,43.535,43.557,43.605,37.127
-2.96,-5.92,43.631,43.656,43.677,43.723,37.092
-2.88,-5.92,43.754,43.777,43.796,43.84,37.056
-2.8,-5.92,43.876,43.897,43.914,43.957,37.021
-2.72,-5.92,43.997,44.017,44.033,44.073,36.985
-2.64,-5.92,44.119,44.136,44.15,44.189,36.951
-2.56,-5.92,44.24,44.255,44.267,44.304,36.911
-2.48,-5.92,44.36,44.373,44.384,44.419,36.867
-2.4,-5.92,44.48,44.491,44.5,44.533,36.823
-2.32,-5.92,44.599,44.608,44.615,44.646,36.779
-2.24,-5.92,44.717,44.725,44.73,44.759,36.734
-2.16,-5.92,44.835,44.841,44.844,44.871,36.689
-2.08,-5.92,44.953,44.956,44.957,44.982,36.644
-2,-5.92,45.069,45.071,45.07,45.092,36.598
-1.92,-5.92,45.185,45.184,45.181,45.202,36.552
-1.84,-5.92,45.301,45.298,45.293,45.311,36.506
-1.76,-5.92,45.415,45.41,45.403,45.419,36.459
-1.68,-5.92,45.529,45.522,45.513,45.527,36.413
-1.6,-5.92,45.642,45.633,45.622,45.634,36.365
-1.52,-5.92,45.755,45.743,45.73,45.739,36.318
-1.44,-5.92,45.866,45.852,45.837,45.845,36.264
