Boeing 717-200,B717-2
Boeing 737-400,B737-4
Boeing 737-800,B737-8
Boeing 747-400,B747-4
Boeing 747-800,B747-8
Boeing 757-200,B757-2
Boeing 767-300,B767-3
Boeing 767-400 ER,B767-4ER
Boeing 767-200,B767-2
Boeing 777-200-ER,B777-2ER
Boeing 777-300,B777-3
Boeing 777-300 ER,B777-3ER
Boeing 787-800 Dreamliner,B787-8
Airbus A300F4-600,A300F4-6
Airbus A319-100,A319-1
Airbus A321-200,A321-2
Airbus A340-200,A340-2
Bombardier CRJ-900,CRJ9
Airbus A380-800/Trent 970,A380-8
Boeing DC-10-10,DC10-1
Embraer EMB120 Brasilia,EMB120
Embraer ERJ145-LR,ERJ145-LR
Embraer ERJ170-LR,ERJ170-LR
Embraer ERJ190,ERJ190
Boeing MD-11,MD11
Boeing MD-83,MD83
Boeing MD-90,MD90
