X (nmi), Y(nmi)
55, 20601
-1.52264821381063, -5.15669993273628
-1.51999257943185, -5.15471230822987
-1.51737607292427, -5.15274943585341
-1.5147980987601, -5.15081131708813
-1.51225806217415, -5.14889795398919
-1.50975536744242, -5.14700934789068
-1.5072894184984, -5.14514549986554
-1.50485962075595, -5.14330641210503
-1.50246537887752, -5.14149208623388
-1.50010609752558, -5.13970252387681
-1.49778118136258, -5.13793772665855
-1.49549003505099, -5.13619769620383
-1.49323206325326, -5.13448243413736
-1.49100667063185, -5.13279194208388
-1.48881326184923, -5.13112622166811
-1.48665124156785, -5.12948527451478
-1.48452001445017, -5.12786910224861
-1.48241898515865, -5.12627770649433
-1.48034755835575, -5.12471108887667
-1.47830513870393, -5.12316925102034
-1.47629113801821, -5.12165219993118
-1.47430403655639, -5.12015910061385
-1.47233869357104, -5.11868582932094
-1.47038905092815, -5.11722743096893
-1.46844905107297, -5.1157789509072
-1.4665126357261, -5.11433543394328
-1.4645737463209, -5.1128919246723
-1.46262632544141, -5.11144346854632
-1.46066431509437, -5.10998511058675
-1.45868165728649, -5.10851189581496
-1.45667229402452, -5.10701886925235
-1.45463016731518, -5.10550107592029
-1.45254921916519, -5.10395356084019
-1.45042339158128, -5.10237136903342
-1.44824662657018, -5.10074954552137
-1.44601286613863, -5.09908313532542
-1.44371605229334, -5.09736718346698
-1.44135012704104, -5.09559673496741
-1.43890903238847, -5.09376683484812
-1.43638671034235, -5.09187252813048
-1.43377711240538, -5.08990886698844
-1.43107727399598, -5.08787334658783
-1.42829670294428, -5.08577333697167
-1.42544800971023, -5.08361866526668
-1.42254380561163, -5.08141915924892
-1.41959670090037, -5.07918464588802
-1.41661930535743, -5.07692495179463
-1.41362423053821, -5.07464990492562
-1.41062408712558, -5.07236933257664
-1.40763148580241, -5.07009306204336
-1.40465903725155, -5.06783092062142
-1.40171935215588, -5.06559273560648
-1.39882504119826, -5.06338833429421
-1.39598871506155, -5.06122754398026
-1.39322298442862, -5.05912019196028
-1.39054045998233, -5.05707610552994
-1.38795375240555, -5.05510511198488
-1.38547547238113, -5.05321703862077
-1.38311823059196, -5.05142171273327
-1.38089463772088, -5.04972896161803
-1.37881731160333, -5.04814861800977
-1.37689392744689, -5.04668665981859
-1.37511249819517, -5.04533372800478
-1.37345610846604, -5.04407661958147
-1.37190784335402, -5.04290213192351
-1.3704507873442, -5.04179706194326
-1.36906802477468, -5.04074820644175
-1.36774264081813, -5.0397423628527
-1.36645772020021, -5.03876632827084
-1.36519634764662, -5.03780689979089
-1.36394160788303, -5.03685087450755
-1.36267658563511, -5.03588504951555
-1.36138436562854, -5.0348962219096
-1.36004803258901, -5.03387118878442
-1.35865067124219, -5.03279674723473
-1.35717536631375, -5.03165969435524
-1.35560520252939, -5.03044682724066
-1.35392326461476, -5.02914494298573
-1.35211263729556, -5.02774083868515
-1.35015640529747, -5.02622131143363
-1.34803766123417, -5.0245731644659
-1.34574516591009, -5.0227876363013
-1.34329046412314, -5.02087379313057
-1.34069078429864, -5.01884514844341
-1.33796335565655, -5.01671521634982
-1.33512540643999, -5.01449751019748
-1.33219416438329, -5.01220554293534
-1.32918685895216, -5.00985282886575
-1.32612071878212, -5.00745288164252
-1.32301297250868, -5.00501921491948
-1.31988084876738, -5.00256534235046
-1.31674157619374, -5.00010477758926
-1.31361238342329, -4.99765103428973
-1.31051049909154, -4.99521762610567
-1.30745315183403, -4.99281806669091
-1.30445757028628, -4.99046586969928
-1.30154098308381, -4.98817454878459
-1.29872061886216, -4.98595761760067
-1.29601370625683, -4.98382858980134
-1.29343747390336, -4.98180097904043
-1.29100915883662, -4.9798883055904
-1.28874063955284, -4.97809989296029
-1.28662248704849, -4.97642837737072
-1.2846399305725, -4.97486221150887
-1.28277819994591, -4.97338984851415
-1.28102252425881, -4.97199974094842
-1.27935813242258, -4.97068034123068
-1.27777025435756, -4.96942010257938
-1.27624411944582, -4.96820747778703
-1.2747649570694, -4.96703091964611
-1.27331799661035, -4.96587888094911
-1.27188846745074, -4.96473981448853
-1.2704615989726, -4.96360217305686
-1.269022620558, -4.9624544094466
-1.26755676158899, -4.96128497645022
-1.26604925144762, -4.96008232686023
-1.26448531951595, -4.95883491346913
-1.26285019517602, -4.95753118906939
-1.26112910780989, -4.95615960645351
-1.25930728679961, -4.954708618414
-1.2573699686798, -4.95316668343413
-1.25530657428176, -4.95152553594215
-1.25312336321231, -4.94979009500039
-1.25083079339436, -4.94796856677189
-1.24843932344936, -4.94606915797458
-1.24595941113878, -4.94410007464315
-1.24340151378497, -4.94206952246405
-1.24077609021889, -4.9399857083214
-1.23809359854511, -4.93785683852246
-1.23536449686822, -4.9356911193745
-1.23259924329278, -4.93349675718479
-1.22980829592337, -4.93128195826058
-1.22700211286454, -4.92905492890915
-1.22419115222087, -4.92682387543777
-1.22138587209694, -4.92459700415369
-1.21859673059732, -4.92238252136419
-1.21583418582656, -4.92018863337652
-1.21310869588926, -4.91802354649796
-1.21043071888997, -4.91589546703578
-1.20781071293326, -4.91381260129722
-1.20525914511404, -4.91178316274213
-1.20278382622581, -4.90981330870497
-1.20038207517816, -4.90790107806111
-1.19804857246114, -4.90604246778601
-1.19577799925062, -4.90423347540143
-1.19356503585661, -4.90247009773945
-1.19140436230516, -4.90074833140569
-1.18929065992203, -4.8990641740416
-1.18721860936518, -4.89741362275654
-1.18518289129255, -4.89579267465986
-1.18317818636207, -4.89419732686091
-1.1811991752317, -4.89262357646903
-1.17924053855938, -4.89106742059357
-1.17729695700305, -4.88952485634388
-1.17536311122066, -4.8879918808293
-1.17343368187015, -4.8864644911592
-1.17150334960945, -4.88493868444291
-1.16956679509653, -4.88341045778978
-1.16761869898932, -4.88187580830916
-1.16565374194575, -4.8803307331104
-1.16366661177635, -4.87877123491064
-1.16165284575786, -4.87719391441434
-1.15961148298554, -4.87559784584862
-1.15754242613949, -4.87398271249988
-1.15544557852062, -4.87234819813876
-1.15332084265798, -4.87069398593355
-1.15116812074117, -4.8690197587898
-1.1489873162345, -4.86732520060482
-1.14677833197321, -4.86560999478586
-1.14454107079254, -4.86387382474018
-1.14227543552772, -4.86211637387501
-1.13998132901401, -4.86033732559763
-1.13765865408665, -4.85853636331527
-1.13530731358087, -4.8567131704352
-1.13292721033192, -4.85486743036466
-1.13051824717505, -4.85299882651091
-1.12808032694549, -4.85110704228121
-1.12561335247849, -4.84919176108279
-1.12311722660929, -4.84725266632293
-1.12059185217313, -4.84528944140887
-1.11803714119424, -4.84330177690042
-1.11545396024571, -4.84129017639297
-1.1128471278262, -4.8392584996746
-1.11022243515163, -4.83721143370891
-1.10758567422222, -4.83515366607141
-1.10494263605872, -4.83308988357361
-1.10229911128452, -4.83102477271587
-1.09966089210251, -4.82896302123228
-1.09703376992858, -4.82690931624256
-1.09442353617859, -4.82486834486644
-1.0918359822684, -4.82284479422363
-1.08927689961391, -4.82084335143386
-1.08675207963097, -4.81886870361683
-1.08426731373546, -4.81692553789226
-1.08182839334324, -4.81501854137988
-1.0794411098702, -4.81315240119939
-1.0771112547322, -4.81133180447053
-1.07484461934511, -4.809561438313
-1.07264699512481, -4.80784598984653
-1.07052417348716, -4.80619014619082
-1.0684819530006, -4.80459860003689
-1.06652327560667, -4.80307372813896
-1.0646397633179, -4.80160872655949
-1.06282019575087, -4.80019448651061
-1.06105335305606, -4.7988218996193
-1.05932801471042, -4.79748185698913
-1.05763295996478, -4.7961652495482
-1.05595696908149, -4.79486296901002
-1.0542888218031, -4.79356590668432
-1.05261729787217, -4.79226495388083
-1.05093117703125, -4.79095100190931
-1.04921923902287, -4.78961494207949
-1.0474702635896, -4.78824766570111
-1.04567303047398, -4.7868400640839
-1.04381631941855, -4.78538302853761
-1.04188891016588, -4.78386745037198
-1.0398795824585, -4.78228422089675
-1.03777711603897, -4.78062423142166
-1.03557029064983, -4.77887837325644
-1.03324788603363, -4.77703753771084
-1.03079869093207, -4.77509262324716
-1.02821606885236, -4.773038239684
-1.02551181081103, -4.77088394427613
-1.02270230027375, -4.76864301968674
-1.01980392155754, -4.76632874925842
-1.01683305792604, -4.76395441549342
-1.01380609214527, -4.76153330049462
-1.01073940878011, -4.75907868780325
-1.00764939152007, -4.75660386026125
-1.00455242405464, -4.75412210071056
-1.00146489007331, -4.75164669199311
-0.998403173265584, -4.74919091695083
-0.995383657320959, -4.74676805842565
-0.992422725928931, -4.74439139925951
-0.989536762778995, -4.74207422229435
-0.986742151560649, -4.73982981037209
-0.984055275963389, -4.73767144633468
-0.981492519676712, -4.73561241302403
-0.979070266390114, -4.73366599328209
-0.976804899793092, -4.7318454699508
-0.974712810727698, -4.73016413162032
-0.972804433653022, -4.72863042133396
-0.971066486458715, -4.72723348751837
-0.969479744986887, -4.72595764457455
-0.96802498553191, -4.72478720726723
-0.966682983806025, -4.72370648989309
-0.965434515408659, -4.72269980665702
-0.964260356697891, -4.7217514723751
-0.963141283616007, -4.72084580152874
-0.962058072105289, -4.71996710859934
-0.960991498108022, -4.71909970806832
-0.959922337566491, -4.71822791441708
-0.958831366422979, -4.71733604212703
-0.957699360619771, -4.71640840567957
-0.956507096099152, -4.71542931955613
-0.955235348803404, -4.71438309823809
-0.953864894674813, -4.71325405620687
-0.952376509655662, -4.71202650794388
-0.950750969688236, -4.71068476793053
-0.94896905071482, -4.70921315064823
-0.947011536015258, -4.70759597664084
-0.944865386753851, -4.70582263145945
-0.942542378452328, -4.70390284563117
-0.940060478845761, -4.70185142652967
-0.937437656430779, -4.69968318215818
-0.934691878770388, -4.69741291974818
-0.931841112922577, -4.69505544611335
-0.928903327625735, -4.69262556945678
-0.92589649081737, -4.69013809731949
-0.922838570434993, -4.68760783724247
-0.919747534416113, -4.6850495967667
-0.91664135069824, -4.68247818343319
-0.913537987218885, -4.67990840478294
-0.910455411915556, -4.67735506835693
-0.907411592725764, -4.67483298169616
-0.904424497587019, -4.67235695234163
-0.90151209443683, -4.66994178783433
-0.898692351212708, -4.66760229571526
-0.895983235852162, -4.66535328352542
-0.893402716292701, -4.66320955880579
-0.890968768892845, -4.66118593610204
-0.888693903339054, -4.6592927217649
-0.886568889592895, -4.65752229492982
-0.884579047780118, -4.65586254054007
-0.882709698600809, -4.65430134401829
-0.880946162021368, -4.65282659017503
-0.879273757828118, -4.65142616366862
-0.877677806821163, -4.65008795000584
-0.876143629259994, -4.64879983424168
-0.874656545404103, -4.64754970143114
-0.873201875512981, -4.64632543662919
-0.87176493984612, -4.64511492489083
-0.87033105866301, -4.64390605127106
-0.868885552223143, -4.64268670082485
-0.867413740786011, -4.6414447586072
-0.865900944611104, -4.64016810967309
-0.864332483957915, -4.63884463907753
-0.862693679085934, -4.63746223187548
-0.860969850254652, -4.63600877312196
-0.859146317723562, -4.63447214787194
-0.857208408904713, -4.63284024720138
-0.855145736423304, -4.63110449034595
-0.852965155373519, -4.62927049474966
-0.850677820083494, -4.62734741782044
-0.848294885577845, -4.62534441755174
-0.84582750602317, -4.62327065121567
-0.843286835152241, -4.62113527571984
-0.840684028198099, -4.61894744923264
-0.838030239670482, -4.61671632931454
-0.835336624079124, -4.61445107352598
-0.83261433593376, -4.61216083942743
-0.829874529744127, -4.60985478457934
-0.82712836001996, -4.60754206654218
-0.824386981270993, -4.60523184287639
-0.821661548006963, -4.60293327114243
-0.818963214737605, -4.60065550890076
-0.816303135972655, -4.59840771371185
-0.813692466221848, -4.59619904313614
-0.811142359994919, -4.59403865473408
-0.808663971801604, -4.59193570606615
-0.806268464557184, -4.58989936184535
-0.803963841874756, -4.58793620954411
-0.801745595271231, -4.58604263403737
-0.799606073697689, -4.58421245719709
-0.797537626731866, -4.58243950143181
-0.795532603158727, -4.58071758847171
-0.793583351514353, -4.57904053983053
-0.791682221507973, -4.57740217803071
-0.789821562242199, -4.57579632507419
-0.787993722819646, -4.57421680296292
-0.786191052342926, -4.57265743369884
-0.784405899914652, -4.57111203928392
-0.782630614637438, -4.56957444172009
-0.780857545613897, -4.56803846300932
-0.779079041946642, -4.56649792515355
-0.777287452738286, -4.56494665015472
-0.775475127091444, -4.5633784600148
-0.773634414108727, -4.56178717673574
-0.77175766289275, -4.56016662231947
-0.769837222546125, -4.55851061876795
-0.767865449324023, -4.55681299423614
-0.765836688393701, -4.55506915250088
-0.763753343803629, -4.55328088870155
-0.76161982260503, -4.55145158572423
-0.759440532492002, -4.54958462700593
-0.757219880361208, -4.54768339530011
-0.754962272745717, -4.54575127304973
-0.752672117516285, -4.54379164384255
-0.750353821887806, -4.54180789070464
-0.748011793075176, -4.5398033966621
-0.745650438293291, -4.53778154474099
-0.743274164757045, -4.53574571796739
-0.740887379681335, -4.5336992993674
-0.738494490281054, -4.53164567196708
-0.736099903771099, -4.52958821879253
-0.733708027366365, -4.52753032286981
-0.731323268281747, -4.52547536722502
-0.72895003373214, -4.52342673488422
-0.72659273093244, -4.52138780887351
-0.724255767097541, -4.51936197221896
-0.721943557661969, -4.51735261509921
-0.719659522017063, -4.51536240936177
-0.717403216276648, -4.5133912586038
-0.715173216814215, -4.51143836227258
-0.712968100664067, -4.50950292039477
-0.710786444030996, -4.50758413227031
-0.708626822813538, -4.50568119692669
-0.706487814203041, -4.50379331452976
-0.704367994737245, -4.50191968467112
-0.702265940953888, -4.50005950694236
-0.700180229390709, -4.49821198093505
-0.698109436585448, -4.4963763062408
-0.696052139075843, -4.49455168245117
-0.694006913399633, -4.49273730915777
-0.691972336094557, -4.49093238595218
-0.689946983698354, -4.48913611242599
-0.687929432748763, -4.48734768817077
-0.685918259783522, -4.48556631277813
-0.683912041340372, -4.48379118583964
-0.68190935395705, -4.4820215069469
