Aircraft,Track,Runway,Arrival/Departure,Number of Daily Day-time Operations,Number of Daily Night-time Operations,Total Number of Daily Operations
Airbus A300F4-600,DJ29,13L,Departure,0.019100986,0.002051822,0.021152808
Airbus A300F4-600,DP15,13L,Departure,0.066658542,0.007160441,0.073818984
Airbus A300F4-600,A8,13R,Approach,0.550440042,0.176413809,0.726853851
Airbus A300F4-600,A6,17C,Approach,1.092361369,0.350097404,1.442458773
Airbus A300F4-600,DJ22,17C,Departure,0.08653916,0.009296012,0.095835172
Airbus A300F4-600,DJ26,17C,Departure,0.08653916,0.009296012,0.095835172
Airbus A300F4-600,DJ27,17C,Departure,0.08653916,0.009296012,0.095835172
Airbus A300F4-600,DJ98,17C,Departure,0.064709462,0.006951072,0.071660534
Airbus A300F4-600,A5,17L,Approach,0.338455097,0.108473491,0.446928588
Airbus A300F4-600,DJ24,17L,Departure,0.143842117,0.015451479,0.159293596
Airbus A300F4-600,DJ18,17R,Departure,0.231940541,0.024914986,0.256855527
Airbus A300F4-600,DJ21,17R,Departure,0.231940541,0.024914986,0.256855527
Airbus A300F4-600,DJ23,17R,Departure,0.231940541,2.49E-02,0.256855527
Airbus A300F4-600,DJ25,17R,Departure,0.231940541,0.024914986,0.256855527
Airbus A300F4-600,DJ28,17R,Departure,0.231940541,0.024914986,0.256855527
Airbus A300F4-600,DJ14,18L,Departure,0.217907164,0.023407525,0.241314689
Airbus A300F4-600,DJ17,18L,Departure,0.217907164,0.023407525,0.241314689
Airbus A300F4-600,DJ20,18L,Departure,0.217907164,0.023407525,0.241314689
Airbus A300F4-600,DJ30,18L,Departure,0.217907164,0.023407525,0.241314689
Airbus A300F4-600,DJ31,18L,Departure,0.217907164,0.023407525,0.241314689
Airbus A300F4-600,A7,18R,Approach,0.770616058,0.246979333,1.017595391
Airbus A300F4-600,DJ16,18R,Departure,0.066658542,0.007160441,0.073818984
Airbus A300F4-600,DJ19,18R,Departure,0.066658542,0.007160441,0.073818984
Airbus A300F4-600,A4,31R,Approach,0.121555509,0.038958049,0.160513559
Airbus A300F4-600,DJ12,31L,Departure,0.048337188,0.005192367,0.053529555
Airbus A300F4-600,DJ13,31L,Departure,0.048337188,0.005192367,0.053529555
Airbus A300F4-600,A2,35C,Approach,0.271943592,0.087156822,0.359100414
Airbus A300F4-600,DJ1,35C,Departure,0.042489948,0.004564258,0.047054206
Airbus A300F4-600,DJ4,35C,Departure,0.042489948,0.004564258,0.047054206
Airbus A300F4-600,A3,35R,Approach,0.13072951,0.04189828,0.17262779
Airbus A300F4-600,DJ2,35R,Departure,0.04911682,5.28E-03,0.054392935
Airbus A300F4-600,DJ3,35L,Departure,0.121622603,0.013064665,0.134687268
Airbus A300F4-600,DJ5,35L,Departure,0.121622603,0.013064665,0.134687268
Airbus A300F4-600,DJ7,35L,Departure,0.121622603,0.013064665,0.134687268
Airbus A300F4-600,DJ10,36R,Departure,0.105640146,1.13E-02,0.11698798
Airbus A300F4-600,DJ6,36R,Departure,0.105640146,0.011347834,0.11698798
Airbus A300F4-600,DJ8,36R,Departure,0.105640146,0.011347834,0.11698798
Airbus A300F4-600,DJ11,36L,Departure,0.024948226,0.002679931,0.027628158
Airbus A300F4-600,DJ9,36L,Departure,0.024948226,0.002679931,0.027628158
Airbus A319-100,DJ29,13L,Departure,0.185029588,0.019875825,0.204905413
Airbus A319-100,DP15,13L,Departure,0.645715501,0.069362573,0.715078074
Airbus A319-100,A8,13R,Approach,6.048660108,0.964716171,7.013376279
Airbus A319-100,A6,17C,Approach,11.99620829,1.913305743,13.90951403
Airbus A319-100,DJ22,17C,Departure,0.830745089,0.089238398,0.919983488
Airbus A319-100,DJ26,17C,Departure,0.830745089,0.089238398,0.919983488
Airbus A319-100,DJ27,17C,Departure,0.830745089,0.089238398,0.919983488
Airbus A319-100,DJ98,17C,Departure,0.623058817,0.066928799,0.689987616
Airbus A319-100,A5,17L,Approach,3.759197118,0.599563901,4.358761019
Airbus A319-100,DJ24,17L,Departure,1.385833854,0.148865874,1.534699727
Airbus A319-100,DP14,17L,Departure,0.015104456,0.001622516,0.016726973
Airbus A319-100,DJ18,17R,Departure,2.235459513,0.240132417,2.47559193
Airbus A319-100,DJ21,17R,Departure,2.235459513,0.240132417,2.47559193
Airbus A319-100,DJ23,17R,Departure,2.235459513,2.40E-01,2.47559193
Airbus A319-100,DJ25,17R,Departure,2.235459513,0.240132417,2.47559193
Airbus A319-100,DJ28,17R,Departure,2.235459513,0.240132417,2.47559193
Airbus A319-100,DJ14,18L,Departure,2.099519408,0.22552977,2.325049178
Airbus A319-100,DJ17,18L,Departure,2.099519408,2.26E-01,2.325049178
Airbus A319-100,DJ20,18L,Departure,2.099519408,0.22552977,2.325049178
Airbus A319-100,DJ30,18L,Departure,2.099519408,0.22552977,2.325049178
Airbus A319-100,DJ31,18L,Departure,2.099519408,0.22552977,2.325049178
Airbus A319-100,A7,18R,Approach,8.529513537,1.360393789,9.889907326
Airbus A319-100,DJ16,18R,Departure,0.645715501,0.069362573,0.715078074
Airbus A319-100,DJ19,18R,Departure,0.645715501,0.069362573,0.715078074
Airbus A319-100,DP12,18R,Departure,0.030208912,0.003245033,0.033453945
Airbus A319-100,A4,31R,Approach,1.339733075,0.213677432,1.553410507
Airbus A319-100,DJ12,31L,Departure,0.460685913,0.049486748,0.510172661
Airbus A319-100,DJ13,31L,Departure,0.460685913,0.049486748,0.510172661
Airbus A319-100,A2,35C,Approach,2.99002422,0.476886561,3.466910781
Airbus A319-100,DJ1,35C,Departure,0.411596431,0.04421357,0.455810001
Airbus A319-100,DJ4,35C,Departure,0.411596431,0.04421357,0.455810001
