Longitude,Latitude
-94.701478,39.306873
-94.74094692,39.17326225
-94.74094692,39.17326225
-94.74094761,39.17325992
-94.74094829,39.17325759
-94.74094898,39.17325526
-94.74094967,39.17325292
-94.74095036,39.17325059
-94.74095104,39.17324826
-94.74095173,39.17324593
-94.74095241,39.17324359
-94.7409531,39.17324126
-94.74095378,39.17323893
-94.74095446,39.17323659
-94.74095515,39.17323426
-94.74095583,39.17323193
-94.74095651,39.17322959
-94.74095719,39.17322726
-94.74095787,39.17322493
-94.74095855,39.17322259
-94.74095923,39.17322026
-94.74095991,39.17321793
-94.74096059,39.17321559
-94.74096127,39.17321326
-94.74096195,39.17321093
-94.74096262,39.17320859
-94.7409633,39.17320626
-94.74096397,39.17320392
-94.74096465,39.17320159
-94.74096532,39.17319926
-94.740966,39.17319692
-94.74096667,39.17319459
-94.74096735,39.17319225
-94.74096802,39.17318992
-94.74096869,39.17318758
-94.74096936,39.17318525
-94.74097003,39.17318291
-94.74097071,39.17318058
-94.74097138,39.17317824
-94.74097205,39.17317591
-94.74097271,39.17317357
-94.74097338,39.17317124
-94.74097405,39.1731689
-94.74097472,39.17316656
-94.74097539,39.17316423
-94.74097605,39.17316189
-94.74097672,39.17315956
-94.74097738,39.17315722
-94.74097805,39.17315488
-94.74097871,39.17315255
-94.74097938,39.17315021
-94.74098004,39.17314788
-94.7409807,39.17314554
-94.74098136,39.1731432
-94.74098203,39.17314087
-94.74098269,39.17313853
-94.74098335,39.17313619
-94.74098401,39.17313386
-94.74098467,39.17313152
-94.74098533,39.17312918
-94.74098599,39.17312684
-94.74098664,39.17312451
-94.7409873,39.17312217
-94.74098796,39.17311983
-94.74098862,39.17311749
-94.74098927,39.17311516
-94.74098993,39.17311282
-94.74099058,39.17311048
-94.74099124,39.17310814
-94.74099189,39.17310581
-94.74099254,39.17310347
-94.7409932,39.17310113
-94.74099385,39.17309879
-94.7409945,39.17309645
-94.74099515,39.17309411
-94.7409958,39.17309178
-94.74099645,39.17308944
-94.7409971,39.1730871
-94.74099775,39.17308476
-94.7409984,39.17308242
-94.74099905,39.17308008
-94.74099969,39.17307774
-94.74100034,39.1730754
-94.74100099,39.17307306
-94.74100163,39.17307073
-94.74100228,39.17306839
-94.74100292,39.17306605
-94.74100357,39.17306371
-94.74100421,39.17306137
-94.74100486,39.17305903
-94.7410055,39.17305669
-94.74100614,39.17305435
-94.74100678,39.17305201
-94.74100742,39.17304967
-94.74100806,39.17304733
-94.7410087,39.17304499
-94.74100934,39.17304265
-94.74100998,39.17304031
-94.74101062,39.17303797
-94.74101126,39.17303563
-94.7410119,39.17303328
-94.74101253,39.17303094
-94.74101317,39.1730286
-94.74101381,39.17302626
-94.74101444,39.17302392
-94.74101508,39.17302158
-94.74101571,39.17301924
-94.74101634,39.1730169
-94.74101698,39.17301456
-94.74101761,39.17301221
-94.74101824,39.17300987
-94.74101887,39.17300753
-94.74101951,39.17300519
-94.74102014,39.17300285
-94.74102077,39.17300051
-94.7410214,39.17299816
-94.74102202,39.17299582
-94.74102265,39.17299348
-94.74102328,39.17299114
-94.74102391,39.1729888
-94.74102454,39.17298645
-94.74102516,39.17298411
-94.74102579,39.17298177
-94.74102641,39.17297943
-94.74102704,39.17297708
-94.74102766,39.17297474
-94.74102829,39.1729724
-94.74102891,39.17297005
-94.74102953,39.17296771
-94.74103015,39.17296537
-94.74103078,39.17296302
-94.7410314,39.17296068
-94.74103202,39.17295834
-94.74103264,39.17295599
-94.74103326,39.17295365
-94.74103388,39.17295131
-94.74103449,39.17294896
-94.74103511,39.17294662
-94.74103573,39.17294428
-94.74103635,39.17294193
-94.74103696,39.17293959
-94.74103758,39.17293724
-94.74103819,39.1729349
-94.74103881,39.17293256
-94.74103942,39.17293021
-94.74104004,39.17292787
-94.74104065,39.17292552
-94.74104126,39.17292318
-94.74104187,39.17292083
-94.74104249,39.17291849
-94.7410431,39.17291614
-94.74104371,39.1729138
-94.74104432,39.17291145
-94.74104493,39.17290911
-94.74104554,39.17290676
-94.74104614,39.17290442
-94.74104675,39.17290207
-94.74104736,39.17289973
-94.74104797,39.17289738
-94.74104857,39.17289503
-94.74104918,39.17289269
-94.74104978,39.17289034
-94.74105039,39.172888
-94.74105099,39.17288565
-94.7410516,39.17288331
-94.7410522,39.17288096
-94.7410528,39.17287861
-94.7410534,39.17287627
-94.74105401,39.17287392
-94.74105461,39.17287157
-94.74105521,39.17286923
-94.74105581,39.17286688
-94.74105641,39.17286453
-94.74105701,39.17286219
-94.7410576,39.17285984
-94.7410582,39.17285749
-94.7410588,39.17285515
-94.7410594,39.1728528
-94.74105999,39.17285045
-94.74106059,39.17284811
-94.74106118,39.17284576
-94.74106178,39.17284341
-94.74106237,39.17284106
-94.74106297,39.17283872
-94.74106356,39.17283637
-94.74106415,39.17283402
-94.74106474,39.17283167
-94.74106533,39.17282932
