Longitude,Latitude
-94.720776,39.322237
-94.72930435,39.29337304
-94.72930435,39.29337304
-94.72930942,39.29335584
-94.72931447,39.29333864
-94.7293195,39.29332144
-94.72932451,39.29330423
-94.7293295,39.29328701
-94.72933447,39.2932698
-94.72933942,39.29325258
-94.72934434,39.29323536
-94.72934925,39.29321813
-94.72935414,39.2932009
-94.729359,39.29318367
-94.72936385,39.29316643
-94.72936868,39.29314919
-94.72937348,39.29313194
-94.72937826,39.2931147
-94.72938303,39.29309745
-94.72938777,39.29308019
-94.72939249,39.29306293
-94.7293972,39.29304567
-94.72940188,39.29302841
-94.72940654,39.29301114
-94.72941118,39.29299387
-94.7294158,39.2929766
-94.7294204,39.29295932
-94.72942498,39.29294204
-94.72942954,39.29292476
-94.72943408,39.29290747
-94.72943859,39.29289018
-94.72944309,39.29287289
-94.72944757,39.29285559
-94.72945202,39.29283829
-94.72945646,39.29282099
-94.72946087,39.29280368
-94.72946527,39.29278637
-94.72946964,39.29276906
-94.72947399,39.29275174
-94.72947833,39.29273442
-94.72948264,39.2927171
-94.72948693,39.29269978
-94.7294912,39.29268245
-94.72949545,39.29266512
-94.72949968,39.29264778
-94.72950389,39.29263045
-94.72950808,39.29261311
-94.72951224,39.29259577
-94.72951639,39.29257842
-94.72952052,39.29256107
-94.72952462,39.29254372
-94.72952871,39.29252636
-94.72953277,39.29250901
-94.72953682,39.29249165
-94.72954084,39.29247428
-94.72954484,39.29245692
-94.72954883,39.29243955
-94.72955279,39.29242218
-94.72955673,39.2924048
-94.72956065,39.29238743
-94.72956455,39.29237005
-94.72956843,39.29235266
-94.72957228,39.29233528
-94.72957612,39.29231789
-94.72957994,39.2923005
-94.72958374,39.2922831
-94.72958751,39.29226571
-94.72959127,39.29224831
-94.729595,39.29223091
-94.72959871,39.2922135
-94.72960241,39.29219609
-94.72960608,39.29217869
-94.72960973,39.29216127
-94.72961336,39.29214386
-94.72961697,39.29212644
-94.72962056,39.29210902
-94.72962413,39.2920916
-94.72962768,39.29207417
-94.7296312,39.29205675
-94.72963471,39.29203932
-94.7296382,39.29202188
-94.72964166,39.29200445
-94.72964511,39.29198701
-94.72964853,39.29196957
-94.72965193,39.29195213
-94.72965531,39.29193468
-94.72965868,39.29191724
-94.72966202,39.29189979
-94.72966534,39.29188233
-94.72966864,39.29186488
-94.72967192,39.29184742
-94.72967517,39.29182996
-94.72967841,39.2918125
-94.72968163,39.29179504
-94.72968482,39.29177757
-94.729688,39.29176011
-94.72969115,39.29174263
-94.72969428,39.29172516
-94.7296974,39.29170769
-94.72970049,39.29169021
-94.72970356,39.29167273
-94.72970661,39.29165525
-94.72970964,39.29163777
-94.72971265,39.29162028
-94.72971564,39.29160279
-94.7297186,39.2915853
-94.72972155,39.29156781
-94.72972447,39.29155032
-94.72972738,39.29153282
-94.72973026,39.29151532
-94.72973313,39.29149782
-94.72973597,39.29148032
-94.72973879,39.29146282
-94.72974159,39.29144531
-94.72974437,39.2914278
-94.72974713,39.29141029
-94.72974987,39.29139278
-94.72975259,39.29137526
-94.72975528,39.29135775
-94.72975796,39.29134023
-94.72976061,39.29132271
-94.72976325,39.29130519
-94.72976586,39.29128766
-94.72976846,39.29127014
-94.72977103,39.29125261
-94.72977358,39.29123508
-94.72977611,39.29121755
-94.72977862,39.29120002
-94.72978111,39.29118248
-94.72978357,39.29116495
-94.72978602,39.29114741
-94.72978845,39.29112987
-94.72979085,39.29111233
-94.72979324,39.29109478
-94.7297956,39.29107724
-94.72979794,39.29105969
-94.72980026,39.29104214
-94.72980256,39.29102459
-94.72980484,39.29100704
-94.7298071,39.29098949
-94.72980934,39.29097194
-94.72981156,39.29095438
-94.72981376,39.29093682
-94.72981593,39.29091926
-94.72981809,39.2909017
-94.72982022,39.29088414
-94.72982233,39.29086657
-94.72982443,39.29084901
-94.7298265,39.29083144
-94.72982855,39.29081387
-94.72983058,39.2907963
-94.72983259,39.29077873
-94.72983457,39.29076116
-94.72983654,39.29074358
-94.72983849,39.29072601
-94.72984041,39.29070843
-94.72984232,39.29069085
-94.7298442,39.29067327
-94.72984606,39.29065569
-94.72984791,39.29063811
-94.72984973,39.29062053
-94.72985153,39.29060294
-94.72985331,39.29058536
-94.72985506,39.29056777
-94.7298568,39.29055018
-94.72985852,39.29053259
-94.72986021,39.290515
-94.72986189,39.29049741
-94.72986354,39.29047981
-94.72986517,39.29046222
-94.72986679,39.29044462
-94.72986838,39.29042703
-94.72986995,39.29040943
-94.72987149,39.29039183
-94.72987302,39.29037423
-94.72987453,39.29035663
-94.72987602,39.29033902
-94.72987748,39.29032142
-94.72987893,39.29030382
-94.72988035,39.29028621
-94.72988175,39.2902686
-94.72988313,39.290251
-94.7298845,39.29023339
-94.72988584,39.29021578
-94.72988715,39.29019817
-94.72988845,39.29018056
-94.72988973,39.29016295
-94.72989099,39.29014533
-94.72989222,39.29012772
-94.72989344,39.2901101
-94.72989463,39.29009249
-94.7298958,39.29007487
-94.72989695,39.29005725
-94.72989808,39.29003964
-94.72989919,39.29002202
-94.72990028,39.2900044
-94.72990135,39.28998678
-94.7299024,39.28996915
-94.72990342,39.28995153
-94.72990443,39.28993391
-94.72990541,39.28991629
-94.72990637,39.28989866
-94.72990732,39.28988104
-94.72990824,39.28986341
