Longitude,Latitude,,,,
-94.720776,39.322237,,,,
-94.72930435,39.29337304,,,,
-94.72930435,39.29337304,,,,
-94.72933704,39.29326104,,,,
-94.72936898,39.29314892,,,,
-94.72940015,39.29303666,,,,
-94.72943057,39.29292428,,,,
-94.72946022,39.29281178,,,,
-94.72948911,39.29269916,,,,
-94.72951724,39.29258642,,,,
-94.72954461,39.29247357,,,,
-94.72957121,39.29236061,,,,
-94.72959705,39.29224755,,,,
-94.72962212,39.29213438,,,,
-94.72964642,39.29202111,,,,
-94.72966996,39.29190775,,,,
-94.72969273,39.29179429,,,,
-94.72971473,39.29168074,,,,
-94.72973597,39.29156711,,,,
-94.72975643,39.29145339,,,,
-94.72977612,39.29133958,,,,
-94.72979505,39.2912257,,,,
-94.7298132,39.29111175,,,,
-94.72983058,39.29099772,,,,
-94.72984719,39.29088363,,,,
-94.72986303,39.29076946,,,,
-94.72987809,39.29065524,,,,
-94.72989238,39.29054096,,,,
-94.7299059,39.29042661,,,,
-94.72991864,39.29031222,,,,
-94.72993061,39.29019778,,,,
-94.7299418,39.29008329,,,,
-94.72995222,39.28996875,,,,
-94.72996186,39.28985418,,,,
-94.72997073,39.28973957,,,,
-94.72997882,39.28962492,,,,
-94.72998613,39.28951024,,,,
-94.72999267,39.28939554,,,,
-94.72999843,39.28928081,,,,
-94.73000342,39.28916605,,,,
-94.73000763,39.28905128,,,,
-94.73001106,39.2889365,,,,
-94.73001371,39.2888217,,,,
-94.73001559,39.28870689,,,,
-94.73001669,39.28859207,,,,
-94.73001702,39.28847726,,,,
-94.73001656,39.28836244,,,,
-94.73001533,39.28824763,,,,
-94.73001333,39.28813282,,,,
-94.73001054,39.28801802,,,,
-94.73000698,39.28790324,,,,
-94.73000264,39.28778847,,,,
-94.72999753,39.28767372,,,,
-94.72999164,39.28755899,,,,
-94.72998497,39.28744429,,,,
-94.72997752,39.28732962,,,,
-94.7299693,39.28721498,,,,
-94.72996031,39.28710037,,,,
-94.72995053,39.2869858,,,,
-94.72993999,39.28687128,,,,
-94.72992867,39.2867568,,,,
-94.72991657,39.28664236,,,,
-94.7299037,39.28652797,,,,
-94.72989005,39.28641364,,,,
-94.72987563,39.28629937,,,,
-94.72986044,39.28618516,,,,
-94.72984448,39.286071,,,,
-94.72982774,39.28595692,,,,
-94.72981023,39.2858429,,,,
-94.72979195,39.28572896,,,,
-94.7297729,39.28561509,,,,
-94.72975308,39.2855013,,,,
-94.72973248,39.2853876,,,,
-94.72971112,39.28527398,,,,
-94.72968899,39.28516044,,,,
-94.72966609,39.285047,,,,
-94.72964243,39.28493365,,,,
-94.729618,39.2848204,,,,
-94.7295928,39.28470725,,,,
-94.72956683,39.2845942,,,,
-94.7295401,39.28448126,,,,
-94.72951261,39.28436843,,,,
-94.72948435,39.28425572,,,,
-94.72945534,39.28414311,,,,
-94.72942555,39.28403063,,,,
-94.72939501,39.28391827,,,,
-94.72936371,39.28380604,,,,
-94.72933165,39.28369393,,,,
-94.72929883,39.28358195,,,,
-94.72926526,39.28347011,,,,
-94.72923092,39.28335841,,,,
-94.72919583,39.28324685,,,,
-94.72915999,39.28313543,,,,
-94.72912339,39.28302416,,,,
-94.72908604,39.28291304,,,,
-94.72904794,39.28280207,,,,
-94.72900909,39.28269125,,,,
-94.72896949,39.2825806,,,,
-94.72892914,39.2824701,,,,
-94.72888804,39.28235978,,,,
-94.7288462,39.28224962,,,,
-94.72880361,39.28213963,,,,
-94.72876028,39.28202981,,,,
-94.72871621,39.28192017,,,,
-94.72867139,39.28181072,,,,
-94.72862583,39.28170144,,,,
-94.72857954,39.28159235,,,,
-94.7285325,39.28148345,,,,
-94.72848473,39.28137474,,,,
-94.72843623,39.28126623,,,,
-94.72838699,39.28115792,,,,
-94.72833702,39.2810498,,,,
-94.72828632,39.28094189,,,,
-94.72823489,39.28083419,,,,
-94.72818273,39.2807267,,,,
-94.72812984,39.28061942,,,,
-94.72807623,39.28051235,,,,
-94.72802189,39.2804055,,,,
-94.72796683,39.28029888,,,,
-94.72791105,39.28019248,,,,
-94.72785456,39.28008631,,,,
-94.72779734,39.27998036,,,,
-94.72773941,39.27987465,,,,
-94.72768076,39.27976918,,,,
-94.7276214,39.27966395,,,,
-94.72756133,39.27955895,,,,
-94.72750054,39.27945421,,,,
-94.72743905,39.27934971,,,,
-94.72737686,39.27924546,,,,
-94.72731396,39.27914146,,,,
-94.72725035,39.27903772,,,,
-94.72718605,39.27893424,,,,
-94.72712104,39.27883102,,,,
-94.72705534,39.27872807,,,,
-94.72698894,39.27862538,,,,
-94.72692185,39.27852296,,,,
-94.72685406,39.27842082,,,,
-94.72678559,39.27831895,,,,
-94.72671642,39.27821736,,,,
-94.72664657,39.27811606,,,,
-94.72657604,39.27801503,,,,
-94.72650482,39.2779143,,,,
-94.72643292,39.27781385,,,,
-94.72636034,39.2777137,,,,
-94.72628709,39.27761384,,,,
-94.72621316,39.27751428,,,,
-94.72613855,39.27741502,,,,
-94.72606328,39.27731607,,,,
-94.72598734,39.27721742,,,,
-94.72591073,39.27711908,,,,
-94.72583346,39.27702105,,,,
-94.72575552,39.27692333,,,,
-94.72567693,39.27682594,,,,
-94.72559767,39.27672886,,,,
-94.72551776,39.2766321,,,,
