Longitude,Latitude
-94.720776,39.322237
-94.72930435,39.29337304
-94.72930435,39.29337304
-94.72931265,39.29334506
-94.72932101,39.2933171
-94.72932944,39.29328914
-94.72933793,39.2932612
-94.72934648,39.29323327
-94.7293551,39.29320535
-94.72936377,39.29317744
-94.72937251,39.29314954
-94.72938132,39.29312165
-94.72939018,39.29309378
-94.72939911,39.29306592
-94.72940811,39.29303807
-94.72941716,39.29301023
-94.72942628,39.29298241
-94.72943546,39.2929546
-94.7294447,39.2929268
-94.72945401,39.29289901
-94.72946338,39.29287123
-94.72947281,39.29284347
-94.72948231,39.29281572
-94.72949186,39.29278798
-94.72950148,39.29276026
-94.72951116,39.29273255
-94.72952091,39.29270485
-94.72953072,39.29267717
-94.72954059,39.2926495
-94.72955052,39.29262184
-94.72956051,39.29259419
-94.72957057,39.29256656
-94.72958069,39.29253895
-94.72959087,39.29251134
-94.72960111,39.29248375
-94.72961142,39.29245618
-94.72962178,39.29242862
-94.72963221,39.29240107
-94.72964271,39.29237353
-94.72965326,39.29234602
-94.72966388,39.29231851
-94.72967456,39.29229102
-94.7296853,39.29226354
-94.7296961,39.29223608
-94.72970696,39.29220863
-94.72971789,39.2921812
-94.72972888,39.29215378
-94.72973993,39.29212638
-94.72975104,39.29209899
-94.72976221,39.29207162
-94.72977345,39.29204426
-94.72978474,39.29201692
-94.7297961,39.29198959
-94.72980752,39.29196228
-94.729819,39.29193499
-94.72983055,39.29190771
-94.72984215,39.29188044
-94.72985382,39.29185319
-94.72986555,39.29182596
-94.72987734,39.29179874
-94.72988919,39.29177154
-94.7299011,39.29174435
-94.72991307,39.29171718
-94.72992511,39.29169003
-94.7299372,39.29166289
-94.72994936,39.29163577
-94.72996158,39.29160867
-94.72997386,39.29158158
-94.7299862,39.29155451
-94.7299986,39.29152745
-94.73001106,39.29150042
-94.73002359,39.2914734
-94.73003617,39.29144639
-94.73004882,39.29141941
-94.73006152,39.29139244
-94.73007429,39.29136548
-94.73008712,39.29133855
-94.73010001,39.29131163
-94.73011295,39.29128473
-94.73012596,39.29125785
-94.73013904,39.29123098
-94.73015217,39.29120413
-94.73016536,39.2911773
-94.73017861,39.29115049
-94.73019192,39.2911237
-94.7302053,39.29109692
-94.73021873,39.29107016
-94.73023222,39.29104342
-94.73024578,39.2910167
-94.73025939,39.29099
-94.73027307,39.29096332
-94.7302868,39.29093665
-94.7303006,39.29091
-94.73031445,39.29088337
-94.73032837,39.29085676
-94.73034234,39.29083017
-94.73035638,39.2908036
-94.73037047,39.29077705
-94.73038463,39.29075051
-94.73039884,39.290724
-94.73041312,39.2906975
-94.73042745,39.29067102
-94.73044185,39.29064457
-94.7304563,39.29061813
-94.73047081,39.29059171
-94.73048539,39.29056531
-94.73050002,39.29053893
-94.73051471,39.29051257
-94.73052946,39.29048623
-94.73054427,39.29045992
-94.73055914,39.29043362
-94.73057407,39.29040734
-94.73058906,39.29038108
-94.73060411,39.29035484
-94.73061922,39.29032862
-94.73063438,39.29030242
-94.73064961,39.29027625
-94.73066489,39.29025009
-94.73068024,39.29022395
-94.73069564,39.29019784
-94.7307111,39.29017174
-94.73072662,39.29014567
-94.7307422,39.29011962
-94.73075784,39.29009359
-94.73077353,39.29006758
-94.73078929,39.29004159
-94.7308051,39.29001562
-94.73082097,39.28998967
-94.73083691,39.28996375
-94.73085289,39.28993784
-94.73086894,39.28991196
-94.73088505,39.2898861
-94.73090121,39.28986026
-94.73091743,39.28983445
-94.73093372,39.28980865
-94.73095005,39.28978288
-94.73096645,39.28975713
-94.73098291,39.2897314
-94.73099942,39.2897057
-94.73101599,39.28968001
-94.73103262,39.28965435
-94.73104931,39.28962871
-94.73106605,39.2896031
-94.73108285,39.2895775
-94.73109971,39.28955193
-94.73111663,39.28952638
-94.73113361,39.28950086
-94.73115064,39.28947536
-94.73116773,39.28944988
-94.73118488,39.28942442
-94.73120209,39.28939899
-94.73121935,39.28937358
-94.73123667,39.28934819
-94.73125405,39.28932283
-94.73127148,39.28929749
-94.73128897,39.28927218
-94.73130652,39.28924689
-94.73132413,39.28922162
-94.73134179,39.28919637
-94.73135951,39.28917115
-94.73137729,39.28914596
-94.73139512,39.28912078
-94.73141301,39.28909563
-94.73143096,39.28907051
-94.73144896,39.28904541
-94.73146702,39.28902034
-94.73148514,39.28899528
-94.73150331,39.28897026
-94.73152154,39.28894526
-94.73153983,39.28892028
-94.73155817,39.28889532
-94.73157657,39.2888704
-94.73159502,39.28884549
-94.73161353,39.28882062
-94.7316321,39.28879576
-94.73165072,39.28877094
-94.7316694,39.28874613
-94.73168814,39.28872135
-94.73170693,39.2886966
-94.73172577,39.28867188
-94.73174468,39.28864717
-94.73176363,39.2886225
-94.73178265,39.28859785
-94.73180172,39.28857322
-94.73182084,39.28854863
-94.73184002,39.28852405
-94.73185926,39.28849951
-94.73187855,39.28847499
-94.7318979,39.28845049
-94.7319173,39.28842602
-94.73193676,39.28840158
-94.73195627,39.28837716
-94.73197583,39.28835277
-94.73199546,39.28832841
-94.73201513,39.28830407
-94.73203487,39.28827976
-94.73205465,39.28825548
-94.73207449,39.28823122
-94.73209439,39.28820699
-94.73211434,39.28818279
-94.73213435,39.28815862
-94.73215441,39.28813447
-94.73217452,39.28811035
-94.73219469,39.28808625
