Longitude,Latitude
-97.0546,32.9158
-97.0547,32.8962
-97.0547,32.8962
-97.0547,32.8961
-97.0547,32.896
-97.0547,32.8959
-97.0547,32.8959
-97.0547,32.8958
-97.0547,32.8957
-97.0547,32.8956
-97.0547,32.8956
-97.0547,32.8955
-97.0547,32.8954
-97.0547,32.8954
-97.0547,32.8953
-97.0547,32.8952
-97.0547,32.8951
-97.0547,32.8951
-97.0547,32.895
-97.0547,32.8949
-97.0547,32.8948
-97.0547,32.8948
-97.0547,32.8947
-97.0547,32.8946
-97.0546,32.8946
-97.0546,32.8945
-97.0546,32.8944
-97.0546,32.8943
-97.0546,32.8943
-97.0546,32.8942
-97.0546,32.8941
-97.0546,32.894
-97.0546,32.894
-97.0545,32.8939
-97.0545,32.8938
-97.0545,32.8938
-97.0545,32.8937
-97.0545,32.8936
-97.0545,32.8935
-97.0545,32.8935
-97.0544,32.8934
-97.0544,32.8933
-97.0544,32.8932
-97.0544,32.8932
-97.0544,32.8931
-97.0543,32.893
-97.0543,32.893
-97.0543,32.8929
-97.0543,32.8928
-97.0543,32.8927
-97.0542,32.8927
-97.0542,32.8926
-97.0542,32.8925
-97.0542,32.8925
-97.0542,32.8924
-97.0541,32.8923
-97.0541,32.8923
-97.0541,32.8922
-97.0541,32.8921
-97.054,32.892
-97.054,32.892
-97.054,32.8919
-97.054,32.8918
-97.0539,32.8918
-97.0539,32.8917
-97.0539,32.8916
-97.0539,32.8916
-97.0538,32.8915
-97.0538,32.8914
-97.0538,32.8913
-97.0537,32.8913
-97.0537,32.8912
-97.0537,32.8911
-97.0536,32.8911
-97.0536,32.891
-97.0536,32.8909
-97.0536,32.8909
-97.0535,32.8908
-97.0535,32.8907
-97.0535,32.8907
-97.0534,32.8906
-97.0534,32.8905
-97.0533,32.8905
-97.0533,32.8904
-97.0533,32.8903
-97.0532,32.8903
-97.0532,32.8902
-97.0532,32.8901
-97.0531,32.8901
-97.0531,32.89
-97.0531,32.8899
-97.053,32.8899
-97.053,32.8898
-97.0529,32.8897
-97.0529,32.8897
-97.0529,32.8896
-97.0528,32.8895
-97.0528,32.8895
-97.0527,32.8894
-97.0527,32.8893
-97.0527,32.8893
-97.0526,32.8892
-97.0526,32.8891
-97.0525,32.8891
-97.0525,32.889
-97.0524,32.889
-97.0524,32.8889
-97.0524,32.8888
-97.0523,32.8888
-97.0523,32.8887
-97.0522,32.8886
-97.0522,32.8886
-97.0521,32.8885
-97.0521,32.8885
-97.052,32.8884
-97.052,32.8883
-97.0519,32.8883
-97.0519,32.8882
-97.0518,32.8881
-97.0518,32.8881
-97.0517,32.888
-97.0517,32.888
-97.0516,32.8879
-97.0516,32.8878
-97.0515,32.8878
-97.0515,32.8877
-97.0514,32.8877
-97.0514,32.8876
-97.0513,32.8876
-97.0513,32.8875
-97.0512,32.8874
-97.0512,32.8874
-97.0511,32.8873
-97.0511,32.8873
-97.051,32.8872
-97.0509,32.8872
-97.0509,32.8871
-97.0508,32.887
-97.0508,32.887
-97.0507,32.8869
-97.0507,32.8869
-97.0506,32.8868
-97.0506,32.8868
-97.0505,32.8867
-97.0504,32.8866
-97.0504,32.8866
-97.0503,32.8865
-97.0503,32.8865
-97.0502,32.8864
-97.0501,32.8864
-97.0501,32.8863
-97.05,32.8863
-97.05,32.8862
-97.0499,32.8862
-97.0498,32.8861
-97.0498,32.8861
-97.0497,32.886
-97.0497,32.886
-97.0496,32.8859
-97.0495,32.8859
-97.0495,32.8858
-97.0494,32.8858
-97.0493,32.8857
-97.0493,32.8857
-97.0492,32.8856
-97.0491,32.8856
-97.0491,32.8855
-97.049,32.8855
-97.0489,32.8854
-97.0489,32.8854
-97.0488,32.8853
-97.0487,32.8853
-97.0487,32.8852
-97.0486,32.8852
-97.0485,32.8851
-97.0485,32.8851
-97.0484,32.885
-97.0483,32.885
-97.0483,32.8849
-97.0482,32.8849
-97.0481,32.8849
-97.0481,32.8848
-97.048,32.8848
-97.0479,32.8847
-97.0479,32.8847
-97.0478,32.8846
-97.0477,32.8846
-97.0476,32.8846
-97.0476,32.8845
-97.0475,32.8845
-97.0474,32.8844
-97.0474,32.8844
-97.0473,32.8843
-97.0472,32.8843
-97.0471,32.8843
-97.0471,32.8842
-97.047,32.8842
-97.0469,32.8841
-97.0468,32.8841
-97.0468,32.8841
-97.0467,32.884
-97.0466,32.884
-97.0465,32.884
-97.0465,32.8839
-97.0464,32.8839
-97.0463,32.8838
-97.0462,32.8838
-97.0462,32.8838
-97.0461,32.8837
-97.046,32.8837
-97.0459,32.8837
-97.0459,32.8836
