Longitude,Latitude
-94.726592,39.290862
-94.66432556,39.28518386
-94.66432556,39.28518386
-94.66420785,39.28517326
-94.66409011,39.28516292
-94.66397233,39.28515285
-94.66385452,39.28514305
-94.66373667,39.28513351
-94.66361878,39.28512424
-94.66350085,39.28511523
-94.6633829,39.28510649
-94.66326491,39.28509801
-94.66314689,39.2850898
-94.66302884,39.28508186
-94.66291076,39.28507418
-94.66279265,39.28506676
-94.66267452,39.28505962
-94.66255636,39.28505273
-94.66243817,39.28504612
-94.66231996,39.28503977
-94.66220173,39.28503369
-94.66208347,39.28502787
-94.66196519,39.28502232
-94.66184689,39.28501703
-94.66172857,39.28501202
-94.66161024,39.28500726
-94.66149188,39.28500278
-94.66137351,39.28499856
-94.66125513,39.28499461
-94.66113673,39.28499092
-94.66101832,39.2849875
-94.66089989,39.28498435
-94.66078145,39.28498146
-94.66066301,39.28497885
-94.66054455,39.28497649
-94.66042609,39.28497441
-94.66030761,39.28497259
-94.66018913,39.28497104
-94.66007065,39.28496975
-94.65995216,39.28496873
-94.65983367,39.28496798
-94.65971518,39.28496749
-94.65959668,39.28496727
-94.65947819,39.28496732
-94.65935969,39.28496764
-94.6592412,39.28496822
-94.65912271,39.28496907
-94.65900422,39.28497018
-94.65888574,39.28497156
-94.65876726,39.28497321
-94.65864879,39.28497513
-94.65853033,39.28497731
-94.65841188,39.28497976
-94.65829344,39.28498247
-94.658175,39.28498545
-94.65805658,39.2849887
-94.65793817,39.28499222
-94.65781978,39.284996
-94.6577014,39.28500005
-94.65758303,39.28500436
-94.65746469,39.28500894
-94.65734636,39.28501379
-94.65722805,39.28501891
-94.65710976,39.28502429
-94.65699148,39.28502993
-94.65687324,39.28503585
-94.65675501,39.28504202
-94.65663681,39.28504847
-94.65651863,39.28505518
-94.65640048,39.28506216
-94.65628235,39.2850694
-94.65616425,39.28507691
-94.65604619,39.28508469
-94.65592815,39.28509273
-94.65581014,39.28510103
-94.65569216,39.28510961
-94.65557422,39.28511844
-94.65545631,39.28512755
-94.65533843,39.28513691
-94.65522059,39.28514655
-94.65510279,39.28515645
-94.65498502,39.28516661
-94.6548673,39.28517704
-94.65474961,39.28518774
-94.65463196,39.2851987
-94.65451436,39.28520992
-94.6543968,39.28522141
-94.65427928,39.28523316
-94.65416181,39.28524518
-94.65404438,39.28525746
-94.653927,39.28527001
-94.65380966,39.28528282
-94.65369238,39.28529589
-94.65357514,39.28530923
-94.65345796,39.28532284
-94.65334082,39.2853367
-94.65322374,39.28535083
-94.65310672,39.28536523
-94.65298974,39.28537988
-94.65287283,39.2853948
-94.65275597,39.28540999
-94.65263917,39.28542543
-94.65252242,39.28544114
-94.65240574,39.28545712
-94.65228911,39.28547335
-94.65217255,39.28548985
-94.65205605,39.28550661
-94.65193961,39.28552363
-94.65182324,39.28554091
-94.65170694,39.28555846
-94.6515907,39.28557627
-94.65147452,39.28559434
-94.65135842,39.28561267
-94.65124238,39.28563126
-94.65112642,39.28565011
-94.65101053,39.28566923
-94.65089471,39.2856886
-94.65077896,39.28570824
-94.65066329,39.28572814
-94.65054769,39.28574829
-94.65043217,39.28576871
-94.65031672,39.28578939
-94.65020135,39.28581032
-94.65008607,39.28583152
-94.64997086,39.28585297
-94.64985574,39.28587469
-94.64974069,39.28589666
-94.64962573,39.2859189
-94.64951085,39.28594139
-94.64939606,39.28596414
-94.64928136,39.28598715
-94.64916674,39.28601041
-94.64905221,39.28603394
-94.64893777,39.28605772
-94.64882341,39.28608176
-94.64870915,39.28610606
-94.64859498,39.28613061
-94.64848091,39.28615542
-94.64836692,39.28618049
-94.64825304,39.28620581
-94.64813924,39.28623139
-94.64802555,39.28625723
-94.64791195,39.28628332
-94.64779845,39.28630967
-94.64768505,39.28633628
-94.64757175,39.28636313
-94.64745855,39.28639025
-94.64734546,39.28641762
-94.64723246,39.28644524
-94.64711958,39.28647312
-94.64700679,39.28650125
-94.64689412,39.28652963
-94.64678155,39.28655827
-94.64666909,39.28658716
-94.64655673,39.28661631
-94.64644449,39.28664571
-94.64633236,39.28667536
-94.64622034,39.28670526
-94.64610843,39.28673542
-94.64599664,39.28676582
-94.64588496,39.28679648
-94.6457734,39.28682739
-94.64566196,39.28685855
-94.64555063,39.28688996
-94.64543942,39.28692162
-94.64532833,39.28695354
-94.64521736,39.2869857
-94.64510651,39.28701811
-94.64499578,39.28705077
-94.64488518,39.28708368
-94.6447747,39.28711684
-94.64466435,39.28715025
-94.64455412,39.2871839
-94.64444402,39.28721781
-94.64433405,39.28725196
-94.6442242,39.28728636
-94.64411449,39.287321
-94.64400491,39.2873559
-94.64389546,39.28739104
-94.64378614,39.28742642
-94.64367695,39.28746205
-94.6435679,39.28749793
-94.64345898,39.28753405
-94.6433502,39.28757042
-94.64324156,39.28760704
-94.64313306,39.28764389
-94.64302469,39.28768099
-94.64291646,39.28771834
-94.64280838,39.28775593
-94.64270044,39.28779376
-94.64259264,39.28783183
-94.64248498,39.28787015
-94.64237747,39.28790871
-94.6422701,39.28794751
-94.64216288,39.28798655
-94.6420558,39.28802584
-94.64194888,39.28806536
-94.6418421,39.28810513
-94.64173548,39.28814513
-94.641629,39.28818538
-94.64152268,39.28822586
-94.6414165,39.28826659
-94.64131049,39.28830755
-94.64120462,39.28834875
-94.64109891,39.28839019
-94.64099336,39.28843187
-94.64088797,39.28847379
-94.64078273,39.28851594
-94.64067765,39.28855833
-94.64057273,39.28860095
-94.64046798,39.28864381
-94.64036338,39.28868691
-94.64025895,39.28873024
-94.64015468,39.28877381
-94.64005057,39.28881761
-94.63994663,39.28886165
-94.63984285,39.28890592
-94.63973925,39.28895042
-94.6396358,39.28899516
-94.63953253,39.28904013
-94.63942943,39.28908533
-94.6393265,39.28913076
-94.63922374,39.28917642
-94.63912115,39.28922232
-94.63901873,39.28926845
-94.63891649,39.2893148
-94.63881442,39.28936139
-94.63871253,39.28940821
-94.63861081,39.28945525
-94.63850928,39.28950253
-94.63840792,39.28955003
