ACName,Runway ID,App Day,App Nght,Dep Day,Dep Nght,Stage Length
A300F4-6_1PW056_DJ29_A4,2,0,0,0.00232412,0.000249656,1
A300F4-6_1PW056_DP15_A4,2,0,0,0.008110706,0.00087125,1
A300F4-6_1PW056_DJ18_A8,4,0.708431004,0.227049274,0,0,1
A300F4-6_1PW056_DJ26_A6,6,1.405898194,0.450584689,0,0,1
A300F4-6_1PW056_DJ22_A6,6,0,0,0.010529688,0.001131096,1
A300F4-6_1PW056_DJ26_A6,6,0,0,0.010529688,0.001131096,1
A300F4-6_1PW056_DJ27_A6,6,0,0,0.010529688,0.001131096,1
A300F4-6_1PW056_DJ98_A6,6,0,0,0.00787355,0.000845775,1
A300F4-6_1PW056_DP14_A5,8,0.43560073,0.139608274,0,0,1
A300F4-6_1PW056_DJ24_A5,8,0,0,0.017502048,0.001880065,1
A300F4-6_1PW056_DJ18_A8,10,0,0,0.02822146,0.003031541,1
A300F4-6_1PW056_DJ21_A8,10,0,0,0.02822146,0.003031541,1
A300F4-6_1PW056_DJ23_A8,10,0,0,0.02822146,0.003031541,1
A300F4-6_1PW056_DJ25_A8,10,0,0,0.02822146,0.003031541,1
A300F4-6_1PW056_DJ28_A8,10,0,0,0.02822146,0.003031541,1
A300F4-6_1PW056_DJ14_A7,1,0,0,0.026513942,0.00284812,1
A300F4-6_1PW056_DJ17_A7,1,0,0,0.026513942,0.00284812,1
A300F4-6_1PW056_DJ20_A7,1,0,0,0.026513942,0.00284812,1
A300F4-6_1PW056_DJ30_A7,1,0,0,0.026513942,0.00284812,1
A300F4-6_1PW056_DJ31_A7,1,0,0,0.026513942,0.00284812,1
A300F4-6_1PW056_DJ14_A7,12,0.991803404,0.317868984,0,0,1
A300F4-6_1PW056_DJ16_A7,12,0,0,0.008110706,0.00087125,1
A300F4-6_1PW056_DJ19_A7,12,0,0,0.008110706,0.00087125,1
A300F4-6_1PW056_DJ29_A4,3,0.15644518,0.050140047,0,0,1
A300F4-6_1PW056_DJ12_A8,5,0,0,0.005881447,0.000631783,1
A300F4-6_1PW056_DJ13_A8,5,0,0,0.005881447,0.000631783,1
A300F4-6_1PW056_DJ1_A2,7,0.34999865,0.112173153,0,0,1
A300F4-6_1PW056_DJ1_A2,7,0,0,0.005169982,0.000555358,1
A300F4-6_1PW056_DJ4_A2,7,0,0,0.005169982,0.000555358,1
A300F4-6_1PW056_DP1_A3,9,0.168252363,0.053924203,0,0,1
A300F4-6_1PW056_DJ2_A3,9,0,0,0.00597631,0.000641974,1
A300F4-6_1PW056_DJ3_A8,11,0,0,0.01479848,0.001589648,1
A300F4-6_1PW056_DJ5_A8,11,0,0,0.01479848,0.001589648,1
A300F4-6_1PW056_DJ7_A8,11,0,0,0.01479848,0.001589648,1
A300F4-6_1PW056_DJ10_A7,0,0,0,0.012853808,0.001380752,1
A300F4-6_1PW056_DJ6_A7,0,0,0,0.012853808,0.001380752,1
A300F4-6_1PW056_DJ8_A7,0,0,0,0.012853808,0.001380752,1
A300F4-6_1PW056_DJ11_A7,13,0,0,0.003035585,0.000326082,1
A300F4-6_1PW056_DJ9_A7,13,0,0,0.003035585,0.000326082,1
A300F4-6_1PW056_DJ29_A4,2,0,0,0.01502158,0.001613614,2
