ACName,Runway ID,App Day,App Nght,Dep Day,Dep Nght,Stage Length
A300F4-6_1PW056_DJ29_A4,2,0,0,0.001898032,0.000203886,1
A300F4-6_1PW056_DP15_A4,2,0,0,0.006623743,0.000711521,1
A300F4-6_1PW056_DJ18_A8,4,0.578551986,0.185423574,0,0,1
A300F4-6_1PW056_DJ26_A6,6,1.148150192,0.367977496,0,0,1
A300F4-6_1PW056_DJ22_A6,6,0,0,0.008599245,0.000923728,1
A300F4-6_1PW056_DJ26_A6,6,0,0,0.008599245,0.000923728,1
A300F4-6_1PW056_DJ27_A6,6,0,0,0.008599245,0.000923728,1
A300F4-6_1PW056_DJ98_A6,6,0,0,0.006430066,0.000690716,1
A300F4-6_1PW056_DP14_A5,8,0.355740596,0.114013424,0,0,1
A300F4-6_1PW056_DJ24_A5,8,0,0,0.014293339,0.001535387,1
A300F4-6_1PW056_DJ18_A8,10,0,0,0.023047525,0.002475759,1
A300F4-6_1PW056_DJ21_A8,10,0,0,0.023047525,0.002475759,1
A300F4-6_1PW056_DJ23_A8,10,0,0,0.023047525,0.002475759,1
A300F4-6_1PW056_DJ25_A8,10,0,0,0.023047525,0.002475759,1
A300F4-6_1PW056_DJ28_A8,10,0,0,0.023047525,0.002475759,1
A300F4-6_1PW056_DJ14_A7,1,0,0,0.021653053,0.002325965,1
A300F4-6_1PW056_DJ17_A7,1,0,0,0.021653053,0.002325965,1
A300F4-6_1PW056_DJ20_A7,1,0,0,0.021653053,0.002325965,1
A300F4-6_1PW056_DJ30_A7,1,0,0,0.021653053,0.002325965,1
A300F4-6_1PW056_DJ31_A7,1,0,0,0.021653053,0.002325965,1
A300F4-6_1PW056_DJ14_A7,12,0.80997278,0.259593003,0,0,1
A300F4-6_1PW056_DJ16_A7,12,0,0,0.006623743,0.000711521,1
A300F4-6_1PW056_DJ19_A7,12,0,0,0.006623743,0.000711521,1
A300F4-6_1PW056_DJ29_A4,3,0.127763563,0.040947705,0,0,1
A300F4-6_1PW056_DJ12_A8,5,0,0,0.004803181,0.000515956,1
A300F4-6_1PW056_DJ13_A8,5,0,0,0.004803181,0.000515956,1
A300F4-6_1PW056_DJ1_A2,7,0.285832231,0.091608075,0,0,1
A300F4-6_1PW056_DJ1_A2,7,0,0,0.004222152,0.000453543,1
A300F4-6_1PW056_DJ4_A2,7,0,0,0.004222152,0.000453543,1
A300F4-6_1PW056_DP1_A3,9,0.137406097,0.044038099,0,0,1
A300F4-6_1PW056_DJ2_A3,9,0,0,0.004880653,0.000524279,1
A300F4-6_1PW056_DJ3_A8,11,0,0,0.012085425,0.001298212,1
A300F4-6_1PW056_DJ5_A8,11,0,0,0.012085425,0.001298212,1
A300F4-6_1PW056_DJ7_A8,11,0,0,0.012085425,0.001298212,1
A300F4-6_1PW056_DJ10_A7,0,0,0,0.010497277,0.001127614,1
A300F4-6_1PW056_DJ6_A7,0,0,0,0.010497277,0.001127614,1
A300F4-6_1PW056_DJ8_A7,0,0,0,0.010497277,0.001127614,1
A300F4-6_1PW056_DJ11_A7,13,0,0,0.002479061,0.000266301,1
A300F4-6_1PW056_DJ9_A7,13,0,0,0.002479061,0.000266301,1
A300F4-6_1PW056_DJ29_A4,2,0,0,0.012267624,0.001317784,2
A300F4-6_1PW056_DP15_A4,2,0,0,0.042811503,0.004598799,2
A300F4-6_1PW056_DJ22_A6,6,0,0,0.055579846,0.005970371,2
A300F4-6_1PW056_DJ26_A6,6,0,0,0.055579846,0.005970371,2
A300F4-6_1PW056_DJ27_A6,6,0,0,0.055579846,0.005970371,2
A300F4-6_1PW056_DJ98_A6,6,0,0,0.041559704,0.004464332,2
A300F4-6_1PW056_DJ24_A5,8,0,0,0.092382717,0.009923725,2
A300F4-6_1PW056_DJ18_A8,10,0,0,0.148964,0.01600167,2
A300F4-6_1PW056_DJ21_A8,10,0,0,0.148964,0.01600167,2
A300F4-6_1PW056_DJ23_A8,10,0,0,0.148964,0.01600167,2
A300F4-6_1PW056_DJ25_A8,10,0,0,0.148964,0.01600167,2
A300F4-6_1PW056_DJ28_A8,10,0,0,0.148964,0.01600167,2
A300F4-6_1PW056_DJ14_A7,1,0,0,0.139951053,0.015033502,2
A300F4-6_1PW056_DJ17_A7,1,0,0,0.139951053,0.015033502,2
A300F4-6_1PW056_DJ20_A7,1,0,0,0.139951053,0.015033502,2
A300F4-6_1PW056_DJ30_A7,1,0,0,0.139951053,0.015033502,2
A300F4-6_1PW056_DJ31_A7,1,0,0,0.139951053,0.015033502,2
A300F4-6_1PW056_DJ16_A7,12,0,0,0.042811503,0.004598799,2
A300F4-6_1PW056_DJ19_A7,12,0,0,0.042811503,0.004598799,2
A300F4-6_1PW056_DJ12_A8,5,0,0,0.031044599,0.003334802,2
A300F4-6_1PW056_DJ13_A8,5,0,0,0.031044599,0.003334802,2
A300F4-6_1PW056_DJ1_A2,7,0,0,0.027289203,0.002931398,2
A300F4-6_1PW056_DJ4_A2,7,0,0,0.027289203,0.002931398,2
A300F4-6_1PW056_DJ2_A3,9,0,0,0.031545318,0.003388589,2
A300F4-6_1PW056_DJ3_A8,11,0,0,0.078112216,0.008390792,2
A300F4-6_1PW056_DJ5_A8,11,0,0,0.078112216,0.008390792,2
A300F4-6_1PW056_DJ7_A8,11,0,0,0.078112216,0.008390792,2
A300F4-6_1PW056_DJ10_A7,0,0,0,0.067847469,0.007288156,2
A300F4-6_1PW056_DJ6_A7,0,0,0,0.067847469,0.007288156,2
A300F4-6_1PW056_DJ8_A7,0,0,0,0.067847469,0.007288156,2
A300F4-6_1PW056_DJ11_A7,13,0,0,0.016023018,0.001721188,2
A300F4-6_1PW056_DJ9_A7,13,0,0,0.016023018,0.001721188,2
A300F4-6_1PW056_DJ29_A4,2,0,0,0.005910851,0.000634942,3
A300F4-6_1PW056_DP15_A4,2,0,0,0.020627666,0.002215818,3
A300F4-6_1PW056_DJ22_A6,6,0,0,0.026779777,0.002876676,3
A300F4-6_1PW056_DJ26_A6,6,0,0,0.026779777,0.002876676,3
A300F4-6_1PW056_DJ27_A6,6,0,0,0.026779777,0.002876676,3
A300F4-6_1PW056_DJ98_A6,6,0,0,0.020024518,0.002151028,3
A300F4-6_1PW056_DJ24_A5,8,0,0,0.044512332,0.004781502,3
A300F4-6_1PW056_DJ18_A8,10,0,0,0.071774628,0.00771001,3
A300F4-6_1PW056_DJ21_A8,10,0,0,0.071774628,0.00771001,3
A300F4-6_1PW056_DJ23_A8,10,0,0,0.071774628,0.00771001,3
A300F4-6_1PW056_DJ25_A8,10,0,0,0.071774628,0.00771001,3
A300F4-6_1PW056_DJ28_A8,10,0,0,0.071774628,0.00771001,3
A300F4-6_1PW056_DJ14_A7,1,0,0,0.067431962,0.007243522,3
A300F4-6_1PW056_DJ17_A7,1,0,0,0.067431962,0.007243522,3
A300F4-6_1PW056_DJ20_A7,1,0,0,0.067431962,0.007243522,3
A300F4-6_1PW056_DJ30_A7,1,0,0,0.067431962,0.007243522,3
A300F4-6_1PW056_DJ31_A7,1,0,0,0.067431962,0.007243522,3
A300F4-6_1PW056_DJ16_A7,12,0,0,0.020627666,0.002215818,3
A300F4-6_1PW056_DJ19_A7,12,0,0,0.020627666,0.002215818,3
A300F4-6_1PW056_DJ12_A8,5,0,0,0.014958073,0.001606792,3
A300F4-6_1PW056_DJ13_A8,5,0,0,0.014958073,0.001606792,3
A300F4-6_1PW056_DJ1_A2,7,0,0,0.013148629,0.001412422,3
A300F4-6_1PW056_DJ4_A2,7,0,0,0.013148629,0.001412422,3
A300F4-6_1PW056_DJ2_A3,9,0,0,0.015199333,0.001632708,3
A300F4-6_1PW056_DJ3_A8,11,0,0,0.037636444,0.004042896,3
A300F4-6_1PW056_DJ5_A8,11,0,0,0.037636444,0.004042896,3
A300F4-6_1PW056_DJ7_A8,11,0,0,0.037636444,0.004042896,3
A300F4-6_1PW056_DJ10_A7,0,0,0,0.03269063,0.003511618,3
A300F4-6_1PW056_DJ6_A7,0,0,0,0.03269063,0.003511618,3
A300F4-6_1PW056_DJ8_A7,0,0,0,0.03269063,0.003511618,3
A300F4-6_1PW056_DJ11_A7,13,0,0,0.007720297,0.000829312,3
A300F4-6_1PW056_DJ9_A7,13,0,0,0.007720297,0.000829312,3
A319-1_3IA006_SOP_DJ29_A4,2,0,0,0.042603184,0.004576422,1
A319-1_3IA006_SOP_DP15_A4,2,0,0,0.148676419,0.015970778,1
A319-1_3IA006_SOP_DJ18_A8,4,6.357575855,1.013985928,0,0,1
A319-1_3IA006_SOP_DJ26_A6,6,12.60887582,2.011021644,0,0,1
A319-1_3IA006_SOP_DJ22_A6,6,0,0,0.191279603,0.0205472,1
A319-1_3IA006_SOP_DJ26_A6,6,0,0,0.191279603,0.0205472,1
A319-1_3IA006_SOP_DJ27_A6,6,0,0,0.191279603,0.0205472,1
A319-1_3IA006_SOP_DJ98_A6,6,0,0,0.143459703,0.0154104,1
A319-1_3IA006_SOP_DP14_A5,8,3.951185949,0.630184688,0,0,1
A319-1_3IA006_SOP_DJ24_A5,8,0,0,0.319089156,0.034276466,1
A319-1_3IA006_SOP_DP14_A5,8,0,0,0.003477811,0.000373586,1
A319-1_3IA006_SOP_DJ18_A8,10,0,0,0.514716022,0.055290647,1
A319-1_3IA006_SOP_DJ21_A8,10,0,0,0.514716022,0.055290647,1
A319-1_3IA006_SOP_DJ23_A8,10,0,0,0.514716022,0.055290647,1
A319-1_3IA006_SOP_DJ25_A8,10,0,0,0.514716022,0.055290647,1
A319-1_3IA006_SOP_DJ28_A8,10,0,0,0.514716022,0.055290647,1
A319-1_3IA006_SOP_DJ14_A7,1,0,0,0.483415723,0.051928378,1
A319-1_3IA006_SOP_DJ17_A7,1,0,0,0.483415723,0.051928378,1
A319-1_3IA006_SOP_DJ20_A7,1,0,0,0.483415723,0.051928378,1
A319-1_3IA006_SOP_DJ30_A7,1,0,0,0.483415723,0.051928378,1
A319-1_3IA006_SOP_DJ31_A7,1,0,0,0.483415723,0.051928378,1
A319-1_3IA006_SOP_DJ14_A7,12,8.965130847,1.429871501,0,0,1
A319-1_3IA006_SOP_DJ16_A7,12,0,0,0.148676419,0.015970778,1
A319-1_3IA006_SOP_DJ19_A7,12,0,0,0.148676419,0.015970778,1
A319-1_3IA006_SOP_DP12_A7,12,0,0,0.006955622,0.000747171,1
A319-1_3IA006_SOP_DJ29_A4,3,1.408155608,0.224590316,0,0,1
A319-1_3IA006_SOP_DJ12_A8,5,0,0,0.106073234,0.011394356,1
A319-1_3IA006_SOP_DJ13_A8,5,0,0,0.106073234,0.011394356,1
A319-1_3IA006_SOP_DJ1_A2,7,3.142730034,0.501241999,0,0,1
