ACName,Runway ID,App Day,App Nght,Dep Day,Dep Nght,Stage Length
A300F4-6_1PW056_DJ29_A4,2,0,0,0.001936767,0.000208047,1
A300F4-6_1PW056_DP15_A4,2,0,0,0.006758921,0.000726042,1
A300F4-6_1PW056_DJ18_A8,4,0.59035917,0.189207728,0,0,1
A300F4-6_1PW056_DJ26_A6,6,1.171581829,0.375487241,0,0,1
A300F4-6_1PW056_DJ22_A6,6,0,0,0.00877474,0.00094258,1
A300F4-6_1PW056_DJ26_A6,6,0,0,0.00877474,0.00094258,1
A300F4-6_1PW056_DJ27_A6,6,0,0,0.00877474,0.00094258,1
A300F4-6_1PW056_DJ98_A6,6,0,0,0.006561292,0.000704812,1
A300F4-6_1PW056_DP14_A5,8,0.363000608,0.116340228,0,0,1
A300F4-6_1PW056_DJ24_A5,8,0,0,0.01458504,0.001566721,1
A300F4-6_1PW056_DJ18_A8,10,0,0,0.023517883,0.002526284,1
A300F4-6_1PW056_DJ21_A8,10,0,0,0.023517883,0.002526284,1
A300F4-6_1PW056_DJ23_A8,10,0,0,0.023517883,0.002526284,1
A300F4-6_1PW056_DJ25_A8,10,0,0,0.023517883,0.002526284,1
A300F4-6_1PW056_DJ28_A8,10,0,0,0.023517883,0.002526284,1
A300F4-6_1PW056_DJ14_A7,1,0,0,0.022094952,0.002373434,1
A300F4-6_1PW056_DJ17_A7,1,0,0,0.022094952,0.002373434,1
A300F4-6_1PW056_DJ20_A7,1,0,0,0.022094952,0.002373434,1
A300F4-6_1PW056_DJ30_A7,1,0,0,0.022094952,0.002373434,1
A300F4-6_1PW056_DJ31_A7,1,0,0,0.022094952,0.002373434,1
A300F4-6_1PW056_DJ14_A7,12,0.826502837,0.26489082,0,0,1
A300F4-6_1PW056_DJ16_A7,12,0,0,0.006758921,0.000726042,1
A300F4-6_1PW056_DJ19_A7,12,0,0,0.006758921,0.000726042,1
A300F4-6_1PW056_DJ29_A4,3,0.130370983,0.041783373,0,0,1
A300F4-6_1PW056_DJ12_A8,5,0,0,0.004901206,0.000526486,1
A300F4-6_1PW056_DJ13_A8,5,0,0,0.004901206,0.000526486,1
A300F4-6_1PW056_DJ1_A2,7,0.291665542,0.093477627,0,0,1
A300F4-6_1PW056_DJ1_A2,7,0,0,0.004308318,0.000462799,1
A300F4-6_1PW056_DJ4_A2,7,0,0,0.004308318,0.000462799,1
A300F4-6_1PW056_DP1_A3,9,0.140210303,0.044936836,0,0,1
A300F4-6_1PW056_DJ2_A3,9,0,0,0.004980258,0.000534978,1
A300F4-6_1PW056_DJ3_A8,11,0,0,0.012332066,0.001324707,1
A300F4-6_1PW056_DJ5_A8,11,0,0,0.012332066,0.001324707,1
A300F4-6_1PW056_DJ7_A8,11,0,0,0.012332066,0.001324707,1
A300F4-6_1PW056_DJ10_A7,0,0,0,0.010711507,0.001150626,1
A300F4-6_1PW056_DJ6_A7,0,0,0,0.010711507,0.001150626,1
A300F4-6_1PW056_DJ8_A7,0,0,0,0.010711507,0.001150626,1
A300F4-6_1PW056_DJ11_A7,13,0,0,0.002529654,0.000271735,1
A300F4-6_1PW056_DJ9_A7,13,0,0,0.002529654,0.000271735,1
A300F4-6_1PW056_DJ29_A4,2,0,0,0.012517984,0.001344678,2
A300F4-6_1PW056_DP15_A4,2,0,0,0.043685207,0.004692653,2
A300F4-6_1PW056_DJ22_A6,6,0,0,0.056714128,0.006092216,2
A300F4-6_1PW056_DJ26_A6,6,0,0,0.056714128,0.006092216,2
A300F4-6_1PW056_DJ27_A6,6,0,0,0.056714128,0.006092216,2
A300F4-6_1PW056_DJ98_A6,6,0,0,0.042407862,0.00455544,2
A300F4-6_1PW056_DJ24_A5,8,0,0,0.094268078,0.01012625,2
A300F4-6_1PW056_DJ18_A8,10,0,0,0.152004082,0.016328235,2
A300F4-6_1PW056_DJ21_A8,10,0,0,0.152004082,0.016328235,2
A300F4-6_1PW056_DJ23_A8,10,0,0,0.152004082,0.016328235,2
A300F4-6_1PW056_DJ25_A8,10,0,0,0.152004082,0.016328235,2
A300F4-6_1PW056_DJ28_A8,10,0,0,0.152004082,0.016328235,2
A300F4-6_1PW056_DJ14_A7,1,0,0,0.142807197,0.015340308,2
A300F4-6_1PW056_DJ17_A7,1,0,0,0.142807197,0.015340308,2
A300F4-6_1PW056_DJ20_A7,1,0,0,0.142807197,0.015340308,2
A300F4-6_1PW056_DJ30_A7,1,0,0,0.142807197,0.015340308,2
A300F4-6_1PW056_DJ31_A7,1,0,0,0.142807197,0.015340308,2
A300F4-6_1PW056_DJ16_A7,12,0,0,0.043685207,0.004692653,2
A300F4-6_1PW056_DJ19_A7,12,0,0,0.043685207,0.004692653,2
A300F4-6_1PW056_DJ12_A8,5,0,0,0.031678162,0.003402859,2
A300F4-6_1PW056_DJ13_A8,5,0,0,0.031678162,0.003402859,2
A300F4-6_1PW056_DJ1_A2,7,0,0,0.027846126,0.002991223,2
A300F4-6_1PW056_DJ4_A2,7,0,0,0.027846126,0.002991223,2
A300F4-6_1PW056_DJ2_A3,9,0,0,0.0321891,0.003457744,2
A300F4-6_1PW056_DJ3_A8,11,0,0,0.079706342,0.008562033,2
A300F4-6_1PW056_DJ5_A8,11,0,0,0.079706342,0.008562033,2
A300F4-6_1PW056_DJ7_A8,11,0,0,0.079706342,0.008562033,2
A300F4-6_1PW056_DJ10_A7,0,0,0,0.069232111,0.007436894,2
A300F4-6_1PW056_DJ6_A7,0,0,0,0.069232111,0.007436894,2
A300F4-6_1PW056_DJ8_A7,0,0,0,0.069232111,0.007436894,2
A300F4-6_1PW056_DJ11_A7,13,0,0,0.016350019,0.001756314,2
A300F4-6_1PW056_DJ9_A7,13,0,0,0.016350019,0.001756314,2
A300F4-6_1PW056_DJ29_A4,2,0,0,0.006031481,0.0006479,3
A300F4-6_1PW056_DP15_A4,2,0,0,0.021048639,0.002261039,3
A300F4-6_1PW056_DJ22_A6,6,0,0,0.027326303,0.002935384,3
A300F4-6_1PW056_DJ26_A6,6,0,0,0.027326303,0.002935384,3
A300F4-6_1PW056_DJ27_A6,6,0,0,0.027326303,0.002935384,3
A300F4-6_1PW056_DJ98_A6,6,0,0,0.020433182,0.002194926,3
A300F4-6_1PW056_DJ24_A5,8,0,0,0.045420747,0.004879084,3
A300F4-6_1PW056_DJ18_A8,10,0,0,0.073239416,0.007867357,3
A300F4-6_1PW056_DJ21_A8,10,0,0,0.073239416,0.007867357,3
A300F4-6_1PW056_DJ23_A8,10,0,0,0.073239416,0.007867357,3
A300F4-6_1PW056_DJ25_A8,10,0,0,0.073239416,0.007867357,3
A300F4-6_1PW056_DJ28_A8,10,0,0,0.073239416,0.007867357,3
A300F4-6_1PW056_DJ14_A7,1,0,0,0.068808125,0.007391349,3
A300F4-6_1PW056_DJ17_A7,1,0,0,0.068808125,0.007391349,3
A300F4-6_1PW056_DJ20_A7,1,0,0,0.068808125,0.007391349,3
A300F4-6_1PW056_DJ30_A7,1,0,0,0.068808125,0.007391349,3
A300F4-6_1PW056_DJ31_A7,1,0,0,0.068808125,0.007391349,3
A300F4-6_1PW056_DJ16_A7,12,0,0,0.021048639,0.002261039,3
A300F4-6_1PW056_DJ19_A7,12,0,0,0.021048639,0.002261039,3
A300F4-6_1PW056_DJ12_A8,5,0,0,0.01526334,0.001639584,3
A300F4-6_1PW056_DJ13_A8,5,0,0,0.01526334,0.001639584,3
A300F4-6_1PW056_DJ1_A2,7,0,0,0.013416969,0.001441247,3
A300F4-6_1PW056_DJ4_A2,7,0,0,0.013416969,0.001441247,3
A300F4-6_1PW056_DJ2_A3,9,0,0,0.015509524,0.001666028,3
A300F4-6_1PW056_DJ3_A8,11,0,0,0.038404534,0.004125404,3
A300F4-6_1PW056_DJ5_A8,11,0,0,0.038404534,0.004125404,3
A300F4-6_1PW056_DJ7_A8,11,0,0,0.038404534,0.004125404,3
A300F4-6_1PW056_DJ10_A7,0,0,0,0.033357785,0.003583284,3
A300F4-6_1PW056_DJ6_A7,0,0,0,0.033357785,0.003583284,3
A300F4-6_1PW056_DJ8_A7,0,0,0,0.033357785,0.003583284,3
A300F4-6_1PW056_DJ11_A7,13,0,0,0.007877854,0.000846237,3
A300F4-6_1PW056_DJ9_A7,13,0,0,0.007877854,0.000846237,3
A319-1_3IA006_SOP_DJ29_A4,2,0,0,0.043472637,0.004669819,1
A319-1_3IA006_SOP_DP15_A4,2,0,0,0.151710631,0.016296712,1
A319-1_3IA006_SOP_DJ18_A8,4,6.487322301,1.034679519,0,0,1
A319-1_3IA006_SOP_DJ26_A6,6,12.86619982,2.052062902,0,0,1
A319-1_3IA006_SOP_DJ22_A6,6,0,0,0.195183268,0.020966531,1
A319-1_3IA006_SOP_DJ26_A6,6,0,0,0.195183268,0.020966531,1
A319-1_3IA006_SOP_DJ27_A6,6,0,0,0.195183268,0.020966531,1
A319-1_3IA006_SOP_DJ98_A6,6,0,0,0.146387452,0.015724898,1
A319-1_3IA006_SOP_DP14_A5,8,4.031822397,0.6430456,0,0,1
