ACName,Runway ID,App Day,App Nght,Dep Day,Dep Nght,Stage Length
B717-2_4BR007_J7_v5_A2A,0,0.087496123,0.009114003,0,0,1
B717-2_4BR007_J8_v1_A2B,0,0.087496123,0.009114003,0,0,1
B717-2_4BR007_J6_v5_A2,0,0.11748835,0.012028634,0,0,1
B717-2_4BR007_J7_v5_A2A,0,0,0,0.00827502,0.001562292,1
B717-2_4BR007_J8_v1_A2B,0,0,0,0.00827502,0.001562292,1
B717-2_4BR007_J9_v5_A2,0,0,0,0.010343775,0.002063824,1
B717-2_4BR007_J6_v5_A2,0,0,0,0.014481285,0.002840531,1
B717-2_4BR007_J7_v5_A2A,0,0,0,0.066696896,0.01259212,2
B717-2_4BR007_J8_v1_A2B,0,0,0,0.066696896,0.01259212,2
B717-2_4BR007_J9_v5_A2,0,0,0,0.08337112,0.016634476,2
B717-2_4BR007_J6_v5_A2,0,0,0,0.116719567,0.022894763,2
B717-2_4BR007_J7_v5_A2A,0,0,0,8.27E-05,1.56E-05,3
B717-2_4BR007_J8_v1_A2B,0,0,0,8.27E-05,1.56E-05,3
B717-2_4BR007_J9_v5_A2,0,0,0,0.000103411,2.06E-05,3
B717-2_4BR007_J6_v5_A2,0,0,0,0.000144775,2.84E-05,3
B717-2_4BR007_J16_A6A,2,0.067426136,0.006800804,0,0,1
B717-2_4BR007_J17_v2_A6B,2,0.067426136,0.006800804,0,0,1
B717-2_4BR007_J15_v1_A6,2,0.090427694,0.009275927,0,0,1
B717-2_4BR007_J16_A6A,2,0,0,0.006872864,0.001309307,1
B717-2_4BR007_J17_v2_A6B,2,0,0,0.009631204,0.001895167,1
B717-2_4BR007_J15_v1_A6,2,0,0,0.011056346,0.002117084,1
B717-2_4BR007_J16_A6A,2,0,0,0.055395477,0.010553055,2
B717-2_4BR007_J17_v2_A6B,2,0,0,0.077627776,0.0152751,2
B717-2_4BR007_J15_v1_A6,2,0,0,0.089114463,0.017063753,2
B717-2_4BR007_J16_A6A,2,0,0,6.87E-05,1.31E-05,3
B717-2_4BR007_J17_v2_A6B,2,0,0,9.63E-05,1.89E-05,3
B717-2_4BR007_J15_v1_A6,2,0,0,0.000110535,2.12E-05,3
B717-2_4BR007_J11_v1_A3A,4,0.013304823,0.001295391,0,0,1
B717-2_4BR007_J12_v4_A3B,4,0.013304823,0.001295391,0,0,1
B717-2_4BR007_J10_v1_A3,4,0.017814932,0.001596107,0,0,1
B717-2_4BR007_J10_v1_A3,4,0,0,0.003447925,0.000670188,1
B717-2_4BR007_J13_v1_A3,4,0,0,0.003447925,0.000670188,1
B717-2_4BR007_J11_v1_A3A,4,0,0,0.005171888,0.000945364,1
B717-2_4BR007_J12_v4_A3B,4,0,0,0.022457485,0.004376194,1
B717-2_4BR007_J10_v1_A3,4,0,0,0.027790373,0.005401733,2
B717-2_4BR007_J13_v1_A3,4,0,0,0.027790373,0.005401733,2
B717-2_4BR007_J11_v1_A3A,4,0,0,0.04168556,0.007619663,2
B717-2_4BR007_J12_v4_A3B,4,0,0,0.181007964,0.035272244,2
B717-2_4BR007_J10_v1_A3,4,0,0,3.45E-05,6.70E-06,3
B717-2_4BR007_J13_v1_A3,4,0,0,3.45E-05,6.70E-06,3
B717-2_4BR007_J11_v1_A3A,4,0,0,5.17E-05,9.45E-06,3
B717-2_4BR007_J12_v4_A3B,4,0,0,0.000224517,4.38E-05,3
B717-2_4BR007_J2_v4_A1A,1,0.209720088,0.021720937,0,0,1
B717-2_4BR007_J3_v4_A1B,1,0.209720088,0.021720937,0,0,1
B717-2_4BR007_J1_v4_A1,1,0.280077795,0.029123173,0,0,1
B717-2_4BR007_J3_v4_A1B,1,0,0,0.016090317,0.003146776,1
B717-2_4BR007_J1_v4_A1,1,0,0,0.028158054,0.005432516,1
B717-2_4BR007_J2_v4_A1A,1,0,0,0.036203213,0.006994808,1
B717-2_4BR007_J3_v4_A1B,1,0,0,0.129688408,0.025363104,2
B717-2_4BR007_J1_v4_A1,1,0,0,0.226954714,0.043786234,2
B717-2_4BR007_J2_v4_A1A,1,0,0,0.291798918,0.056378353,2
B717-2_4BR007_J3_v4_A1B,1,0,0,0.000160861,3.15E-05,3
B717-2_4BR007_J1_v4_A1,1,0,0,0.000281508,5.43E-05,3
B717-2_4BR007_J2_v4_A1A,1,0,0,0.000361938,6.99E-05,3
B717-2_4BR007_J4A_v5_A5A,3,0.230466591,0.02361776,0,0,1
B717-2_4BR007_J5_v2_A5B,3,0.230466591,0.02361776,0,0,1
B717-2_4BR007_J4_v3_A5,3,0.307138451,0.03129758,0,0,1
B717-2_4BR007_J4_v3_A5,3,0,0,0.011056346,0.002117084,1
B717-2_4BR007_J4A_v5_A5A,3,0,0,0.011401139,0.002174782,1
B717-2_4BR007_J5_v2_A5B,3,0,0,0.012044751,0.00231237,1
B717-2_4BR007_J4_v3_A5,3,0,0,0.089114463,0.017063753,2
B717-2_4BR007_J4A_v5_A5A,3,0,0,0.091893501,0.017528803,2
B717-2_4BR007_J5_v2_A5B,3,0,0,0.097081037,0.018637768,2
B717-2_4BR007_J4_v3_A5,3,0,0,0.000110535,2.12E-05,3
B717-2_4BR007_J4A_v5_A5A,3,0,0,0.000113982,2.17E-05,3
