ACName,Runway ID,App Day,App Nght,Dep Day,Dep Nght,Stage Length
B717-2_4BR007_J7_A2A,0,0.110469064,0.011506971,0,0,1
B717-2_4BR007_J8_A2B,0,0.110469064,0.011506971,0,0,1
B717-2_4BR007_J6_A2,0,0.148336037,0.015186867,0,0,1
B717-2_4BR007_J7_A2A,0,0,0,0.010447705,0.001972487,1
B717-2_4BR007_J8_A2B,0,0,0,0.010447705,0.001972487,1
B717-2_4BR007_J9_A2,0,0,0,0.013059632,0.002605701,1
B717-2_4BR007_J6_A2,0,0,0,0.018283484,0.00358634,1
B717-2_4BR007_J7_A2A,0,0,0,0.084208802,0.015898301,2
B717-2_4BR007_J8_A2B,0,0,0,0.084208802,0.015898301,2
B717-2_4BR007_J9_A2,0,0,0,0.105261003,0.021002016,2
B717-2_4BR007_J6_A2,0,0,0,0.147365402,0.028906001,2
B717-2_4BR007_J7_A2A,0,0,0,1.04E-04,1.97E-05,3
B717-2_4BR007_J8_A2B,0,0,0,1.04E-04,1.97E-05,3
B717-2_4BR007_J9_A2,0,0,0,0.000130563,2.60E-05,3
B717-2_4BR007_J6_A2,0,0,0,0.000182787,3.59E-05,3
B717-2_4BR007_J16_A6A,2,0.085129511,0.00858642,0,0,1
B717-2_4BR007_J17_A6B,2,0.085129511,0.00858642,0,0,1
B717-2_4BR007_J15_A6,2,0.114170347,0.01171141,0,0,1
B717-2_4BR007_J16_A6A,2,0,0,0.0086774,0.001653078,1
B717-2_4BR007_J17_A6B,2,0,0,0.012159968,0.002392761,1
B717-2_4BR007_J15_A6,2,0,0,0.013959295,0.002672945,1
B717-2_4BR007_J16_A6A,2,0,0,0.069940088,0.01332386,2
B717-2_4BR007_J17_A6B,2,0,0,0.098009689,0.019285723,2
B717-2_4BR007_J15_A6,2,0,0,0.112512315,0.021544004,2
B717-2_4BR007_J16_A6A,2,0,0,8.67E-05,1.65E-05,3
B717-2_4BR007_J17_A6B,2,0,0,1.22E-04,2.39E-05,3
B717-2_4BR007_J15_A6,2,0,0,0.000139557,2.68E-05,3
B717-2_4BR007_J11_A3A,4,0.016798131,0.001635508,0,0,1
B717-2_4BR007_J12_A3B,4,0.016798131,0.001635508,0,0,1
B717-2_4BR007_J10_A3,4,0.022492412,0.00201518,0,0,1
B717-2_4BR007_J10_A3,4,0,0,0.004353211,0.000846152,1
B717-2_4BR007_J13_A3,4,0,0,0.004353211,0.000846152,1
B717-2_4BR007_J11_A3A,4,0,0,0.006529817,0.001193578,1
B717-2_4BR007_J12_A3B,4,0,0,0.028353912,0.005525205,1
B717-2_4BR007_J10_A3,4,0,0,0.035087,0.00682001,2
B717-2_4BR007_J13_A3,4,0,0,0.035087,0.00682001,2
B717-2_4BR007_J11_A3A,4,0,0,0.052630501,0.009620278,2
B717-2_4BR007_J12_A3B,4,0,0,0.228533331,0.044533308,2
B717-2_4BR007_J10_A3,4,0,0,4.36E-05,8.46E-06,3
B717-2_4BR007_J13_A3,4,0,0,4.36E-05,8.46E-06,3
B717-2_4BR007_J11_A3A,4,0,0,6.53E-05,1.19E-05,3
B717-2_4BR007_J12_A3B,4,0,0,0.000283466,5.53E-05,3
B717-2_4BR007_J2_A1A,1,0.264784097,0.027423976,0,0,1
B717-2_4BR007_J3_A1B,1,0.264784097,0.027423976,0,0,1
B717-2_4BR007_J1_A1,1,0.353614891,0.03676974,0,0,1
B717-2_4BR007_J3_A1B,1,0,0,0.020314983,0.003972992,1
B717-2_4BR007_J1_A1,1,0,0,0.03555122,0.006858875,1
B717-2_4BR007_J2_A1A,1,0,0,0.045708712,0.008831362,1
B717-2_4BR007_J3_A1B,1,0,0,0.163739336,0.032022429,2
B717-2_4BR007_J1_A1,1,0,0,0.286543838,0.055282727,2
B717-2_4BR007_J2_A1A,1,0,0,0.368413506,0.071181027,2
B717-2_4BR007_J3_A1B,1,0,0,0.000203097,3.98E-05,3
B717-2_4BR007_J1_A1,1,0,0,0.000355421,6.86E-05,3
B717-2_4BR007_J2_A1A,1,0,0,0.000456968,8.83E-05,3
B717-2_4BR007_J4A_A5A,3,0.290977792,0.029818828,0,0,1
B717-2_4BR007_J5_A5B,3,0.290977792,0.029818828,0,0,1
B717-2_4BR007_J4_A5,3,0.38778058,0.039515058,0,0,1
B717-2_4BR007_J4_A5,3,0,0,0.013959295,0.002672945,1
B717-2_4BR007_J4A_A5A,3,0,0,0.014394617,0.002745792,1
B717-2_4BR007_J5_A5B,3,0,0,0.015207215,0.002919505,1
B717-2_4BR007_J4_A5,3,0,0,0.112512315,0.021544004,2
B717-2_4BR007_J4A_A5A,3,0,0,0.116021016,0.022131157,2
B717-2_4BR007_J5_A5B,3,0,0,0.122570589,0.023531292,2
B717-2_4BR007_J4_A5,3,0,0,0.000139557,2.68E-05,3
B717-2_4BR007_J4A_A5A,3,0,0,0.000143909,2.74E-05,3
B717-2_4BR007_J5_A5B,3,0,0,0.000152032,2.92E-05,3
B717-2_4BR007_J14_A4A,5,0.085129511,0.00858642,0,0,1
B717-2_4BR007_J14_A4B,5,0.085129511,0.00858642,0,0,1
B717-2_4BR007_J14_A4,5,0.114170347,0.01171141,0,0,1
B717-2_4BR007_J14_A4,5,0,0,0.01448168,0.002779414,1
B717-2_4BR007_J14_A4,5,0,0,0.116722755,0.022402151,2
B717-2_4BR007_J14_A4,5,0,0,0.000144779,2.78E-05,3
B727-2_1PW009_FDX_J7_A2A,0,0.005356222,0.001236031,0,0,1
B727-2_1PW009_FDX_J8_A2B,0,0.005356222,0.001236031,0,0,1
B727-2_1PW009_FDX_J6_A2,0,0.007192246,0.00163131,0,0,1
B727-2_1PW009_FDX_J7_A2A,0,0,0,0.0004178,7.89E-05,1
B727-2_1PW009_FDX_J8_A2B,0,0,0,0.0004178,7.89E-05,1
B727-2_1PW009_FDX_J9_A2,0,0,0,0.00052225,1.04E-04,1
B727-2_1PW009_FDX_J6_A2,0,0,0,0.000731149,0.000143417,1
B727-2_1PW009_FDX_J7_A2A,0,0,0,0.004491616,0.000847999,2
B727-2_1PW009_FDX_J8_A2B,0,0,0,0.004491616,0.000847999,2
B727-2_1PW009_FDX_J9_A2,0,0,0,0.00561452,0.001120227,2
B727-2_1PW009_FDX_J6_A2,0,0,0,0.007860328,0.001541819,2
B727-2_1PW009_FDX_J7_A2A,0,0,0,0.000522288,9.86E-05,3
B727-2_1PW009_FDX_J8_A2B,0,0,0,0.000522288,9.86E-05,3
B727-2_1PW009_FDX_J9_A2,0,0,0,0.000652859,0.000130261,3
B727-2_1PW009_FDX_J6_A2,0,0,0,0.000914003,0.000179283,3
B727-2_1PW009_FDX_J16_A6A,2,0.004127604,0.000922317,0,0,1
B727-2_1PW009_FDX_J17_A6B,2,0.004127604,0.000922317,0,0,1
B727-2_1PW009_FDX_J15_A6,2,0.005535683,0.00125799,0,0,1
B727-2_1PW009_FDX_J16_A6A,2,0,0,0.000347006,6.62E-05,1
B727-2_1PW009_FDX_J17_A6B,2,0,0,0.000486272,9.57E-05,1
B727-2_1PW009_FDX_J15_A6,2,0,0,0.000558227,1.07E-04,1
B727-2_1PW009_FDX_J16_A6A,2,0,0,0.003730536,0.000710682,2
B727-2_1PW009_FDX_J17_A6B,2,0,0,0.005227743,0.001028682,2
B727-2_1PW009_FDX_J15_A6,2,0,0,0.006001298,0.001149136,2
B727-2_1PW009_FDX_J16_A6A,2,0,0,0.000433789,8.27E-05,3
B727-2_1PW009_FDX_J17_A6B,2,0,0,0.000607886,1.20E-04,3
B727-2_1PW009_FDX_J15_A6,2,0,0,0.000697834,0.000133622,3
B727-2_1PW009_FDX_J11_A3A,4,0.000814477,0.00017568,0,0,1
B727-2_1PW009_FDX_J12_A3B,4,0.000814477,0.00017568,0,0,1
B727-2_1PW009_FDX_J10_A3,4,0.001090571,0.000216462,0,0,1
B727-2_1PW009_FDX_J10_A3,4,0,0,0.000174083,3.38E-05,1
B727-2_1PW009_FDX_J13_A3,4,0,0,0.000174083,3.38E-05,1
B727-2_1PW009_FDX_J11_A3A,4,0,0,0.000261125,4.77E-05,1
B727-2_1PW009_FDX_J12_A3B,4,0,0,0.001133863,0.00022095,1
B727-2_1PW009_FDX_J10_A3,4,0,0,0.001871507,0.000363772,2
B727-2_1PW009_FDX_J13_A3,4,0,0,0.001871507,0.000363772,2
B727-2_1PW009_FDX_J11_A3A,4,0,0,0.002807259,0.000513136,2
B727-2_1PW009_FDX_J12_A3B,4,0,0,0.012189747,0.002375363,2
B727-2_1PW009_FDX_J10_A3,4,0,0,0.00021762,4.23E-05,3
B727-2_1PW009_FDX_J13_A3,4,0,0,0.00021762,4.23E-05,3
B727-2_1PW009_FDX_J11_A3A,4,0,0,0.00032643,5.97E-05,3
B727-2_1PW009_FDX_J12_A3B,4,0,0,0.001417431,0.000276209,3
B727-2_1PW009_FDX_J2_A1A,1,0.012838367,0.00294577,0,0,1
B727-2_1PW009_FDX_J3_A1B,1,0.012838367,0.00294577,0,0,1
B727-2_1PW009_FDX_J1_A1,1,0.017145432,0.003949652,0,0,1
B727-2_1PW009_FDX_J3_A1B,1,0,0,0.000812389,0.000158878,1
B727-2_1PW009_FDX_J1_A1,1,0,0,0.00142168,0.000274283,1
B727-2_1PW009_FDX_J2_A1A,1,0,0,0.001827874,0.000353163,1
B727-2_1PW009_FDX_J3_A1B,1,0,0,0.008733698,0.001708045,2
B727-2_1PW009_FDX_J1_A1,1,0,0,0.015283971,0.002948727,2
B727-2_1PW009_FDX_J2_A1A,1,0,0,0.01965082,0.003796727,2
B727-2_1PW009_FDX_J3_A1B,1,0,0,0.00101556,0.000198613,3
B727-2_1PW009_FDX_J1_A1,1,0,0,0.001777231,0.00034288,3
B727-2_1PW009_FDX_J2_A1A,1,0,0,0.002285011,0.000441486,3
B727-2_1PW009_FDX_J4A_A5A,3,0.0141084,0.003203014,0,0,1
B727-2_1PW009_FDX_J5_A5B,3,0.0141084,0.003203014,0,0,1
B727-2_1PW009_FDX_J4_A5,3,0.018801996,0.004244543,0,0,1
B727-2_1PW009_FDX_J4_A5,3,0,0,0.000558227,1.07E-04,1
B727-2_1PW009_FDX_J4A_A5A,3,0,0,0.000575635,1.10E-04,1
B727-2_1PW009_FDX_J5_A5B,3,0,0,0.000608131,1.17E-04,1
B727-2_1PW009_FDX_J4_A5,3,0,0,0.006001298,0.001149136,2
B727-2_1PW009_FDX_J4A_A5A,3,0,0,0.006188448,0.001180454,2
B727-2_1PW009_FDX_J5_A5B,3,0,0,0.006537797,0.001255137,2
B727-2_1PW009_FDX_J4_A5,3,0,0,0.000697834,0.000133622,3
B727-2_1PW009_FDX_J4A_A5A,3,0,0,0.000719597,0.000137264,3
B727-2_1PW009_FDX_J5_A5B,3,0,0,0.000760219,0.000145948,3
B727-2_1PW009_FDX_J14_A4A,5,0.004127604,0.000922317,0,0,1
B727-2_1PW009_FDX_J14_A4B,5,0.004127604,0.000922317,0,0,1
B727-2_1PW009_FDX_J14_A4,5,0.005535683,0.00125799,0,0,1
B727-2_1PW009_FDX_J14_A4,5,0,0,0.000579117,1.11E-04,1
B727-2_1PW009_FDX_J14_A4,5,0,0,0.006225879,0.001194909,2
B727-2_1PW009_FDX_J14_A4,5,0,0,0.000723949,0.000138945,3
B737-3_1CM004_TFAP_J7_A2A,0,0.652155579,0.099495367,0,0,1
B737-3_1CM004_TFAP_J8_A2B,0,0.652155579,0.099495367,0,0,1
B737-3_1CM004_TFAP_J6_A2,0,0.875703753,0.131313681,0,0,1
B737-3_1CM004_TFAP_J7_A2A,0,0,0,0.29567116,0.055821588,1
B737-3_1CM004_TFAP_J8_A2B,0,0,0,0.29567116,0.055821588,1
B737-3_1CM004_TFAP_J9_A2,0,0,0,0.369588951,0.073741585,1
B737-3_1CM004_TFAP_J6_A2,0,0,0,0.517424531,0.101493795,1
B737-3_1CM004_TFAP_J7_A2A,0,0,0,0.230372687,0.043493484,2
B737-3_1CM004_TFAP_J8_A2B,0,0,0,0.230372687,0.043493484,2
B737-3_1CM004_TFAP_J9_A2,0,0,0,0.287965858,0.057455881,2
B737-3_1CM004_TFAP_J6_A2,0,0,0,0.403152201,0.079079063,2
B737-3_1CM004_TFAP_J7_A2A,0,0,0,0.057775863,0.010907863,3
B737-3_1CM004_TFAP_J8_A2B,0,0,0,0.057775863,0.010907863,3
B737-3_1CM004_TFAP_J9_A2,0,0,0,0.07221983,0.014409535,3
B737-3_1CM004_TFAP_J6_A2,0,0,0,0.101107761,0.019832477,3
B737-3_1CM004_TFAP_J16_A6A,2,0.502563191,0.074242735,0,0,1
B737-3_1CM004_TFAP_J17_A6B,2,0.502563191,0.074242735,0,0,1
B737-3_1CM004_TFAP_J15_A6,2,0.674006151,0.10126305,0,0,1
B737-3_1CM004_TFAP_J16_A6A,2,0,0,0.245571324,0.046782296,1
B737-3_1CM004_TFAP_J17_A6B,2,0,0,0.344128378,0.067715391,1
B737-3_1CM004_TFAP_J15_A6,2,0,0,0.395049523,0.075644594,1
