ACName,Runway ID,App Day,App Nght,Dep Day,Dep Nght,Stage Length
B717-2_4BR007_J7_A2A,0,0.112723535,0.011741808,0,0,1
B717-2_4BR007_J8_A2B,0,0.112723535,0.011741808,0,0,1
B717-2_4BR007_J6_A2,0,0.151363303,0.015496803,0,0,1
B717-2_4BR007_J7_A2A,0,0,0,0.010660924,0.002012741,1
B717-2_4BR007_J8_A2B,0,0,0,0.010660924,0.002012741,1
B717-2_4BR007_J9_A2,0,0,0,0.013326155,0.002658878,1
B717-2_4BR007_J6_A2,0,0,0,0.018656617,0.00365953,1
B717-2_4BR007_J7_A2A,0,0,0,0.085927349,0.016222756,2
B717-2_4BR007_J8_A2B,0,0,0,0.085927349,0.016222756,2
B717-2_4BR007_J9_A2,0,0,0,0.107409186,0.021430629,2
B717-2_4BR007_J6_A2,0,0,0,0.150372859,0.02949592,2
B717-2_4BR007_J7_A2A,0,0,0,1.07E-04,2.01E-05,3
B717-2_4BR007_J8_A2B,0,0,0,1.07E-04,2.01E-05,3
B717-2_4BR007_J9_A2,0,0,0,0.000133227,2.65E-05,3
B717-2_4BR007_J6_A2,0,0,0,0.000186517,3.66E-05,3
B717-2_4BR007_J16_A6A,2,0.086866848,0.008761653,0,0,1
B717-2_4BR007_J17_A6B,2,0.086866848,0.008761653,0,0,1
B717-2_4BR007_J15_A6,2,0.116500354,0.011950418,0,0,1
B717-2_4BR007_J16_A6A,2,0,0,0.00885449,0.001686814,1
B717-2_4BR007_J17_A6B,2,0,0,0.012408131,0.002441593,1
B717-2_4BR007_J15_A6,2,0,0,0.014244179,0.002727494,1
B717-2_4BR007_J16_A6A,2,0,0,0.071367436,0.013595776,2
B717-2_4BR007_J17_A6B,2,0,0,0.100009887,0.019679309,2
B717-2_4BR007_J15_A6,2,0,0,0.114808485,0.021983678,2
B717-2_4BR007_J16_A6A,2,0,0,8.85E-05,1.69E-05,3
B717-2_4BR007_J17_A6B,2,0,0,1.24E-04,2.43E-05,3
B717-2_4BR007_J15_A6,2,0,0,0.000142405,2.73E-05,3
