X (nmi), Y(nmi),MCI_2010 POP,MCI_2010 HU
-6,-6,37.283,13.224
-5.92,-6,23.816,8.9654
-5.84,-6,26.318,10.947
-5.76,-6,21.04,8.5085
-5.68,-6,10.424,3.6328
-5.6,-6,4.2448,1.4792
-5.52,-6,0,0
-5.44,-6,0.76427,0.3222
-5.36,-6,5.1606,2.4161
-5.28,-6,10.198,4.2999
-5.2,-6,20.102,7.5137
-5.12,-6,18.627,7.3291
-5.04,-6,13.788,5.6023
-4.96,-6,18.128,6.8843
-4.88,-6,12.2,5.13
-4.8,-6,12.626,5.2336
-4.72,-6,12.212,5.1255
-4.64,-6,12.211,5.1252
-4.56,-6,12.211,5.1252
-4.48,-6,9.5269,4.1878
-4.4,-6,2.5431,1.7476
-4.32,-6,4.1984,2.6814
-4.24,-6,12.013,7.4895
-4.16,-6,12.022,6.2805
-4.08,-6,8.1293,4.154
-4,-6,5.4324,2.7545
-3.92,-6,5.4324,2.7545
-3.84,-6,26.265,10.46
-3.76,-6,20.939,8.206
-3.68,-6,15.009,5.8226
-3.6,-6,4.7548,1.7006
-3.52,-6,4.7548,1.7006
-3.44,-6,2.0303,0.73484
-3.36,-6,0.023408,0.023408
-3.28,-6,0.023408,0.023408
-3.2,-6,0.023408,0.023408
-3.12,-6,0.023369,0.023369
-3.04,-6,0.96893,0.4982
-2.96,-6,6.4573,2.9565
-2.88,-6,6.4603,2.9579
-2.8,-6,6.4603,2.9579
-2.72,-6,6.4603,2.9579
-2.64,-6,6.4603,2.9579
-2.56,-6,6.4603,2.9579
-2.48,-6,12.727,5.1961
-2.4,-6,37.978,13.744
-2.32,-6,23.602,8.156
-2.24,-6,7.1474,3.2429
-2.16,-6,7.4551,3.3556
-2.08,-6,13.977,5.7689
-2,-6,13.613,5.413
-1.92,-6,13.58,5.3809
-1.84,-6,12.24,5.0191
-1.76,-6,6.0129,2.7648
-1.68,-6,0.40947,0.18975
-1.6,-6,1.4838,0.66769
