X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,Longref,Latref,Rearth,rot
-1.522648214,-5.156699933,5.150056976,-1.544967612,-96.94878933,32.85323992,-0.091774785,-3.697243522,3.696811369,-0.107786695,-96.97761031,32.87717676,0.478083043,-3.019404469,3.02144673,0.465001511,-96.99100425,32.88671679,-1.693858201,0.573846316,3440.069517,1.566465311
-1.519992579,-5.154712308,5.148080872,-1.542303394,-96.94882852,32.8532843,-0.089626565,-3.69551614,3.695093308,-0.105631013,-96.97764439,32.87721267,0.477420304,-3.019479911,3.0215193,0.464338452,-96.99100281,32.88670574,,,,
-1.517376073,-5.152749436,5.14612935,-1.539678411,-96.94886722,32.85332802,-0.087638473,-3.693915361,3.693501154,-0.103636007,-96.97767596,32.8772459,0.476734933,-3.01969907,3.021735488,0.463652138,-96.99099852,32.88669431,,,,
-1.514798099,-5.150811317,5.144202415,-1.537092067,-96.94890544,32.85337109,-0.085794017,-3.692427842,3.692021637,-0.101785125,-96.97770531,32.87727672,0.476033052,-3.020051196,3.022084571,0.462948739,-96.9909916,32.8866826,,,,
-1.512258062,-5.148897954,5.14230007,-1.534543768,-96.94894317,32.85341354,-0.084076702,-3.691040244,3.69064149,-0.100061817,-96.97773268,32.87730543,0.475320784,-3.02052554,3.022555826,0.462234423,-96.99098225,32.8866707,,,,
-1.509755367,-5.147009348,5.140422321,-1.532032917,-96.94898041,32.85345535,-0.082470037,-3.689739224,3.689347441,-0.098449532,-96.97775834,32.87733228,0.474604251,-3.021111352,3.02313853,0.46151536,-96.99097069,32.88665872,,,,
-1.507289418,-5.1451455,5.138569171,-1.529558919,-96.94901716,32.85349656,-0.080957526,-3.688511442,3.688126221,-0.096931718,-96.97778256,32.87735756,0.473889575,-3.021797883,3.023821959,0.460797717,-96.99095714,32.88664677,,,,
-1.504859621,-5.143306412,5.136740623,-1.527121179,-96.94905342,32.85353716,-0.079522678,-3.687343557,3.686964562,-0.095491825,-96.9778056,32.87738154,0.473182879,-3.022574384,3.024595392,0.460087665,-96.9909418,32.88663495,,,,
-1.502465379,-5.141492086,5.134936684,-1.524719101,-96.9490892,32.85357717,-0.078148998,-3.686222229,3.685849193,-0.094113302,-96.97782772,32.8774045,0.472490285,-3.023430105,3.025448105,0.459391371,-96.99092489,32.88662335,,,,
-1.500106098,-5.139702524,5.133157357,-1.522352091,-96.94912449,32.85361659,-0.076819994,-3.685134115,3.684766845,-0.092779598,-96.97784918,32.87742671,0.471817916,-3.024354296,3.026369375,0.458715006,-96.99090662,32.88661208,,,,
-1.497781181,-5.137937727,5.131402645,-1.520019554,-96.94915929,32.85365544,-0.075519173,-3.684065875,3.683704249,-0.091474162,-96.97787026,32.87744846,0.471171893,-3.025336208,3.02734848,0.458064736,-96.9908872,32.88660125,,,,
-1.495490035,-5.136197696,5.129672554,-1.517720893,-96.9491936,32.85369373,-0.07423004,-3.683004168,3.682648135,-0.090180444,-96.9778912,32.87747,0.47055834,-3.026365091,3.028374696,0.457446732,-96.99086685,32.88659096,,,,
-1.493232063,-5.134482434,5.127967087,-1.515455513,-96.94922742,32.85373146,-0.072936104,-3.681935653,3.681585234,-0.088881891,-96.97791228,32.87749163,0.469983378,-3.027430196,3.029437301,0.456867163,-96.99084578,32.88658131,,,,
-1.491006671,-5.132791942,5.126286249,-1.51322282,-96.94926076,32.85376864,-0.07162087,-3.680846989,3.680502277,-0.087561955,-96.97793376,32.87751362,0.469453129,-3.028520773,3.030525571,0.456332196,-96.99082419,32.8865724,,,,
-1.488813262,-5.131126222,5.124630044,-1.511022218,-96.9492936,32.8538053,-0.070267845,-3.679724835,3.679385993,-0.086204083,-96.9779559,32.87753623,0.468973717,-3.029626072,3.031628784,0.455848001,-96.99080231,32.88656433,,,,
-1.486651242,-5.129485275,5.122998476,-1.508853111,-96.94932596,32.85384142,-0.068860536,-3.67855585,3.678223114,-0.084791724,-96.97797896,32.87755975,0.468551264,-3.030735345,3.032736217,0.455420748,-96.99078035,32.88655722,,,,
