Longitude,Latitude
-94.701478,39.306873
-94.74094692,39.17326225
-94.74094692,39.17326225
-94.74094761,39.17325992
-94.7409483,39.17325759
-94.74094899,39.17325526
-94.74094968,39.17325292
-94.74095037,39.17325059
-94.74095106,39.17324826
-94.74095175,39.17324593
-94.74095245,39.1732436
-94.74095314,39.17324127
-94.74095383,39.17323894
-94.74095453,39.17323661
-94.74095522,39.17323427
-94.74095592,39.17323194
-94.74095661,39.17322961
-94.74095731,39.17322728
-94.74095801,39.17322495
-94.7409587,39.17322262
-94.7409594,39.17322029
-94.7409601,39.17321796
-94.7409608,39.17321563
-94.7409615,39.1732133
-94.7409622,39.17321097
-94.7409629,39.17320864
-94.7409636,39.17320631
-94.7409643,39.17320398
-94.74096501,39.17320165
-94.74096571,39.17319932
-94.74096641,39.17319699
-94.74096712,39.17319466
-94.74096782,39.17319234
-94.74096852,39.17319001
-94.74096923,39.17318768
-94.74096994,39.17318535
-94.74097064,39.17318302
-94.74097135,39.17318069
-94.74097206,39.17317836
-94.74097277,39.17317603
-94.74097347,39.17317371
-94.74097418,39.17317138
-94.74097489,39.17316905
-94.7409756,39.17316672
-94.74097631,39.17316439
-94.74097702,39.17316206
-94.74097774,39.17315974
-94.74097845,39.17315741
-94.74097916,39.17315508
-94.74097987,39.17315275
-94.74098059,39.17315043
-94.7409813,39.1731481
-94.74098202,39.17314577
-94.74098273,39.17314344
-94.74098345,39.17314112
-94.74098417,39.17313879
-94.74098488,39.17313646
-94.7409856,39.17313414
-94.74098632,39.17313181
-94.74098704,39.17312948
-94.74098776,39.17312716
-94.74098848,39.17312483
-94.7409892,39.1731225
-94.74098992,39.17312018
-94.74099064,39.17311785
-94.74099136,39.17311553
-94.74099208,39.1731132
-94.7409928,39.17311087
-94.74099353,39.17310855
-94.74099425,39.17310622
-94.74099498,39.1731039
-94.7409957,39.17310157
-94.74099643,39.17309925
-94.74099715,39.17309692
-94.74099788,39.1730946
-94.7409986,39.17309227
-94.74099933,39.17308995
-94.74100006,39.17308762
-94.74100079,39.1730853
-94.74100152,39.17308297
-94.74100225,39.17308065
-94.74100298,39.17307832
-94.74100371,39.173076
-94.74100444,39.17307368
-94.74100517,39.17307135
-94.7410059,39.17306903
-94.74100664,39.1730667
-94.74100737,39.17306438
-94.7410081,39.17306206
-94.74100884,39.17305973
-94.74100957,39.17305741
-94.74101031,39.17305508
-94.74101104,39.17305276
-94.74101178,39.17305044
-94.74101252,39.17304812
-94.74101325,39.17304579
-94.74101399,39.17304347
-94.74101473,39.17304115
-94.74101547,39.17303882
-94.74101621,39.1730365
-94.74101695,39.17303418
-94.74101769,39.17303186
-94.74101843,39.17302953
-94.74101917,39.17302721
-94.74101991,39.17302489
-94.74102066,39.17302257
-94.7410214,39.17302025
-94.74102214,39.17301792
-94.74102289,39.1730156
-94.74102363,39.17301328
-94.74102438,39.17301096
-94.74102512,39.17300864
-94.74102587,39.17300632
-94.74102662,39.17300399
-94.74102736,39.17300167
-94.74102811,39.17299935
-94.74102886,39.17299703
-94.74102961,39.17299471
-94.74103036,39.17299239
-94.74103111,39.17299007
-94.74103186,39.17298775
-94.74103261,39.17298543
-94.74103336,39.17298311
-94.74103411,39.17298079
-94.74103487,39.17297847
-94.74103562,39.17297615
-94.74103637,39.17297383
-94.74103713,39.17297151
-94.74103788,39.17296919
-94.74103864,39.17296687
-94.74103939,39.17296455
-94.74104015,39.17296223
-94.74104091,39.17295991
-94.74104166,39.17295759
-94.74104242,39.17295527
-94.74104318,39.17295295
-94.74104394,39.17295063
-94.7410447,39.17294832
-94.74104546,39.172946
-94.74104622,39.17294368
-94.74104698,39.17294136
-94.74104774,39.17293904
-94.7410485,39.17293672
-94.74104927,39.1729344
-94.74105003,39.17293209
-94.74105079,39.17292977
-94.74105156,39.17292745
-94.74105232,39.17292513
-94.74105309,39.17292282
-94.74105385,39.1729205
-94.74105462,39.17291818
-94.74105538,39.17291586
-94.74105615,39.17291355
-94.74105692,39.17291123
-94.74105769,39.17290891
-94.74105846,39.17290659
-94.74105923,39.17290428
-94.74106,39.17290196
-94.74106077,39.17289964
-94.74106154,39.17289733
-94.74106231,39.17289501
-94.74106308,39.1728927
-94.74106385,39.17289038
-94.74106463,39.17288806
-94.7410654,39.17288575
-94.74106617,39.17288343
-94.74106695,39.17288112
-94.74106772,39.1728788
-94.7410685,39.17287648
-94.74106928,39.17287417
-94.74107005,39.17287185
-94.74107083,39.17286954
-94.74107161,39.17286722
-94.74107239,39.17286491
-94.74107316,39.17286259
-94.74107394,39.17286028
-94.74107472,39.17285796
-94.7410755,39.17285565
-94.74107628,39.17285333
-94.74107707,39.17285102
-94.74107785,39.17284871
-94.74107863,39.17284639
-94.74107941,39.17284408
-94.7410802,39.17284176
-94.74108098,39.17283945
-94.74108176,39.17283714
-94.74108255,39.17283482
-94.74108334,39.17283251
