Longitude,Latitude
-94.708997,39.281455
-94.66954241,39.41506575
-94.66954241,39.41506575
-94.66954172,39.41506808
-94.66954103,39.41507041
-94.66954034,39.41507274
-94.66953966,39.41507508
-94.66953897,39.41507741
-94.66953829,39.41507974
-94.6695376,39.41508207
-94.66953692,39.41508441
-94.66953623,39.41508674
-94.66953555,39.41508907
-94.66953487,39.41509141
-94.66953418,39.41509374
-94.6695335,39.41509607
-94.66953282,39.41509841
-94.66953214,39.41510074
-94.66953146,39.41510307
-94.66953078,39.41510541
-94.6695301,39.41510774
-94.66952942,39.41511007
-94.66952874,39.41511241
-94.66952806,39.41511474
-94.66952739,39.41511707
-94.66952671,39.41511941
-94.66952603,39.41512174
-94.66952536,39.41512408
-94.66952468,39.41512641
-94.66952401,39.41512874
-94.66952333,39.41513108
-94.66952266,39.41513341
-94.66952199,39.41513575
-94.66952131,39.41513808
-94.66952064,39.41514042
-94.66951997,39.41514275
-94.6695193,39.41514509
-94.66951863,39.41514742
-94.66951796,39.41514976
-94.66951729,39.41515209
-94.66951662,39.41515443
-94.66951595,39.41515676
-94.66951528,39.4151591
-94.66951462,39.41516144
-94.66951395,39.41516377
-94.66951328,39.41516611
-94.66951262,39.41516844
-94.66951195,39.41517078
-94.66951129,39.41517312
-94.66951062,39.41517545
-94.66950996,39.41517779
-94.6695093,39.41518012
-94.66950864,39.41518246
-94.66950797,39.4151848
-94.66950731,39.41518713
-94.66950665,39.41518947
-94.66950599,39.41519181
-94.66950533,39.41519414
-94.66950467,39.41519648
-94.66950401,39.41519882
-94.66950335,39.41520116
-94.6695027,39.41520349
-94.66950204,39.41520583
-94.66950138,39.41520817
-94.66950073,39.41521051
-94.66950007,39.41521284
-94.66949941,39.41521518
-94.66949876,39.41521752
-94.66949811,39.41521986
-94.66949745,39.41522219
-94.6694968,39.41522453
-94.66949615,39.41522687
-94.66949549,39.41522921
-94.66949484,39.41523155
-94.66949419,39.41523389
-94.66949354,39.41523622
-94.66949289,39.41523856
-94.66949224,39.4152409
-94.66949159,39.41524324
-94.66949095,39.41524558
-94.6694903,39.41524792
-94.66948965,39.41525026
-94.669489,39.4152526
-94.66948836,39.41525494
-94.66948771,39.41525727
-94.66948707,39.41525961
-94.66948642,39.41526195
-94.66948578,39.41526429
-94.66948513,39.41526663
-94.66948449,39.41526897
-94.66948385,39.41527131
-94.66948321,39.41527365
-94.66948257,39.41527599
-94.66948192,39.41527833
-94.66948128,39.41528067
-94.66948064,39.41528301
-94.66948,39.41528535
-94.66947937,39.41528769
-94.66947873,39.41529003
-94.66947809,39.41529237
-94.66947745,39.41529472
-94.66947682,39.41529706
-94.66947618,39.4152994
-94.66947554,39.41530174
-94.66947491,39.41530408
-94.66947427,39.41530642
-94.66947364,39.41530876
-94.66947301,39.4153111
-94.66947237,39.41531344
-94.66947174,39.41531579
-94.66947111,39.41531813
-94.66947048,39.41532047
-94.66946985,39.41532281
-94.66946922,39.41532515
-94.66946859,39.41532749
-94.66946796,39.41532984
-94.66946733,39.41533218
-94.6694667,39.41533452
-94.66946607,39.41533686
-94.66946545,39.4153392
-94.66946482,39.41534155
-94.66946419,39.41534389
-94.66946357,39.41534623
-94.66946294,39.41534857
-94.66946232,39.41535092
-94.66946169,39.41535326
-94.66946107,39.4153556
-94.66946045,39.41535795
-94.66945982,39.41536029
-94.6694592,39.41536263
-94.66945858,39.41536498
-94.66945796,39.41536732
-94.66945734,39.41536966
-94.66945672,39.41537201
-94.6694561,39.41537435
-94.66945548,39.41537669
-94.66945486,39.41537904
-94.66945425,39.41538138
-94.66945363,39.41538372
-94.66945301,39.41538607
-94.6694524,39.41538841
-94.66945178,39.41539076
-94.66945116,39.4153931
-94.66945055,39.41539544
-94.66944994,39.41539779
-94.66944932,39.41540013
-94.66944871,39.41540248
-94.6694481,39.41540482
-94.66944749,39.41540717
-94.66944687,39.41540951
-94.66944626,39.41541186
-94.66944565,39.4154142
-94.66944504,39.41541655
-94.66944443,39.41541889
-94.66944383,39.41542124
-94.66944322,39.41542358
