Longitude,Latitude
-94.729315,39.293337
-94.72079017,39.32220096
-94.72079017,39.32220096
-94.72078495,39.32221859
-94.72077971,39.32223621
-94.72077445,39.32225384
-94.72076917,39.32227145
-94.72076386,39.32228907
-94.72075854,39.32230668
-94.72075319,39.32232429
-94.72074782,39.32234189
-94.72074243,39.32235949
-94.72073702,39.32237708
-94.72073159,39.32239467
-94.72072614,39.32241226
-94.72072066,39.32242984
-94.72071516,39.32244742
-94.72070965,39.322465
-94.72070411,39.32248257
-94.72069854,39.32250014
-94.72069296,39.3225177
-94.72068736,39.32253526
-94.72068173,39.32255281
-94.72067609,39.32257036
-94.72067042,39.32258791
-94.72066473,39.32260545
-94.72065902,39.32262299
-94.72065329,39.32264053
-94.72064753,39.32265805
-94.72064176,39.32267558
-94.72063596,39.3226931
-94.72063014,39.32271062
-94.72062431,39.32272813
-94.72061845,39.32274564
-94.72061256,39.32276315
-94.72060666,39.32278065
-94.72060074,39.32279814
-94.72059479,39.32281563
-94.72058883,39.32283312
-94.72058284,39.3228506
-94.72057683,39.32286808
-94.7205708,39.32288555
-94.72056475,39.32290302
-94.72055867,39.32292049
-94.72055258,39.32293795
-94.72054646,39.32295541
-94.72054033,39.32297286
-94.72053417,39.32299031
-94.72052799,39.32300775
-94.72052179,39.32302519
-94.72051557,39.32304262
-94.72050932,39.32306005
-94.72050306,39.32307747
-94.72049677,39.32309489
-94.72049047,39.32311231
-94.72048414,39.32312972
-94.72047779,39.32314713
-94.72047142,39.32316453
-94.72046503,39.32318193
-94.72045861,39.32319932
-94.72045218,39.32321671
-94.72044573,39.32323409
-94.72043925,39.32325147
-94.72043275,39.32326884
-94.72042623,39.32328621
-94.72041969,39.32330357
-94.72041313,39.32332093
-94.72040655,39.32333829
-94.72039995,39.32335564
-94.72039332,39.32337298
-94.72038668,39.32339032
-94.72038001,39.32340766
-94.72037332,39.32342499
-94.72036662,39.32344231
-94.72035989,39.32345963
-94.72035314,39.32347695
-94.72034636,39.32349426
-94.72033957,39.32351156
-94.72033276,39.32352886
-94.72032592,39.32354616
-94.72031907,39.32356345
-94.72031219,39.32358074
-94.72030529,39.32359802
-94.72029837,39.32361529
-94.72029143,39.32363256
-94.72028447,39.32364983
-94.72027749,39.32366709
-94.72027048,39.32368434
-94.72026346,39.32370159
-94.72025641,39.32371884
-94.72024935,39.32373608
-94.72024226,39.32375331
-94.72023515,39.32377054
-94.72022802,39.32378777
-94.72022087,39.32380499
-94.7202137,39.3238222
-94.72020651,39.32383941
-94.72019929,39.32385661
-94.72019206,39.32387381
-94.7201848,39.323891
-94.72017753,39.32390819
-94.72017023,39.32392537
-94.72016291,39.32394255
-94.72015557,39.32395972
-94.72014821,39.32397689
-94.72014083,39.32399405
-94.72013343,39.3240112
-94.72012601,39.32402835
-94.72011857,39.3240455
-94.7201111,39.32406264
-94.72010362,39.32407977
-94.72009611,39.3240969
-94.72008858,39.32411402
-94.72008104,39.32413114
-94.72007347,39.32414825
-94.72006588,39.32416536
-94.72005827,39.32418246
-94.72005064,39.32419955
-94.72004299,39.32421664
-94.72003531,39.32423373
-94.72002762,39.32425081
-94.72001991,39.32426788
-94.72001217,39.32428495
-94.72000442,39.32430201
-94.71999664,39.32431906
-94.71998884,39.32433611
-94.71998102,39.32435316
-94.71997319,39.3243702
-94.71996533,39.32438723
-94.71995745,39.32440426
-94.71994954,39.32442128
-94.71994162,39.32443829
-94.71993368,39.3244553
-94.71992572,39.32447231
-94.71991773,39.32448931
-94.71990973,39.3245063
-94.7199017,39.32452329
-94.71989366,39.32454027
-94.71988559,39.32455724
-94.7198775,39.32457421
-94.7198694,39.32459117
-94.71986127,39.32460813
-94.71985312,39.32462508
-94.71984495,39.32464203
-94.71983676,39.32465897
-94.71982855,39.3246759
-94.71982031,39.32469283
-94.71981206,39.32470975
-94.71980379,39.32472667
-94.7197955,39.32474357
-94.71978718,39.32476048
-94.71977885,39.32477737
-94.71977049,39.32479427
-94.71976211,39.32481115
-94.71975372,39.32482803
-94.7197453,39.3248449
-94.71973686,39.32486177
-94.71972841,39.32487863
-94.71971993,39.32489548
-94.71971143,39.32491233
-94.71970291,39.32492917
-94.71969437,39.32494601
-94.71968581,39.32496284
-94.71967723,39.32497966
-94.71966862,39.32499648
-94.71966,39.32501329
-94.71965136,39.32503009
-94.7196427,39.32504689
-94.71963401,39.32506368
-94.71962531,39.32508047
-94.71961659,39.32509725
-94.71960784,39.32511402
-94.71959908,39.32513079
-94.71959029,39.32514755
-94.71958148,39.3251643
-94.71957266,39.32518105
-94.71956381,39.32519779
-94.71955494,39.32521452
-94.71954606,39.32523125
-94.71953715,39.32524797
-94.71952822,39.32526468
-94.71951927,39.32528139
-94.7195103,39.32529809
-94.71950131,39.32531479
-94.7194923,39.32533148
-94.71948327,39.32534816
-94.71947422,39.32536483
-94.71946515,39.3253815
-94.71945606,39.32539817
-94.71944695,39.32541482
-94.71943782,39.32543147
-94.71942867,39.32544811
-94.71941949,39.32546475
-94.7194103,39.32548138
-94.71940109,39.325498
-94.71939186,39.32551461
-94.7193826,39.32553122
